oln	contact_order
b0443	0.1604
b0450	0.2197
b0451	0.0959
b0452	0.1167
b0459	0.0868
b0460	0.1169
b0462	0.0786
b0463	0.1290
b0464	0.0770
b0469	0.1187
b0471	0.1054
b0473	0.0392
b0474	0.1291
b0476	0.1092
b0480	0.0868
b0481	0.1754
b0483	0.0772
b0485	0.1455
b0487	0.0628
b0492	0.0447
b0494	0.1281
b0505	0.2514
b0507	0.0820
b0512	0.1236
b0515	0.0285
b0516	0.1315
b0517	0.1326
b0518	0.0782
b0522	0.0903
b0523	0.1042
b0524	0.1352
b0525	0.2292
b0526	0.1062
b0528	0.1963
b0529	0.1145
b0543	0.0573
b0545	0.2059
b0549	0.1767
b0550	0.2146
b0555	0.0985
b0565	0.1378
b0572	0.1104
b0573	0.2041
b0574	0.1213
b0575	0.0782
b0578	0.1567
b0581	0.1195
b0584	0.1008
b0586	0.0445
b0592	0.0862
b0593	0.1504
b0594	0.0572
b0595	0.1037
b0596	0.1072
b0597	0.1547
b0600	0.1346
b0604	0.0932
b0605	0.1633
b0606	0.0632
b0610	0.1791
b0611	0.1445
b0622	0.1269
b0631	0.2505
b0632	0.0957
b0635	0.0751
b0636	0.1555
b0638	0.1664
b0639	0.1386
b0640	0.0603
b0641	0.1041
b0642	0.0742
b0651	0.1205
b0657	0.0856
b0659	0.0153
b0674	0.0484
b0675	0.1174
b0677	0.1225
b0678	0.1334
b0680	0.0741
b0684	0.1391
b0686	0.1202
b0687	0.0764
b0694	0.0745
b0696	0.0905
b0697	0.0702
b0698	0.0858
b0708	0.0812
b0709	0.0817
b0710	0.1207
b0711	0.1295
b0712	0.1436
b0713	0.1195
b0714	0.0926
b0720	0.0846
b0721	0.0774
b0722	0.0744
b0723	0.1226
b0724	0.0876
b0726	0.0510
b0728	0.0704
b0729	0.0869
b0736	0.1762
b0740	0.0800
b0754	0.1111
b0755	0.1488
b0758	0.1194
b0759	0.1135
b0761	0.0831
b0762	0.0623
b0763	0.1791
b0767	0.1082
b0769	0.1044
b0772	0.1054
b0773	0.1944
b0774	0.1143
b0775	0.1092
b0776	0.1160
b0778	0.1356
b0782	0.1589
b0784	0.2098
b0785	0.1760
b0798	0.1304
b0799	0.0727
b0800	0.1023
b0801	0.1191
b0803	0.0571
b0811	0.1646
b0812	0.1167
b0814	0.1771
b0817	0.0700
b0821	0.1522
b0822	0.1233
b0825	0.0880
b0826	0.1023
b0827	0.0957
b0830	0.1080
b0837	0.1119
b0839	0.1036
b0842	0.0893
b0846	0.0823
b0849	0.1883
b0851	0.1228
b0852	0.0872
b0854	0.1302
b0867	0.0971
b0870	0.1299
b0871	0.0740
b0875	0.1214
b0878	0.1326
b0879	0.0610
b0881	0.1676
b0882	0.0359
b0884	0.2610
b0885	0.1376
b0888	0.1148
b0889	0.0969
b0891	0.1774
b0897	0.1272
b0902	0.0957
b0903	0.0857
b0905	0.0842
b0907	0.1217
b0908	0.1094
b0910	0.1363
b0912	0.0787
b0914	0.0585
b0918	0.1357
b0923	0.0860
b0925	0.0792
b0928	0.1169
b0929	0.1101
b0932	0.0486
b0935	0.1230
b0936	0.1259
b0937	0.1471
b0945	0.1069
b0946	0.1456
b0948	0.0431
b0953	0.1353
b0954	0.1531
b0956	0.0541
b0963	0.1846
b0967	0.0700
b0968	0.2729
b0972	0.0885
b0973	0.1453
b0976	0.1459
b0980	0.1346
b0986	0.1129
b1002	0.1331
b1004	0.1439
b1012	0.1256
b1013	0.0730
b1019	0.1534
b1023	0.0533
b1034	0.1322
b1037	0.1265
b1038	0.0608
b1039	0.1266
b1045	0.1545
b1048	0.0821
b1056	0.1496
b1059	0.1386
b1061	0.2039
b1062	0.1173
b1063	0.1612
b1064	0.1219
b1068	0.1057
b1069	0.0741
b1087	0.1316
b1089	0.0934
b1091	0.1384
b1092	0.1213
b1093	0.0934
b1094	0.1457
b1095	0.1337
b1096	0.1049
b1098	0.1420
b1099	0.0688
b1100	0.1168
b1102	0.0965
b1103	0.1579
b1114	0.0507
b1120	0.1041
b1123	0.1345
b1127	0.1379
b1128	0.0838
b1131	0.0735
b1132	0.1395
b1133	0.0919
b1135	0.1653
b1136	0.1152
b1159	0.0924
b1171	0.1397
b1175	0.1279
b1178	0.2397
b1180	0.2144
b1182	0.1350
b1183	0.1403
b1185	0.1081
b1187	0.0658
b1192	0.1210
b1193	0.0943
b1194	0.0871
b1197	0.0700
b1199	0.1131
b1200	0.1074
b1204	0.1427
b1207	0.0893
b1208	0.1492
b1209	0.1444
b1212	0.0735
b1215	0.0252
b1219	0.1763
b1221	0.0940
b1223	0.0830
b1224	0.1131
b1225	0.1070
b1227	0.1078
b1236	0.1185
b1243	0.1111
b1256	0.1806
b1258	0.1137
b1260	0.1157
b1261	0.1067
b1262	0.0661
b1267	0.1796
b1269	0.1155
b1271	0.1174
b1274	0.0590
b1277	0.1289
b1278	0.1169
b1281	0.0900
b1286	0.0603
b1288	0.1030
b1308	0.2114
b1317	0.1158
b1319	0.0896
b1324	0.1935
b1325	0.1045
b1327	0.1153
b1329	0.1135
b1333	0.1003
b1342	0.0563
b1379	0.1844
b1380	0.1010
b1386	0.0764
b1387	0.0731
b1388	0.0891
b1390	0.1198
b1393	0.0808
b1394	0.0817
b1395	0.0612
b1396	0.1417
b1412	0.1150
b1414	0.1387
b1415	0.1035
b1418	0.1003
b1430	0.1053
b1438	0.1025
b1444	0.1055
b1452	0.0864
b1461	0.1396
b1464	0.1279
b1469	0.0832
b1474	0.1169
b1475	0.1166
b1476	0.0992
b1478	0.1224
b1482	0.0987
b1492	0.1277
b1493	0.0994
b1494	0.0556
b1507	0.0800
b1508	0.1046
b1511	0.0792
b1512	0.0886
b1517	0.0944
b1530	0.0824
b1531	0.1098
b1535	0.0663
b1538	0.0768
b1549	0.1407
b1563	0.1680
b1564	0.0495
b1584	0.1045
b1591	0.1440
b1594	0.0840
b1610	0.1337
b1611	0.0734
b1617	0.0804
b1619	0.1010
b1622	0.1134
b1625	0.1163
b1633	0.1021
b1634	0.0775
b1635	0.1090
b1636	0.0936
b1637	0.0742
b1638	0.1344
b1639	0.1929
b1646	0.2089
b1647	0.0986
b1649	0.0843
b1651	0.1425
b1652	0.1291
b1654	0.1573
b1656	0.1238
b1658	0.0817
b1661	0.1053
b1662	0.1340
b1667	0.1927
b1676	0.0776
b1679	0.1089
b1680	0.1226
b1681	0.0742
b1682	0.1335
b1684	0.1484
b1686	0.1560
b1707	0.1040
b1709	0.1250
b1711	0.1026
b1712	0.0791
b1713	0.0458
b1716	0.0591
b1717	0.1806
b1719	0.0514
b1723	0.0899
b1727	0.1324
b1731	0.1205
b1732	0.0714
b1736	0.1315
b1738	0.1869
b1740	0.1073
b1744	0.1058
b1745	0.1339
b1748	0.1142
b1749	0.1186
b1757	0.0837
b1759	0.1915
b1761	0.0934
b1763	0.0957
b1764	0.1104
b1765	0.1598
b1767	0.0241
b1772	0.0917
b1773	0.1228
b1774	0.1203
b1779	0.1074
b1796	0.1420
b1797	0.2659
b1804	0.0629
b1807	0.1423
b1812	0.1143
b1819	0.0450
b1822	0.1047
b1830	0.0668
b1832	0.1385
b1835	0.0781
b1842	0.1271
b1847	0.1311
b1849	0.0848
b1850	0.1161
b1857	0.1074
b1861	0.0596
b1863	0.1400
b1864	0.1325
b1865	0.2121
b1866	0.0784
b1867	0.1578
b1870	0.1174
b1871	0.1011
b1875	0.1478
b1876	0.0479
b1881	0.0469
b1882	0.1363
b1887	0.1970
b1891	0.0955
b1892	0.0770
b1896	0.0785
b1901	0.1089
b1905	0.1220
b1916	0.1013
b1931	0.1427
b1955	0.1253
b1960	0.1144
b1962	0.0602
b1967	0.1235
b1970	0.2002
b1971	0.1445
b1973	0.1635
b1982	0.0949
b2004	0.1616
b2009	0.1843
b2010	0.1236
b2011	0.0882
b2017	0.0648
b2019	0.0999
b2020	0.0983
b2021	0.1206
b2029	0.0623
b2036	0.1456
b2039	0.1212
b2051	0.1836
b2052	0.1028
b2053	0.0975
b2061	0.1694
b2065	0.1749
b2068	0.0958
b2080	0.1654
b2086	0.1233
b2091	0.1176
b2114	0.0856
b2123	0.1447
b2131	0.1243
b2133	0.0987
b2137	0.0934
b2140	0.0920
b2143	0.0835
b2150	0.1093
b2153	0.1001
b2155	0.0838
b2159	0.1062
b2162	0.1252
b2165	0.0982
b2181	0.1468
b2183	0.1038
b2184	0.0550
b2185	0.2093
b2187	0.0432
b2195	0.1440
b2206	0.1281
b2207	0.1905
b2209	0.2543
b2212	0.1675
b2214	0.1026
b2215	0.1058
b2217	0.0763
b2221	0.1397
b2222	0.1095
b2224	0.1475
b2232	0.1065
b2234	0.0645
b2235	0.1002
b2239	0.0949
b2240	0.0738
b2245	0.1036
b2247	0.1128
b2255	0.0487
b2259	0.2149
b2260	0.0631
b2261	0.1181
b2262	0.0805
b2263	0.1274
b2264	0.0806
b2265	0.1335
b2267	0.1063
b2268	0.1094
b2272	0.1749
b2290	0.1179
b2291	0.1163
b2299	0.1686
b2300	0.1414
b2301	0.1126
b2302	0.1004
b2303	0.1595
b2309	0.1612
b2312	0.0815
b2315	0.0797
b2316	0.0851
b2318	0.1328
b2323	0.1355
b2324	0.0830
b2328	0.1167
b2340	0.1824
b2344	0.1495
b2366	0.1226
b2371	0.0901
b2373	0.0704
b2374	0.0962
b2385	0.0839
b2387	0.1813
b2407	0.1412
b2411	0.0619
b2415	0.0568
b2416	0.0614
b2417	0.2125
b2418	0.0920
b2421	0.1200
b2431	0.1680
b2432	0.1232
b2434	0.1282
b2439	0.1204
b2440	0.0756
b2441	0.1018
b2456	0.1713
b2458	0.1222
b2462	0.1831
b2467	0.1377
b2474	0.0504
b2476	0.1281
b2478	0.1008
b2494	0.0577
b2497	0.1326
b2498	0.1255
b2499	0.1132
b2500	0.1053
b2501	0.0741
b2502	0.0596
b2507	0.0632
b2510	0.1561
b2511	0.0704
b2512	0.1070
b2514	0.0853
b2517	0.0717
b2518	0.1909
b2521	0.1216
b2523	0.0907
b2524	0.2079
b2525	0.1965
b2527	0.0878
b2528	0.1852
b2529	0.1511
b2530	0.1150
b2533	0.0908
b2544	0.1363
b2551	0.1105
b2552	0.0706
b2553	0.2339
b2559	0.1187
b2562	0.1861
b2563	0.1792
b2564	0.1037
b2565	0.0890
b2566	0.1005
b2569	0.0596
b2571	0.0980
b2573	0.0547
b2574	0.1139
b2580	0.1339
b2593	0.1653
b2595	0.0442
b2597	0.1157
b2601	0.0979
b2606	0.1664
b2607	0.0844
b2609	0.1681
b2614	0.0634
b2617	0.1121
b2620	0.1533
b2630	0.0575
b2645	0.1379
b2661	0.1023
b2662	0.1174
b2665	0.1493
b2667	0.1121
b2673	0.1927
b2674	0.1380
b2676	0.1011
b2679	0.1400
b2688	0.1314
b2696	0.1141
b2699	0.1073
b2701	0.0890
b2710	0.0759
b2714	0.0759
b2717	0.1874
b2728	0.1524
b2730	0.1245
b2733	0.0491
b2739	0.1020
b2741	0.0280
b2743	0.0999
b2745	0.1381
b2746	0.1873
b2747	0.1309
b2755	0.0987
b2756	0.1583
b2757	0.1980
b2758	0.1302
b2759	0.1110
b2760	0.0819
b2762	0.1126
b2763	0.0722
b2765	0.1621
b2779	0.1124
b2780	0.0808
b2781	0.0373
b2782	0.1693
b2784	0.0246
b2785	0.0730
b2787	0.1308
b2788	0.1313
b2792	0.1307
b2793	0.1302
b2795	0.0781
b2799	0.0816
b2800	0.1147
b2801	0.0865
b2802	0.0759
b2804	0.2392
b2806	0.0896
b2810	0.1152
b2811	0.1273
b2812	0.1027
b2813	0.1637
b2817	0.0909
b2819	0.0712
b2820	0.0486
b2821	0.0598
b2822	0.0576
b2827	0.1704
b2828	0.0806
b2830	0.2023
b2831	0.1170
b2833	0.2305
b2834	0.1011
b2838	0.1128
b2843	0.1307
b2870	0.1177
b2871	0.1387
b2883	0.1113
b2889	0.1684
b2890	0.0725
b2891	0.0714
b2893	0.0982
b2894	0.0794
b2895	0.1433
b2897	0.1236
b2898	0.1285
b2900	0.2220
b2901	0.1032
b2904	0.1975
b2905	0.1094
b2906	0.1306
b2908	0.0804
b2910	0.0524
b2913	0.0789
b2918	0.0803
b2919	0.0983
b2924	0.0470
b2925	0.1040
b2926	0.0852
b2927	0.1113
b2934	0.1709
b2935	0.0699
b2938	0.0814
b2942	0.1082
b2946	0.1107
b2947	0.1082
b2949	0.1807
b2951	0.1091
b2954	0.1121
b2957	0.0802
b2960	0.0951
b2962	0.1267
b2963	0.0631
b2976	0.0930
b2988	0.0132
b2989	0.0936
b2992	0.1413
b2993	0.1913
b2994	0.1419
b3001	0.0961
b3006	0.0963
b3008	0.0934
b3011	0.0737
b3012	0.1089
b3017	0.0998
b3019	0.0518
b3021	0.0896
b3022	0.1864
b3024	0.1689
b3028	0.1170
b3029	0.2309
b3034	0.1211
b3035	0.1054
b3039	0.1579
b3041	0.1959
b3049	0.1462
b3054	0.0752
b3058	0.1720
b3064	0.1269
b3068	0.1531
b3073	0.1025
b3074	0.1923
b3080	0.0671
b3081	0.0725
b3082	0.0614
b3083	0.1328
b3084	0.0659
b3102	0.0939
b3106	0.1558
b3113	0.1797
b3126	0.0957
b3136	0.0972
b3137	0.1156
b3149	0.1308
b3153	0.1146
b3163	0.0663
b3166	0.1320
b3167	0.1431
b3169	0.0150
b3172	0.0824
b3177	0.0929
b3179	0.1019
b3180	0.1865
b3181	0.1140
b3182	0.1386
b3183	0.1133
b3185	0.1724
b3187	0.0786
b3189	0.1245
b3190	0.1406
b3192	0.1103
b3200	0.0895
b3201	0.1305
b3203	0.1552
b3204	0.1514
b3205	0.0911
b3209	0.1152
b3222	0.0983
b3225	0.0993
b3234	0.0961
b3235	0.0776
b3236	0.0951
b3244	0.1076
b3248	0.1271
b3253	0.1164
b3256	0.0933
b3260	0.0840
b3261	0.0648
b3279	0.0927
b3281	0.1075
b3282	0.1713
b3287	0.1444
b3288	0.0751
b3289	0.0678
b3294	0.1323
b3295	0.1018
b3297	0.1604
b3299	0.3042
b3300	0.0644
b3302	0.2704
b3305	0.0952
b3308	0.1500
b3309	0.1570
b3312	0.1402
b3314	0.0961
b3315	0.2396
b3316	0.2265
b3317	0.0961
b3318	0.1677
b3321	0.2715
b3329	0.1699
b3336	0.1246
b3339	0.0881
b3341	0.1500
b3342	0.1629
b3343	0.1901
b3344	0.1854
b3345	0.1727
b3347	0.0846
b3349	0.1499
b3356	0.1039
b3357	0.1031
b3361	0.0914
b3362	0.0713
b3363	0.2278
b3366	0.1978
b3376	0.0975
b3379	0.1118
b3381	0.1351
b3387	0.1152
b3390	0.1458
b3397	0.1288
b3403	0.0934
b3406	0.1103
b3408	0.1954
b3410	0.1868
b3412	0.1242
b3416	0.0833
b3417	0.0675
b3425	0.1928
b3426	0.1085
b3429	0.0748
b3430	0.0893
b3431	0.0662
b3432	0.0597
b3433	0.1111
b3437	0.1541
b3439	0.1465
b3440	0.1162
b3453	0.1397
b3458	0.0962
b3459	0.1120
b3460	0.0940
b3465	0.1105
b3470	0.2139
b3476	0.1146
b3481	0.1374
b3499	0.1268
b3500	0.0886
b3509	0.1827
b3510	0.1333
b3517	0.0975
b3531	0.0863
b3544	0.1129
b3549	0.1218
b3556	0.2472
b3564	0.0844
b3566	0.1026
b3569	0.0702
b3575	0.1157
b3590	0.0375
b3592	0.1065
b3594	0.0365
b3606	0.1548
b3607	0.0599
b3609	0.1593
b3610	0.1935
b3617	0.1159
b3619	0.1020
b3620	0.0834
b3621	0.0842
b3631	0.0857
b3634	0.1378
b3635	0.0985
b3636	0.2701
b3637	0.1523
b3640	0.1989
b3641	0.0728
b3642	0.1218
b3648	0.1381
b3649	0.1244
b3656	0.0645
b3670	0.2283
b3673	0.0755
b3697	0.1199
b3701	0.0834
b3703	0.1187
b3704	0.1579
b3708	0.1267
b3713	0.1327
b3728	0.1522
b3729	0.0673
b3730	0.0516
b3731	0.0808
b3732	0.0433
b3733	0.0582
b3734	0.0765
b3735	0.0252
b3736	0.0197
b3737	0.1298
b3740	0.0927
b3741	0.1051
b3742	0.1434
b3743	0.0277
b3744	0.1249
b3746	0.0729
b3751	0.1068
b3752	0.0979
b3770	0.1162
b3772	0.0662
b3774	0.0875
b3775	0.2276
b3778	0.0823
b3781	0.1804
b3783	0.0831
b3786	0.0820
b3788	0.0939
b3789	0.1212
b3791	0.1348
b3805	0.1070
b3807	0.1441
b3809	0.1126
b3813	0.0837
b3816	0.0838
b3821	0.1265
b3822	0.0606
b3831	0.1450
b3842	0.1333
b3843	0.0833
b3844	0.1086
b3847	0.0829
b3848	0.1165
b3856	0.1720
b3857	0.1293
b3859	0.0947
b3860	0.1616
b3865	0.1288
b3867	0.1057
b3871	0.0627
b3878	0.0764
b3880	0.0997
b3885	0.1311
b3887	0.2307
b3895	0.0957
b3901	0.2017
b3902	0.1124
b3903	0.1046
b3904	0.0934
b3908	0.1197
b3910	0.1341
b3915	0.0746
b3916	0.1127
b3919	0.1139
b3924	0.1107
b3925	0.1194
b3926	0.0850
b3927	0.1046
b3928	0.0370
b3929	0.2131
b3931	0.0936
b3932	0.2043
b3935	0.0679
b3936	0.0943
b3938	0.1399
b3939	0.0910
b3941	0.1020
b3945	0.0818
b3953	0.1641
b3956	0.0719
b3959	0.1172
b3960	0.0737
b3965	0.1024
b3966	0.0929
b3967	0.0451
b3972	0.0980
b3973	0.0865
b3974	0.1206
b3980	0.0826
b3983	0.0841
b3984	0.2127
b3985	0.1244
b3987	0.0618
b3988	0.0406
b3992	0.1027
b3995	0.1083
b3996	0.1010
b4000	0.0850
b4005	0.1053
b4012	0.1303
b4013	0.1060
b4014	0.0884
b4015	0.0838
b4022	0.1037
b4024	0.0722
b4025	0.0995
b4031	0.0871
b4032	0.0836
b4033	0.0574
b4034	0.1193
b4035	0.0830
b4036	0.1153
b4039	0.1917
b4042	0.0694
b4043	0.0927
b4045	0.1500
b4046	0.0853
b4051	0.1157
b4052	0.0655
b4053	0.1100
b4054	0.1243
b4055	0.1288
b4057	0.1415
b4070	0.0853
b4071	0.0793
b4079	0.1218
b4083	0.0719
b4084	0.1169
b4085	0.1108
b4088	0.1083
b4090	0.1353
b4092	0.1239
b4098	0.1168
b4099	0.0885
b4100	0.1282
b4101	0.1429
b4115	0.1246
b4117	0.0555
b4127	0.1361
b4128	0.2205
b4129	0.0728
b4131	0.0549
b4137	0.1976
b4139	0.0669
b4142	0.1927
b4143	0.1221
b4149	0.1883
b4150	0.1436
b4151	0.0811
b4152	0.0453
b4153	0.0840
b4154	0.1131
b4155	0.1412
b4161	0.0872
b4162	0.1473
b4171	0.1170
b4173	0.0534
b4177	0.1109
b4180	0.0950
b4187	0.0725
b4192	0.1134
b4193	0.1160
b4196	0.1035
b4201	0.2045
b4209	0.1070
b4211	0.0947
b4219	0.1648
b4220	0.0463
b4222	0.2311
b4226	0.1513
b4227	0.1105
b4232	0.0964
b4235	0.0986
b4241	0.0892
b4243	0.1796
b4244	0.1125
b4245	0.1215
b4248	0.1628
b4249	0.0976
b4254	0.1163
b4259	0.1811
b4260	0.0777
b4261	0.0615
b4262	0.0633
b4267	0.1216
b4291	0.0909
b4306	0.1179
b4310	0.0956
b4311	0.1351
b4314	0.2339
b4316	0.1362
b4317	0.0510
b4318	0.1925
b4319	0.2261
b4320	0.1342
b4322	0.0981
b4326	0.1251
b4328	0.1231
b4345	0.0916
b4348	0.0650
b4349	0.0488
b4352	0.0931
b4361	0.1055
b4371	0.0686
b4375	0.0837
b4378	0.1105
b4381	0.1123
b4382	0.0928
b4384	0.1474
b4386	0.1139
b4391	0.0633
b4392	0.0373
b4393	0.0560
b4394	0.1151
b4396	0.1001
b4407	0.2485
b4475	0.0880
b4477	0.1126
b4483	0.1052
b4501	0.1773
b4511	0.1541
b4513	0.1108
b4517	0.0999
b4532	0.1863
b4539	0.1838
b4599	0.1061
