EG1	Gene name2	b-name3	Protein description4	Mol. weight [Da]5	Protein length (amino acids)6	Oi7	Index8	FPER9	pi10	ni11	Relative APEX12	APEX copies/cell13	Index	FPER	pi	ni	Relative APEX	APEX copies/cell 	Average APEX copies/cell	Average APEX cost in ATP	Average total number of redundant MS/MS scans	CV	ID14	Peptides (seq)15	Sequence coverage [%]16	PEP17	Intensity18	iBAQ, fmol/ml19	iBAQ copies/cell20	ID	Peptides (seq)	Sequence coverage [%]	PEP	Intensity	iBAQ, fmol/ml	iBAQ copies/cell	Average iBAQ copies/cell	Average iBAQ cost in ATP	Average of sequenced peptides	CV	Query21	Score22	Matches23	Sequences24	emPAI25	Relative emPAI26	emPAI copies/cell27	Query	Score	Matches	Sequences	emPAI	Relative emPAI	emPAI copies/cell	Average emPAI copies/cell	Average emPAI cost in ATP	Average of sequenced peptides	CV 	COG assignment28	COG class29	Arg count30	Lys count31	Pro count32	Theoretical peptide count33	CAI 0.5% cut-off34	kcat35, s-1	Main metabolic network36
eg10101	atpd	b3732	membrane-bound atp synthase, f1 sector, beta-subunit (atpd) [3.6.1.34] {escherichia coli k12-mg1655}                                                      	50307.535	460	37.00066667	25	0	1	223	0.00247233	5018	26	0	1	257	0.003132918	6394	5706	11277558	240	17%	1068	30	87.6	0	1742400000	126108	8390	1060	30	87.6	0	1035300000	114244	8408	8399	16600662	30	0%	22	7145	473 (242)	49 (28)	14.25	0.00525094	10657	16	8435	477 (279)	51 (27)	17.44	0.006599361	13469	12063	23842103	50(28)	16%	cog0055;f0f1-type atp synthase, beta subunit	[C]	26	20	20	39	0.437460155	53.05854321	yes
eg10241	dnak	b0014	chaperone hsp70; dna biosynthesis; autoregulated heat shock proteins (dnak) {escherichia coli k12-mg1655}                                                     	69097.16	638	42.9115	568	0	1	343	0.003278926	6655	551	0	1	268	0.002816998	5749	6202	17011918	306	10%	6	46	70.8	0	1810300000	88972	5920	6	47	72.1	0	1043900000	79042.66667	5817	5868	16096728	47	1%	9	11207	631 (328)	77 (43)	13.08	0.00481981	9782	12	9386	571 (292)	83 (38)	9.17	0.003469962	7082	8432	23128719	80(41)	23%	cog0443;molecular chaperone	[O]	25	50	23	55	0.476134309		
eg12680	fliy	b1920	putative periplasmic binding transport protein (fliy) {escherichia coli k12-mg1655}                                                        	29021.237	266	26.12414286	451	0	1	126	0.001978516	4016	453	0	1	141	0.002434459	4969	4492	5125868	134	15%	568	28	82.3	0	1059800000	91584	6093	560	28	82.3	0	650100000	85312	6279	6186	7058845	28	2%	90	2589	390 (119)	51 (24)	28.14	0.010369224	21046	82	2599	379 (132)	49 (24)	25.14	0.00951307	19415	20230	23084800	50(24)	6%	cog0834;abc-type amino acid transport/signal transduction systems, periplasmic component/domain	[ET]	11	26	5	24	0.349344679		
eg10953	soda	b3908	superoxide dismutase, manganese (soda) [1.15.1.1] {escherichia coli k12-mg1655}                                                         	23079.115	206	9.072738095	282	0	1	180	0.008138518	16518	576	0	1	175	0.008700117	17756	17137	15127476	178	5%	1117	17	87.9	0	3184500000	399533.3333	26582	1109	17	87.9	9.59E-296	1893300000	357813.3333	26334	26458	23355416	17	1%	21	7170	401 (212)	23 (16)	32.83	0.012097428	24553	27	6246	378 (191)	23 (16)	32.83	0.012422995	25354	24954	22027407	23(16)	2%			6	17	9	19	0.48702457		
eg10360	fusa	b3340	gtp-binding protein chain elongation factor ef-g (fusa) {escherichia coli k12-mg1655}                                                       	77563.512	704	48.52591667	78	0	1	330	0.002789661	5662	78	0	1	283	0.002630499	5369	5515	16695434	307	4%	960	46	80.5	0	3000600000	122273.3333	8135	950	44	72.9	0	1721600000	107853.3333	7938	8036	24327358	45	2%	19	7666	731 (312)	87 (36)	8.33	0.003069497	6230	21	6807	629 (271)	87 (35)	8.72	0.003299681	6734	6482	19622204	87(36)	6%	cog0480;translation elongation factors (gtpases)	[J]	36	44	33	61	0.477183628		
eg10023	aceb	b4014	malate synthase a (aceb) [4.1.3.2] {escherichia coli k12-mg1655}                                                         	60255.722	533	30.77383333	560	0	1	253	0.003372486	6845	3	0	1	211	0.003092618	6312	6578	15069563	232	6%	1166	37	71.9	0	1539300000	91477.33333	6086	1156	35	72.6	0	953340000	85850.66667	6318	6202	14208248	36	3%	35.1	5779	619 (256)	52 (31)	11.69	0.004307613	8743	38.1	4606	518 (212)	54 (29)	10.42	0.003942967	8047	8395	19231293	53(30)	6%	cog2225;malate synthase	[C]	31	26	24	46	0.323486389		
eg10258	eno	b2779	enolase (eno) [4.2.1.11] {escherichia coli k12-mg1655};b3486 putative atp-binding component of a transport system, fragment 1 (yhih) {escherichia coli k12-mg1655}                                              	45637.049	432	26.29929365	569	0	1	323	0.005038133	10226	552	0	1	305	0.005230957	10676	10451	19395336	314	3%	786	25	81.2	0	3424900000	213626.6667	14213	782	24	79.9	0	1805200000	175480	12915	13564	25173340	25	7%	7	12235	722 (381)	52 (22)	14.15	0.005214091	10583	9	10564	593 (316)	51 (23)	13.13	0.004968441	10140	10361	19229571	52(23)	3%	cog0148;enolase	[G]	11	37	11	45	0.513329578	6.491199922	yes
eg10900	rpsa	b0911	30s ribosomal subunit protein s1 (rpsa) {escherichia coli k12-mg1655}                                                        	61140.226	557	37.97033333	258	0	1	249	0.002690086	5460	250	0	1	212	0.002518355	5140	5300	12688442	231	4%	274	43	69.5	0	2157600000	108593.3333	7225	268	42	66.6	0	1166200000	91586.66667	6741	6983	16717761	43	5%	23	7108	707 (272)	87 (34)	10.07	0.003710664	7531	28	6155	644 (227)	76 (31)	10.67	0.004037568	8240	7886	18879642	82(33)	6%	cog0539;ribosomal protein s1	[J]	30	43	10	51	0.490942312		
eg10024	acee	b0114	pyruvate dehydrogenase (decarboxylase component) (acee) [1.2.4.1] {escherichia coli k12-mg1655}                                                        	99650.613	887	76.35977633	5	0	1	357	0.00191785	3893	4	0	1	267	0.001577146	3219	3556	13565274	312	13%	44	68	76.2	0	1599700000	61788	4111	44	64	74.6	0	1024200000	59736	4396	4254	16228302	66	5%	13	9613	830 (319)	99 (48)	6.88	0.002535191	5145	14	8934	694 (281)	104 (42)	5.92	0.00224015	4572	4859	18536568	102(45)	8%	cog2609;pyruvate dehydrogenase complex, dehydrogenase (e1) component	[C]	49	48	36	78	0.467579907	14.59089983	yes
eg10904	rpse	b3303	30s ribosomal subunit protein s5 (rpse) {escherichia coli k12-mg1655}                                                        	17585.433	167	12.5375	262	0	1	137	0.004482505	9098	254	0	1	120	0.004317136	8811	8954	6400534	129	2%	939	13	85	0	1074500000	139533.3333	9284	929	13	85	0	633450000	125509.3333	9237	9260	6619279	13	0%	72	3141	242 (114)	26 (11)	32.9	0.012123222	24606	75	2876	227 (101)	27 (10)	32.9	0.012449483	25408	25007	17874858	27(11)	2%	cog0098;ribosomal protein s5	[J]	10	12	5	17	0.412551237		
eg10248	dppa	b3544	dipeptide transport protein (dppa) {escherichia coli k12-mg1655}                                                          	60275.739	535	38.84769697	60	0	1	222	0.002344223	4758	59	0	1	254	0.00294913	6019	5388	12390109	238	17%	1022	33	74.6	0	3323500000	170920	11372	1010	31	67.3	0	2010100000	156480	11517	11444	26314793	32	1%	33.1	6052	506 (252)	57 (29)	9.83	0.003622227	7352	30.1	5897	512 (249)	62 (27)	10.42	0.003942967	8047	7700	17704266	60(28)	6%	cog0747;abc-type dipeptide transport system, periplasmic component	[E]	18	46	31	44	0.39837192		
eg10072	argt	b2310	lysine-, arginine-, ornithine-binding periplasmic protein (argt) {escherichia coli k12-mg1655}                                                        	27973.67	260	26.83416667	18	0	1	213	0.003256137	6609	18	0	1	172	0.002891118	5901	6255	6975501	193	8%	671	21	77.7	0	1675600000	160066.6667	10650	667	22	77.7	0	1115300000	157893.3333	11621	11135	12418509	22	6%	17.1	8190	368 (205)	39 (21)	22.08	0.008136193	16513	26.1	6271	331 (168)	42 (21)	19.63	0.007428065	15160	15837	17661964	41(21)	6%	cog0834;abc-type amino acid transport/signal transduction systems, periplasmic component/domain	[ET]	8	25	6	22	0.297241248		
eg10386	glnh	b0811	periplasmic glutamine-binding protein; permease (glnh) {escherichia coli k12-mg1655}                                                         	27172.122	248	24.31380952	88	0	1	164	0.002766954	5616	90	0	1	148	0.00274558	5603	5610	5966360	156	0%	244	24	76.2	0	1393600000	132593.3333	8822	237	24	77.4	0	843820000	121818.6667	8966	8894	9459174	24	1%	55	3840	330 (154)	39 (19)	24.49	0.009024246	18316	50	3846	328 (148)	43 (18)	19.22	0.00727292	14843	16580	17633774	41(19)	15%	cog0834;abc-type amino acid transport/signal transduction systems, periplasmic component/domain	[ET]	5	29	7	26	0.412313266		
eg10031	adhe	b1241	coa-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase (adhe) [1.1.1.1] {escherichia coli k12-mg1655}                                                   	96109.45	891	55.83966667	7	0	1	254	0.001865959	3787	7	0	1	234	0.00189016	3858	3822	14648813	244	1%	373	52	76.9	0	2040400000	83069.33333	5527	369	53	74.2	0	1190800000	74541.33333	5486	5506	21102608	53	1%	24	6888	624 (242)	95 (44)	5.92	0.002181443	4428	24	6439	603 (254)	93 (41)	6.15	0.002327183	4750	4589	17584851	94(43)	5%	cog1012;nad-dependent aldehyde dehydrogenases -!- cog1454;alcohol dehydrogenase, class iv	[C]	32	65	41	72	0.436512973		
eg10906	rpsg	b3341	30s ribosomal subunit protein s7, initiates assembly (rpsg) {escherichia coli k12-mg1655}                                                      	20001.127	179	14.05	264	0	1	79	0.002306545	4681	256	0	1	101	0.003242429	6618	5649	4330134	90	24%	961	17	73.7	4.71E-220	1174700000	141173.3333	9393	951	18	78.2	1.19E-235	728960000	132102.6667	9722	9558	7325564	18	2%	134	1900	271 (87)	43 (13)	15.45	0.005693124	11555	108	2142	257 (99)	41 (18)	40.85	0.015457793	31548	21551	16518479	42(16)	66%	cog0049;ribosomal protein s7	[J]	19	14	7	21	0.371363583		
eg12675	ygau	b2665	orf, hypothetical protein (ygau) {escherichia coli k12-mg1655}                                                          	16045.123	149	15.168	448	0	1	209	0.005652351	11472	450	0	1	124	0.003687387	7526	9499	6053532	167	29%	769	15	91.9	0	1319800000	163800	10898	765	16	91.9	1.11E-279	857350000	158533.3333	11668	11283	7190447	16	5%	32	6169	305 (185)	23 (15)	30.19	0.011124622	22579	71	3054	214 (115)	23 (14)	36.76	0.013910122	28389	25484	16240685	23(15)	16%	cog1652;uncharacterized protein containing lysm domain	[S]	1	17	6	16	0.307886297		
eg10489	icd	b1136	isocitrate dehydrogenase, specific for nadp+ (icda) [1.1.1.42] {escherichia coli k12-mg1655}                                                       	45738.818	416	27.28791667	575	0	1	208	0.003126829	6346	560	0	1	227	0.003752156	7658	7002	12512593	218	13%	349	28	70.2	0	2138800000	124336	8272	344	27	70.2	0	1404100000	121665.3333	8954	8613	15391988	28	6%	41	4902	514 (208)	55 (22)	11.07	0.004079151	8279	39	4584	544 (233)	50 (21)	11.94	0.004518141	9221	8750	15636401	53(22)	8%	cog0538;isocitrate dehydrogenases	[C]	17	31	20	40	0.423237268	5.916812897	yes
eg10703	pgk	b2926	phosphoglycerate kinase (pgk) [2.7.2.3] {escherichia coli k12-mg1655}                                                          	41100.322	387	22.70508333	185	0	1	593	0.010713781	21745	178	0	1	449	0.008919667	18204	19975	33200111	521	13%	818	23	74.4	0	2244900000	158853.3333	10569	811	22	74.4	0	1256200000	137066.6667	10088	10328	17166966	23	3%	1	21981	840 (604)	51 (24)	12.72	0.004687155	9513	2	16612	674 (464)	45 (21)	11.7	0.004427324	9036	9274	15415244	48(23)	4%	cog0126;3-phosphoglycerate kinase	[G]	13	31	14	33	0.464282093	8.920361483	yes
eg10885	rply	b2185	50s ribosomal subunit protein l25 (rply) {escherichia coli k12-mg1655}                                                        	10675.451	94	8.898571429	249	0	1	92	0.004241102	8608	242	0	1	103	0.005220864	10655	9632	3857043	98	15%	635	10	83	1.08E-114	471220000	107133.3333	7128	628	10	83	5.43E-103	292520000	100557.3333	7401	7264	2909061	10	3%	149	1814	233 (96)	26 (10)	50.09	0.018457513	37462	127	1842	213 (109)	20 (9)	50.09	0.018954243	38684	38073	15246585	23(10)	2%	cog1825;ribosomal protein l25 (general stress protein ctc)	[J]	6	11	4	13	0.502473598		
eg10457	hns	b1237	dna-binding protein hlp-ii (hu, bh2, hd, ns); pleiotropic regulator (hns) {escherichia coli k12-mg1655}                                                    	15521.663	137	12.69633333	114	0	1	170	0.005492648	11148	113	0	1	165	0.005861801	11963	11556	6767212	168	5%	372	15	78.8	1.59E-279	2257700000	283640	18871	368	15	78.8	6.68E-262	1381700000	260680	19186	19028	11143344	15	1%	38	5172	308 (167)	29 (13)	34.03	0.012539612	25451	35	4994	278 (163)	27 (13)	34.03	0.012877079	26281	25866	15147448	28(13)	2%	cog2916;dna-binding protein h-ns	[R]	11	12	3	17	0.413395887		
eg10495	ilvc	b3774	ketol-acid reductoisomerase (ilvc) [1.1.1.86] {escherichia coli k12-mg1655}                                                          	54051.176	491	32.45832143	120	0	1	182	0.002300152	4668	118	0	1	176	0.00244575	4992	4830	10191010	179	5%	1080	39	72.1	0	1656400000	90325.33333	6010	1073	40	72.3	0	1082400000	88364	6503	6256	13200829	40	6%	54	3903	434 (176)	66 (32)	9.5	0.003500626	7105	60	3424	377 (154)	62 (32)	8.9	0.003367793	6873	6989	14746711	64(32)	2%	cog0059;ketol-acid reductoisomerase	[EH]	21	33	17	40	0.428851975	0.686771633	yes
eg10895	rpoc	b3988	rna polymerase, beta prime subunit (rpoc) [2.7.7.6] {escherichia coli k12-mg1655}                                                       	155110.634	1407	91.54068651	255	0	1	336	0.001505692	3056	247	0	1	272	0.001340233	2735	2896	17530888	304	8%	1154	76	62.7	0	1219500000	33761.33333	2246	1144	73	60.3	0	696870000	30085.33333	2214	2230	13502308	75	1%	18	8039	912 (325)	166 (61)	3.27	0.001204952	2446	19	7136	842 (295)	165 (57)	3.09	0.001169268	2386	2416	14626949	166(59)	2%	cog0086;dna-directed rna polymerase, beta' subunit/160 kd subunit	[K]	99	87	57	131	0.465567476		
eg10554	male	b4034	periplasmic maltose-binding protein; substrate recognition for transport and chemotaxis (male) {escherichia coli k12-mg1655}                                                    	43369.679	396	28.05889286	143	0	1	184	0.002690038	5460	137	0	1	249	0.004002711	8169	6814	11590528	217	28%	1174	25	81.3	0	1603900000	118220	7865	1162	26	81.3	0	1121000000	121472	8940	8403	14292053	26	9%	34	5973	409 (207)	45 (21)	11.11	0.00409389	8309	22	6601	440 (229)	47 (21)	11.11	0.004204066	8580	8445	14363153	46(21)	2%	cog2182;maltose-binding periplasmic proteins/domains	[G]	7	39	21	38	0.396243364		
eg11033	tsf	b0170	protein chain elongation factor ef-ts (tsf) {escherichia coli k12-mg1655}                                                        	30405.086	283	21.37566667	303	0	1	187	0.003588667	7284	298	0	1	134	0.002827552	5771	6527	7925945	161	16%	67	26	82.3	0	1137900000	93506.66667	6221	67	22	79.2	0	623120000	79781.33333	5872	6046	7342204	24	4%	69	3355	473 (155)	50 (21)	17.09	0.006297443	12781	85	2582	374 (109)	47 (20)	13.71	0.005187915	10588	11685	14188711	49(21)	13%	cog0264;translation elongation factor ts	[J]	9	28	5	27	0.484892772		
eg10894	rpob	b3987	rna polymerase, beta subunit (rpob) [2.7.7.6] {escherichia coli k12-mg1655}                                                        	150614.698	1342	93.20529762	254	0	1	240	0.001056287	2144	574	0	1	206	9.97E-04	2035	2089	12064514	223	4%	1153	73	65.3	0	1337300000	38978.66667	2593	1143	69	59.7	0	767500000	34798.66667	2561	2577	14881818	71	1%	28	6427	831 (276)	169 (58)	3.77	0.001389196	2820	29	5965	783 (238)	163 (48)	2.61	0.000987634	2016	2418	13960118	166(53)	24%	cog0085;dna-directed rna polymerase, beta subunit/140 kd subunit	[K]	90	80	56	126	0.442363054		
eg12419	gaty	b2096	tagatose-bisphosphate aldolase 1 (gaty) [4.1.2.-] {escherichia coli k12-mg1655}                                                         	30794.015	284	13.13666667	431	0	1	163	0.005089951	10331	430	0	1	168	0.005768322	11773	11052	13467525	166	9%	612	20	75.2	4.03E-249	3414800000	343813.3333	22875	606	22	94.8	7.34E-253	2143500000	321600	23669	23272	28359152	21	2%	15.1	8404	542 (325)	29 (19)	14.69	0.005413074	10987	18.1	7622	535 (304)	32 (19)	14.69	0.005558751	11345	11166	13606514	31(19)	2%	cog0191;fructose/tagatose bisphosphate aldolase	[G]	11	12	10	22	0.259367344		
eg11448	acs	b4069	acetyl-coa synthetase (acs) [6.2.1.1] {escherichia coli k12-mg1655}                                                          	72075.709	652	33.96014286	359	0	1	251	0.003031904	6154	357	0	1	230	0.003054807	6235	6194	17363366	241	1%	1191	36	72.5	0	2219000000	113460	7549	1178	37	73.8	0	1427000000	109373.3333	8050	7799	21862820	37	5%	20	7192	514 (276)	60 (32)	6.02	0.002218292	4502	20	6885	487 (254)	62 (32)	6.67	0.002523953	5151	4827	13530321	61(32)	10%	cog0365;acyl-coenzyme a synthetases/amp-(fatty) acid ligases	[I]	29	33	36	50	0.346577251	0.213105728	yes
eg12415	gatb	b2093	galactitol-specific enzyme iib of phosphotransferase system (gatb) {escherichia coli k12-mg1655}                                                       	10204.086	94	2.95	428	0	1	44	0.006118456	12418	427	0	1	65	0.009938406	20283	16351	6547801	55	34%	609	6	95.7	0	995540000	277000	18430	603	6	95.7	6.23E-238	646550000	266586.6667	19620	19025	7618665	6	4%	73	3140	121 (101)	7 (5)	30.11	0.011095143	22519	46	3991	161 (134)	6 (6)	54.18	0.020501915	41843	32181	12887044	7(6)	42%	cog3414;phosphotransferase system, galactitol-specific iib component	[G]	3	5	3	6	0.273912808		
eg11556	talb	b0008	transaldolase b (talb) [2.2.1.2] {escherichia coli k12-mg1655}                                                          	35201.287	317	25.798	370	0	1	132	0.002098935	4260	367	0	1	130	0.002272913	4639	4449	6054328	131	6%	4	25	84.2	0	765070000	66368	4416	4	25	84.2	0	486310000	63758.66667	4693	4554	6196712	25	4%	77.1	2893	273 (128)	39 (22)	12.4	0.004569239	9274	87.1	2550	260 (114)	35 (22)	12.4	0.004692206	9576	9425	12824705	37(22)	2%	cog0176;transaldolase	[G]	16	22	10	32	0.428167853	0.125609237	yes
eg12418	gatz	b2095	putative tagatose 6-phosphate kinase 1 (gatz) [2.7.1.-] {escherichia coli k12-mg1655};b3132 putative tagatose 6-phosphate kinase 2 (agaz) [2.7.1.-] {escherichia coli k12-mg1655}                                             	47090.825	420	20.25630952	603	0	1	255	0.005164057	10481	587	0	1	275	0.006123473	12497	11489	20729111	265	12%	611	22	76.2	0	3652600000	258946.6667	17228	605	23	76.7	0	2652700000	271866.6667	20009	18619	33591966	23	11%	27	6443	654 (255)	34 (18)	8.8	0.003242686	6581	17	7688	595 (284)	32 (17)	9.48	0.003587267	7321	6951	12541747	33(18)	8%	cog4573;predicted tagatose 6-phosphate kinase	[G]	25	14	18	33	0.266879442		
eg11226	leua	b0074	2-isopropylmalate synthase (leua) [4.1.3.12] {escherichia coli k12-mg1655}                                                          	57280.058	523	31.98472222	324	0	1	116	0.001487738	3020	320	0	1	115	0.001621738	3310	3165	7113364	116	6%	27	33	74	0	854570000	53905.33333	3586	27	36	79	0	525950000	50621.33333	3726	3656	8217809	35	3%	49	4438	342 (146)	58 (26)	6.39	0.002354632	4779	37	4751	352 (174)	58 (29)	8.22	0.003110479	6348	5564	12505512	58(28)	20%	cog0119;isopropylmalate/homocitrate/citramalate synthases	[E]	27	27	12	44	0.341145021	0.501642581	yes
eg10511	katg	b3942	catalase; hydroperoxidase hpi(i) (katg) [1.11.1.6] {escherichia coli k12-mg1655}                                                         	80005.974	726	47.33075	128	0	1	245	0.00212341	4310	125	0	1	202	0.001925012	3929	4119	12859681	224	7%	1135	39	58.4	0	988770000	50528	3362	1128	40	59.4	0	518460000	41957.33333	3088	3225	10067545	40	6%	26	6580	498 (265)	75 (30)	5.34	0.001967721	3994	25	6316	471 (240)	76 (33)	5.09	0.001926075	3931	3962	12369835	76(32)	1%	cog0376;catalase (peroxidase i)	[P]	41	35	40	64	0.37910013		
eg10321	flic	b1923	flagellar biosynthesis; flagellin, filament structural protein (flic) {escherichia coli k12-mg1655}                                                       	51277.038	498	32.437	71	0	1	153	0.001934915	3927	70	0	1	144	0.002002383	4087	4007	8575137	149	3%	570	31	87.3	0	1398600000	94208	6268	562	30	87.3	0	952320000	95093.33333	6999	6633	14195785	31	8%	12	10170	368 (232)	40 (26)	7.31	0.00269364	5467	10	10030	369 (237)	41 (26)	7.84	0.002966685	6055	5761	12328816	41(26)	7%	cog1344;flagellin and related hook-associated proteins	[N]	11	25	6	34	0.340759265		
