uniprot	pdb	oln
P11075	4oiy.A	YDR170C
P11076	5nzr.F	YDL192W
P11353	1txn.A	YDR044W
P11433	1q1o.A	YAL041W
P11484	3gl1.A	YDL229W
P11632	1cg7.A	YPR052C
P11655	4h5i.A	YNR026C
P11709	6fc6.A	YCL029C
P11746	1mnm.A	YMR043W
P11914	1hr6.A	YHR024C
P11927	1oqp.B	YNL188W
P11938	1ign.A	YNL216W
P11978	1nyh.A	YDR227W
P11986	1p1j.A	YJL153C
P12385	4crn.X	YBR143C
P12612	4v81.A	YDR212W
P12686	5mrc.55	YGR084C
P12687	3j6b.R	YNL005C
P12689	5wm1.A	YOR346W
P12904	3t4n.C	YGL115W
P12945	4xnh.A	YDL040C
P12954	3v62.C	YJL092W
P12962	6fc3.B	YOR276W
P13045	3v2u.C	YDR009W
P13134	2id4.A	YNL238W
P13188	4h3s.A	YOR168W
P13298	2ps1.A	YML106W
P13382	4fvm.A	YNL102W
P13393	1rm1.A	YER148W
P13574	3w3w.B	YHR084W
P14063	3j6b.c	YKL138C
P14120	4v88.Bc	YGL030W
P14126	4v88.BB	YOR063W
P14127	5mc6.G	YDR447C
P14242	3h4l.A	YNL082W
P14306	1wpx.B	YLR178C
P14359	4lcd.C	YJL151C
P14736	2qsf.A	YER162C
P14737	1j4p.B	YDR217C
P14743	2p6e.A	YLR195C
P14832	1vdn.A	YDR155C
P14904	5jh9.A	YKL103C
P14906	6n3q.D	YOR254C
P14907	1o6o.D	YJL041W
P14908	1i4w.A	YMR228W
P15202	1a4e.A	YDR256C
P15303	1m2o.A	YPR181C
P15424	3sqw.A	YDR194C
P15436	3iay.A	YDL102W
P15442	1zy4.A	YDR283C
P15454	4f4j.A	YDR454C
P15646	5wlc.SC	YDL014W
P15700	1ukz.A	YKL024C
P15705	3uq3.A	YOR027W
P15731	1qcq.A	YBR082C
P15790	4jr7.A	YIL035C
P15807	1kyq.A	YBR213W
P15873	5v7m.A	YBR088C
P15891	1hqz.1	YCR088W
P15938	5lj5.Q	YKR086W
P16120	1kl7.A	YCR053W
P16140	5d80.D	YBR127C
P16370	1twf.C	YIL021W
P16474	3qfu.A	YJL034W
P16521	2iw3.A	YLR249W
P16603	2bpo.A	YHR042W
P16622	1lbq.A	YOR176W
P16649	1erj.A	YCR084C
P16861	3o8o.A	YGR240C
P16862	3o8o.B	YMR205C
P16892	2b9h.A	YBL016W
P17065	2ocy.A	YNL272C
P17076	4v88.BG	YHL033C
P17119	4etp.A	YPR141C
P17122	6bzg.A	YHR153C
P17157	4krd.A	YPL031C
P17255	5d80.A	YDL185W
P17505	1hr9.O	YKL085W
P17555	1k4z.A	YNL138W
P17558	5mrc.VV	YOR158W
P17695	3ctg.A	YDR513W
P17883	4buj.B	YPR189W
P17890	6eu3.Q	YNL151C
P17967	2b5e.A	YCL043C
P18238	4c9q.A	YBR085W
P18239	4c9g.A	YBL030C
P18408	2oq2.A	YPR167C
P18759	1cr5.A	YBR080C
P18962	3kl4.B	YHR028C
P19097	2uv8.A	YPL231W
P19146	1mr3.F	YDL137W
P19263	5oqm.l	YLR071C
P19524	6eyw.X	YOR326W
P19658	5yfp.G	YJL085W
P19659	6aly.A	YOL051W
P19735	5zwm.N	YBR055C
P19736	5zwm.u	YDL030W
P19812	3nit.A	YGR184C
P19880	1sse.B	YML007W
P20050	5yyz.B	YIL072W
P20052	2pmi.B	YOL001W
P20053	5zwm.K	YPR178W
P20081	1yat.A	YNL135C
P20084	3j6b.U	YMR286W
P20095	5gm6.Y	YNR011C
P20433	4by7.D	YJL140W
P20434	1dzf.A	YBR154C
P20435	1twf.F	YPR187W
P20436	1a1d.A	YOR224C
P20449	3pey.A	YOR046C
P20457	6dtv.A	YKL045W
P20459	6fyx.j	YJR007W
P20486	1qb3.A	YBR135W
P20606	1m2o.B	YPL218W
P20676	5owu.B	YOR098C
P21242	4r17.F	YOR362C
P21243	4r17.G	YGL011C
P21306	3zia.I	YPL271W
P21372	4ljy.A	YBR237W
P21374	5gmk.H	YJR050W
P21375	5zyn.B	YJR051W
P21524	3k8t.A	YER070W
P21691	1z1a.A	YKR101W
P21734	1tte.A	YDR177W
P21771	5mrc.OO	YDR337W
P21827	5t94.A	YGL097W
P21951	4m8o.A	YNL262W
P21954	2qfy.A	YDL066W
P22082	5x0x.O	YOR290C
P22108	4i5t.A	YDR530C
P22138	4c2m.B	YPR010C
P22139	1twf.J	YOR210W
P22141	1ryp.K	YER012W
P22202	3upv.B	YER103W
P22203	4efa.E	YOR332W
P22204	5ncn.B	YGR092W
P22213	1mqs.A	YDR189W
P22216	5xzw.A	YPL153C
P22217	2i9h.A	YLR043C
P22219	5kc2.B	YBR097W
P22224	5yfp.F	YGL233W
P22276	6eu3.B	YOR207C
P22289	2ibz.I	YGR183C
P22336	6i52.C	YAR007C
P22353	3j6b.L	YJL063C
P22354	3j6b.a	YKR085C
P22434	4ojv.A	YGL248W
P22515	5l6h.A	YKL210W
P22543	5dfz.C	YLR240W
P22803	2hsy.A	YGR209C
P22804	1pcx.B	YIL004C
P22855	5jm0.A	YGL156W
P22943	2l9q.A	YFL014W
P23202	1g6w.A	YNL229C
P23254	1gpu.A	YPR074C
P23287	2lhi.A	YLR433C
P23291	5x18.A	YHR135C
P23301	5dat.f	YEL034W
P23369	3j6b.b	YGR076C
P23394	5zwn.y	YDR243C
P23542	1yaa.A	YLR027C
P23561	1ow5.A	YLR362W
P23615	3psi.A	YGR116W
P23638	4r17.B	YGR135W
P23639	1ryp.B	YML092C
P23724	1g0u.L	YBL041W
P23776	1h4p.A	YLR300W
P23833	2b7k.A	YBR037C
P23968	6c6l.C	YHR026W
P24276	5ncl.D	YDR293C
P24279	3jc6.3	YEL032W
P24280	6f0e.A	YMR079W
P24384	6bk8.P	YER013W
P24482	6hv8.B	YPR175W
P24719	5yyx.A	YOR351C
P25043	3nzj.H	YOR157C
P25046	5oqm.m	YBL093C
P25293	2ayu.A	YKR048C
P25294	2b26.A	YNL007C
P25298	2l9b.B	YMR061W
P25299	2l9b.A	YGL044C
P25335	1o59.A	YIR029W
P25337	6bk8.I	YCR063W
P25339	4dzs.A	YGL014W
P25344	1uqv.A	YCL032W
P25348	3j6b.W	YCR003W
P25359	5jea.C	YCR035C
P25368	4m5d.B	YCL031C
P25372	2oe3.A	YCR083W
P25373	3c1r.A	YCL035C
P25382	4wju.A	YCR072C
P25389	3ost.A	YCL024W
P25441	6eu3.N	YDL150W
P25443	4v88.AC	YGL123W
P25451	4r17.I	YER094C
P25454	3lda.A	YER095W
P25491	1nlt.A	YNL064C
P25502	1ajy.A	YKL015W
P25515	6c6l.E	YEL027W
P25554	3mp6.A	YCL010C
P25555	2mzq.A	YCL011C
P25559	5msm.A	YCL016C
P25582	6elz.w	YCL054W
P25586	5wyk.K1	YCL059C
P25604	2p22.A	YCL008C
P25623	3g9h.A	YCR030C
P25626	3j6b.M	YCR046C
P25627	4qtt.B	YCR047C
P25635	5wlc.LO	YCR057C
P25637	6bqi.A	YCR059C
P25638	2l6j.A	YCR060W
P25642	3j6b.7	YCR071C
P25644	4n0a.H	YCR077C
P25651	5ktb.A	YCR086W
P25655	4b8b.A	YCR093W
P26321	4v88.BD	YPL131W
P26449	1yfq.A	YOR026W
P26754	6i52.B	YNL312W
P26755	6i52.A	YJL173C
P26783	4v88.AF	YJR123W
P26784	4v88.BO	YIL133C
P26786	4v88.AH	YOR096W
P27472	3nb0.A	YLR258W
P27616	2cnq.A	YAR015W
P27692	4ytk.A	YML010W
P27705	1t5w.C	YGL035C
P27796	1afw.A	YIL160C
P27801	4uuy.A	YLR148W
P27809	1s4n.A	YDR483W
P27882	4e0i.A	YGR029W
P27929	5mrc.DD	YNL137C
P27999	1twf.I	YGL070C
P28000	4c2m.K	YNL113W
P28004	6bk8.E	YAL032C
P28005	6agb.E	YAL033W
P28007	3u28.C	YHR089C
P28241	3blx.B	YOR136W
P28320	5gmk.F	YKL095W
P28321	4zxf.A	YKL094W
P28519	5lcl.B	YMR201C
P28707	2cg9.X	YKL117W
P28737	5w0t.A	YGR028W
P28777	1r53.A	YGL148W
P28778	5mrc.FF	YKL003C
P28817	5mrc.88	YDR036C
P28834	3blx.A	YNL037C
P29029	2uy2.A	YLR286C
P29055	4bbr.M	YPR086W
P29056	6f40.V	YGR246C
P29295	5cyz.A	YPL204W
P29311	5n6n.A	YER177W
P29340	2y9m.A	YGR133W
P29366	2czo.A	YBR200W
P29465	4wjw.P	YBR023C
P29468	2o1p.A	YKR002W
P29469	3jc6.2	YBL023C
P29496	3jc6.5	YLR274W
P29509	3itj.A	YDR353W
P29539	5nw5.A	YBR275C
P29547	1nhy.A	YPL048W
P30656	3nzj.K	YPR103W
P30657	1g0u.1	YFR050C
P30665	3jc6.4	YPR019W
P30771	2xzl.A	YMR080C
P30822	4gmx.C	YGR218W
P30902	6b2z.O	YKL016C
P31109	3b5n.A	YAL030W
P31116	1q7g.A	YJR139C
P31334	3j6b.C	YGR220C
P31373	1n8p.A	YAL012W
P31380	5gn1.A	YAL019W
P31384	4b8c.D	YAL021C
P31386	4x33.B	YAL020C
P31412	1u7l.A	YKL080W
P31539	5vjh.A	YLL026W
P31787	1st7.A	YGR037C
P32178	5csm.A	YPR060C
P32179	1ka1.A	YOL064C
P32288	3fky.A	YPR035W
P32318	3fpz.A	YGR144W
P32324	1n0u.A	YDR385W
P32325	3qbz.A	YDR052C
P32337	3w3z.A	YMR308C
P32340	4g6h.A	YML120C
P32344	5mrc.11	YLR204W
P32349	6eu3.O	YPR190C
P32356	5n6n.C	YDR001C
P32357	3sbt.B	YBL074C
P32361	3fbv.A	YHR079C
P32364	6ixq.B	YKL079W
P32366	6c6l.B	YLR447C
P32368	4tu3.X	YKL212W
P32377	1fi4.A	YNR043W
P32379	4r17.D	YGR253C
P32380	4ds7.E	YDR356W
P32387	3j6b.P	YDR405W
P32445	6cqk.A	YCR028C-A
P32447	1wg3.A	YJL115W
P32449	1of8.A	YBR249C
P32458	5ar1.A	YJR076C
P32471	1f60.B	YAL003W
P32477	3ig5.A	YJL101C
P32481	6fyx.k	YER025W
P32492	4ll8.A	YAL029C
P32495	2lbw.A	YDL208W
P32496	3jck.H	YFR052W
P32497	4u1c.C	YMR309C
P32499	1un0.C	YLR335W
P32501	1paq.A	YDR211W
P32504	4aco.A	YGR140W
P32505	2jps.A	YGL122C
P32524	5zwm.w	YJL203W
P32526	5n74.I	YPL269W
P32527	5dje.A	YGR285C
P32529	4c2m.I	YJR063W
P32558	3biq.A	YGL207W
P32563	6c6l.A	YOR270C
P32565	5mpd.N	YIL075C
P32566	5j1b.A	YGR229C
P32569	4gwp.B	YER022W
P32570	4gwp.D	YBR253W
P32582	6c2z.A	YGR155W
P32585	4gwp.E	YGR104C
P32588	3md3.A	YNL016W
P32589	3c7n.A	YPL106C
P32591	2fq3.A	YJL176C
P32600	6emk.A	YKL203C
P32602	1qqe.A	YBL050W
P32605	5zwn.S	YBR119W
P32610	4rnd.A	YEL051W
P32611	3j6b.B	YEL050C
P32613	3pr6.A	YEL048C
P32626	2g80.A	YEL038W
P32628	2qsf.X	YEL037C
P32639	5m52.A	YER172C
P32643	3g5t.A	YER175C
P32656	5hwk.A	YER163C
P32657	5o9g.W	YER164W
P32768	4lhl.A	YAR050W
P32769	5m1j.A6	YKR084C
P32773	1rm1.C	YOR194C
P32774	1rm1.B	YKL058W
P32776	5oqj.1	YDR311W
P32786	5o7x.A	YBL014C
P32790	3idw.A	YBL007C
P32793	2a08.A	YHR016C
P32795	2mv3.A	YPR024W
P32797	3oiq.A	YDL220C
P32799	6giq.k	YGL191W
P32807	5y58.A	YMR284W
P32833	5zr1.B	YBR060C
P32842	6c6l.D	YPL234C
P32844	5yfp.C	YIL068C
P32855	5yfp.D	YPR055W
P32860	2ltl.A	YKL040C
P32861	2i5k.A	YKL035W
P32867	1fio.A	YPL232W
P32873	6fsf.A	YPL115C
P32899	5wlc.LZ	YHR148W
P32902	5mrc.BB	YHL004W
P32904	3j6b.F	YHR147C
P32905	4v88.AA	YGR214W
P32906	1g6i.A	YJR131W
P32908	1w1w.A	YFL008W
P32909	3k3v.A	YBR172C
P32910	6eu3.P	YNR003C
P32911	2ogh.A	YNL244C
P32912	1kmd.A	YGL212W
P32914	2exu.A	YGR063C
P32915	6n3q.A	YLR378C
P32916	1nrj.A	YDR292C
P32917	4f2h.A	YDR103W
P32939	1ky3.A	YML001W
P33201	3jct.W	YKL009W
P33203	1o6w.A	YKL012W
P33297	5mp9.M	YOR117W
P33298	5mp9.K	YDR394W
P33299	5mp9.H	YKL145W
P33307	1wa5.C	YGL238W
P33308	5oqm.j	YNR010W
P33309	2vgn.A	YNL001W
P33312	4ha7.A	YBR153W
P33317	3p48.A	YBR252W
P33322	3u28.A	YLR175W
P33324	3q8g.A	YKL091C
P33331	1gy7.A	YER009W
P33332	5yfp.A	YER008C
P33334	6bk8.A	YHR165C
P33338	5ahv.F	YNL243W
P33339	5aio.A	YGR047C
P33411	6bk8.N	YGR006W
P33442	4v88.AB	YLR441C
P33734	1jvn.A	YBR248C
P33750	5wlc.LU	YLL011W
P33754	6n3q.E	YBR171W
P33759	5mrc.EE	YBR251W
P33767	6ezn.G	YEL002C
P33891	3fhn.A	YGL145W
P33893	4n0h.B	YBL080C
P33895	5td8.B	YOL069W
P34077	2qx5.A	YFR002W
P34078	6fai.j	YKL143W
P34087	1y14.B	YDR404C
P34111	5aim.A	YAL001C
P34160	3uky.C	YMR125W
P34162	2hzm.A	YHR041C
P34164	2qlv.B	YGL208W
P34216	2g3q.A	YBL047C
P34217	2a0t.B	YBL051C
P34227	5ykj.A	YBL064C
P34232	1of5.B	YKL186C
P34244	5g04.S	YKL101W
P34760	3sbc.A	YML028W
P34909	5ajd.B	YER068W
P35127	1cmx.A	YJR099W
P35169	1w1n.A	YJR066W
P35178	6em3.4	YDR087C
P35179	6n3q.C	YDR086C
P35184	5ams.A	YIR012W
P35187	1d8b.A	YMR190C
P35189	5sva.n	YPL129W
P35193	2kzb.A	YOL082W
P35195	1lxj.A	YBL001C
P35197	5fjx.D	YDL226C
P35201	2vpv.A	YKL089W
P35202	1ig0.A	YOR143C
P35203	6gyu.A	YMR094W
P35207	5mc6.h	YLR398C
P35718	2ckz.B	YKL144C
P35728	6i1d.B	YKL059C
P35729	4xmn.E	YKL057C
P35731	4hbg.A	YKL055C
P35844	3spw.A	YPL145C
P35845	5h2c.A	YAR042W
P35996	3j6b.I	YKL170W
P35997	4v88.Ab	YKL156W
P36006	2btt.A	YKL129C
P36010	3b54.A	YKL067W
P36012	2l5a.A	YKL049C
P36015	1h8m.A	YKL196C
P36017	1ek0.A	YOR089C
P36022	3qmz.A	YKR054C
P36037	3pst.A	YKL213C
P36040	4g4s.P	YKL206C
P36041	6fc1.B	YKL204W
P36046	2zxt.A	YKL195W
P36048	6bk8.B	YKL173W
P36049	6em3.J	YKL172W
P36057	1nrj.B	YKL154W
P36068	1xly.A	YKL130C
P36070	3tj1.A	YKL125W
P36075	1otr.A	YKL090W
P36080	6c0f.8	YKL082C
P36088	1f5m.A	YKL069W
P36094	2q6q.A	YKL042W
P36100	5fyw.W	YKL028W
P36102	4xr7.B	YKL025C
P36105	4v88.BM	YKL006W
P36106	4bxz.X	YKL005C
P36108	2v6x.B	YKL002W
P36121	6eu3.M	YKR025W
P36124	5tdr.A	YKR029C
P36130	2pqr.C	YKR036C
P36136	3oi7.A	YKR043C
P36141	1wpi.A	YKR049C
P36142	6aag.A	YKR051W
P36144	5ydu.A	YKR060W
P36145	5fyw.X	YKR062W
P36149	3cue.D	YKR068C
P36151	3kc2.A	YKR070W
P36152	2km1.A	YKR071C
P36156	5lkb.A	YKR076W
P36159	5mtz.A	YKR079C
P36160	3jct.v	YKR081C
P36161	3kfo.A	YKR082W
P36421	2dlc.X	YGR185C
P36516	3j6b.5	YMR024W
P36517	3j6b.T	YLR439W
P36519	3j6b.E	YDR237W
P36520	3j6b.J	YNL284C
P36523	3j6b.9	YLR312W-A
P36525	3j6b.S	YMR193W
P36526	3j6b.3	YBR282W
P36527	3j6b.2	YDR462W
P36528	3j6b.6	YNL252C
P36531	3j6b.V	YBR122C
P36533	3j6b.X	YML009C
P36534	3j6b.Q	YPL173W
P37261	4urp.A	YCL026C-A
P37299	6giq.U	YHR001W-A
P38011	3frx.A	YMR116C
P38013	4h86.A	YLR109W
P38061	4v88.Be	YBL092W
P38064	3j6b.K	YBL038W
P38074	1g6q.1	YBR034C
P38075	1ci0.A	YBR035C
P38077	2xok.G	YBR039W
P38110	3h7b.C	YBL088C
P38111	5x6o.C	YBR136W
P38115	4ijr.A	YBR149W
P38116	1moz.A	YBR164C
P38120	5mrc.II	YBR146W
P38121	3flo.A	YBL035C
P38123	6bx3.A	YBR175W
P38129	2j49.A	YBR198C
P38131	5a07.A	YBR199W
P38132	3jc6.7	YBR202W
P38144	2y9y.A	YBR245C
P38158	1vad.P	YBR299W
P38169	4j31.A	YBL098W
P38170	5oqq.C	YBL097W
P38175	5mrc.TT	YBL090W
P38181	3i5p.A	YBL079W
P38182	2kq7.A	YBL078C
P38197	1b54.A	YBL036C
P38198	6cok.A	YBL034C
P38202	3jct.z	YBL028C
P38203	4m7d.B	YBL026W
P38208	6agb.H	YBL018C
P38230	3qwb.A	YBR046C
P38241	6bk8.F	YBR065C
P38247	4ftx.A	YBR077C
P38249	6fyx.o	YBR079C
P38251	1sxj.E	YBR087W
P38261	5yfp.H	YBR102C
P38262	1r5m.A	YBR103W
P38265	4it3.A	YBR107C
P38272	4ll8.B	YBR130C
P38276	4clc.A	YBR137W
P38282	5zwo.9	YBR152W
P38291	3iab.B	YBR167C
P38304	4gwp.C	YBR193C
P38316	3w1s.C	YBR217W
P38319	1q32.A	YBR223C
P38333	6fai.i	YBR247C
P38336	6agb.D	YBR257W
P38339	4wpc.A	YBR260C
P38344	5apn.y	YBR267W
P38348	3vld.A	YBR272C
P38351	5zyp.A	YBR279W
P38353	2ww9.A	YBR283C
P38428	2myx.A	YMR264W
P38431	6fyx.m	YPR041W
P38555	3cpj.B	YER031C
P38624	3nzj.2	YJL001W
P38629	1sxj.C	YNL290W
P38630	1sxj.A	YOR217W
P38632	3htk.C	YEL019C
P38633	3fbi.B	YGL127C
P38634	3v7d.E	YLR079W
P38636	1fd8.A	YNL259C
P38698	2qb7.A	YHR201C
P38701	4v88.AU	YHL015W
P38713	4ic4.A	YHR073W
P38720	2p4q.A	YHR183W
P38751	5xyn.C	YHL006C
P38753	2pjw.H	YHL002W
P38754	4v8y.BM	YHL001W
P38760	5d77.A	YHR015W
P38764	5mpd.Z	YHR027C
P38765	1ym5.A	YHR029C
P38768	4chh.A	YHR034C
P38772	2n94.A	YHR040W
P38777	1ycd.A	YHR049W
P38779	3jct.K	YHR052W
P38782	4gwp.G	YHR058C
P38783	5mrc.22	YHR059W
P38786	6agb.I	YHR062C
P38789	6c0f.v	YHR066W
P38792	4ifd.H	YHR069C
P38798	4lun.U	YHR077C
P38800	6byd.A	YHR080C
P38801	6ft6.LL	YHR081W
P38804	1nyn.A	YHR087W
P38805	6em3.x	YHR088W
P38806	5j9t.D	YHR090C
P38811	5ojs.T	YHR099W
P38817	3mnm.A	YHR108W
P38822	1zuu.A	YHR114W
P38825	3fp2.A	YHR117W
P38826	5zr1.F	YHR118C
P38827	2j8a.A	YHR119W
P38830	1mnn.A	YHR124W
P38850	3t7k.A	YHR154W
P38859	5hog.D	YHR164C
P38861	5t62.V	YHR170W
P38862	4gsl.A	YHR171W
P38863	5flz.A	YHR172W
P38867	4m8b.R	YHR177W
P38874	4a8j.B	YHR187W
P38877	5msm.B	YHR191C
P38881	5xjg.B	YHR195W
P38882	5wlc.LK	YHR196W
P38886	5mpd.W	YHR200W
P38894	2xjp.A	YHR211W
P38902	1twf.K	YOL005C
P38907	4je3.B	YDR254W
P38912	6fyx.i	YMR260C
P38913	2wsi.A	YDL045C
P38920	4e4w.A	YMR167W
P38922	2mzt.A	YNL004W
P38957	5xyn.D	YDR078C
P38960	3key.A	YDR082W
P38968	4bzj.A	YDL195W
P38989	4rsi.A	YFR031C
P38993	1zpu.A	YMR058W
P38995	1fvq.A	YDR270W
P38998	2qrj.A	YIR034C
P38999	2axq.A	YNR050C
P39007	6ezn.F	YGL022W
