uniprot	pdb	oln	pdb_length
P22217	2i9h.A	YLR043C	103
P22219	5kc2.B	YBR097W	1224
P22276	6eu3.B	YOR207C	1114
P22289	2ibz.I	YGR183C	55
P22353	3j6b.L	YJL063C	229
P22354	3j6b.a	YKR085C	176
P22434	4ojv.A	YGL248W	363
P22515	5l6h.A	YKL210W	1006
P22543	5dfz.C	YLR240W	783
P22803	2hsy.A	YGR209C	104
P22855	5jm0.A	YGL156W	940
P22943	2l9q.A	YFL014W	109
P23254	1gpu.A	YPR074C	678
P23301	5dat.f	YEL034W	186
P23369	3j6b.b	YGR076C	155
P23542	1yaa.A	YLR027C	412
P23638	4r17.B	YGR135W	244
P23639	1ryp.B	YML092C	250
P23724	1g0u.L	YBL041W	222
P23776	1h4p.A	YLR300W	408
P23968	6c6l.C	YHR026W	200
P24280	6f0e.A	YMR079W	300
P25043	3nzj.H	YOR157C	222
P25335	1o59.A	YIR029W	318
P25337	6bk8.I	YCR063W	156
P25348	3j6b.W	YCR003W	112
P25372	2oe3.A	YCR083W	106
P25373	3c1r.A	YCL035C	110
P25382	4wju.A	YCR072C	457
P25443	4v88.AC	YGL123W	217
P25451	4r17.I	YER094C	204
P25515	6c6l.E	YEL027W	159
P25554	3mp6.A	YCL010C	508
P25559	5msm.A	YCL016C	371
P25626	3j6b.M	YCR046C	151
P25637	6bqi.A	YCR059C	258
P25638	2l6j.A	YCR060W	111
P25642	3j6b.7	YCR071C	106
P26449	1yfq.A	YOR026W	342
P26755	6i52.A	YJL173C	122
P26783	4v88.AF	YJR123W	206
P26784	4v88.BO	YIL133C	206
P26786	4v88.AH	YOR096W	184
P27472	3nb0.A	YLR258W	638
P27616	2cnq.A	YAR015W	301
P27796	1afw.A	YIL160C	390
P27882	4e0i.A	YGR029W	152
P27999	1twf.I	YGL070C	122
P28005	6agb.E	YAL033W	146
P28241	3blx.B	YOR136W	346
P28321	4zxf.A	YKL094W	308
P28737	5w0t.A	YGR028W	298
P28778	5mrc.FF	YKL003C	125
P28817	5mrc.88	YDR036C	452
P28834	3blx.A	YNL037C	335
P29311	5n6n.A	YER177W	231
P29340	2y9m.A	YGR133W	166
P29468	2o1p.A	YKR002W	523
P29509	3itj.A	YDR353W	317
P30656	3nzj.K	YPR103W	212
P30657	1g0u.1	YFR050C	233
P30822	4gmx.C	YGR218W	1015
P31116	1q7g.A	YJR139C	358
P31334	3j6b.C	YGR220C	249
P31373	1n8p.A	YAL012W	393
P31386	4x33.B	YAL020C	325
P31412	1u7l.A	YKL080W	364
P31787	1st7.A	YGR037C	86
P32178	5csm.A	YPR060C	251
P32179	1ka1.A	YOL064C	355
P32288	3fky.A	YPR035W	336
P32318	3fpz.A	YGR144W	311
P32324	1n0u.A	YDR385W	819
P32337	3w3z.A	YMR308C	1013
P32340	4g6h.A	YML120C	472
P32349	6eu3.O	YPR190C	537
P32356	5n6n.C	YDR001C	698
P32357	3sbt.B	YBL074C	300
P32366	6c6l.B	YLR447C	344
P32377	1fi4.A	YNR043W	391
P32379	4r17.D	YGR253C	235
P32387	3j6b.P	YDR405W	207
P32449	1of8.A	YBR249C	339
P32477	3ig5.A	YJL101C	673
P32496	3jck.H	YFR052W	246
P32529	4c2m.I	YJR063W	124
P32563	6c6l.A	YOR270C	746
P32565	5mpd.N	YIL075C	890
P32570	4gwp.D	YBR253W	121
P32585	4gwp.E	YGR104C	253
P32589	3c7n.A	YPL106C	649
P32600	6emk.A	YKL203C	2262
P32602	1qqe.A	YBL050W	281
P32611	3j6b.B	YEL050C	295
P32613	3pr6.A	YEL048C	145
P32626	2g80.A	YEL038W	225
P32639	5m52.A	YER172C	1910
P32643	3g5t.A	YER175C	300
P32656	5hwk.A	YER163C	223
P32774	1rm1.B	YKL058W	101
P32807	5y58.A	YMR284W	548
P32842	6c6l.D	YPL234C	157
P32844	5yfp.C	YIL068C	794
P32855	5yfp.D	YPR055W	954
P32861	2i5k.A	YKL035W	465
P32899	5wlc.LZ	YHR148W	182
P32904	3j6b.F	YHR147C	185
P32905	4v88.AA	YGR214W	206
P32906	1g6i.A	YJR131W	510
P32911	2ogh.A	YNL244C	108
P32914	2exu.A	YGR063C	192
P32915	6n3q.A	YLR378C	391
P33201	3jct.W	YKL009W	234
P33297	5mp9.M	YOR117W	381
P33298	5mp9.K	YDR394W	389
P33299	5mp9.H	YKL145W	390
P33307	1wa5.C	YGL238W	938
P33309	2vgn.A	YNL001W	360
P33312	4ha7.A	YBR153W	221
P33317	3p48.A	YBR252W	127
P33324	3q8g.A	YKL091C	306
P33331	1gy7.A	YER009W	121
P33334	6bk8.A	YHR165C	1960
P33442	4v88.AB	YLR441C	214
P33734	1jvn.A	YBR248C	537
P33750	5wlc.LU	YLL011W	457
P33759	5mrc.EE	YBR251W	288
P33767	6ezn.G	YEL002C	394
P33891	3fhn.A	YGL145W	673
P34087	1y14.B	YDR404C	154
P34162	2hzm.A	YHR041C	205
P34227	5ykj.A	YBL064C	213
P34760	3sbc.A	YML028W	195
P35127	1cmx.A	YJR099W	214
P35184	5ams.A	YIR012W	392
P35189	5sva.n	YPL129W	200
P35195	1lxj.A	YBL001C	104
P35202	1ig0.A	YOR143C	317
P35203	6gyu.A	YMR094W	423
P35207	5mc6.h	YLR398C	1121
P35718	2ckz.B	YKL144C	180
P35729	4xmn.E	YKL057C	896
P35731	4hbg.A	YKL055C	257
P35844	3spw.A	YPL145C	398
P35996	3j6b.I	YKL170W	125
P35997	4v88.Ab	YKL156W	81
P36010	3b54.A	YKL067W	145
P36012	2l5a.A	YKL049C	225
P36017	1ek0.A	YOR089C	171
P36046	2zxt.A	YKL195W	451
P36048	6bk8.B	YKL173W	900
P36068	1xly.A	YKL130C	224
P36088	1f5m.A	YKL069W	176
P36105	4v88.BM	YKL006W	150
P36136	3oi7.A	YKR043C	260
P36141	1wpi.A	YKR049C	133
P36144	5ydu.A	YKR060W	233
P36149	3cue.D	YKR068C	186
P36151	3kc2.A	YKR070W	327
P36156	5lkb.A	YKR076W	344
P36159	5mtz.A	YKR079C	768
P36160	3jct.v	YKR081C	287
P36421	2dlc.X	YGR185C	339
P36516	3j6b.5	YMR024W	326
P36519	3j6b.E	YDR237W	274
P36520	3j6b.J	YNL284C	220
P36523	3j6b.9	YLR312W-A	195
P36526	3j6b.3	YBR282W	126
P36527	3j6b.2	YDR462W	113
P36533	3j6b.X	YML009C	64
P36534	3j6b.Q	YPL173W	279
P37261	4urp.A	YCL026C-A	179
P38011	3frx.A	YMR116C	309
P38013	4h86.A	YLR109W	187
P38061	4v88.Be	YBL092W	141
P38064	3j6b.K	YBL038W	195
P38074	1g6q.1	YBR034C	328
P38075	1ci0.A	YBR035C	205
P38077	2xok.G	YBR039W	266
P38111	5x6o.C	YBR136W	1997
P38115	4ijr.A	YBR149W	328
P38116	1moz.A	YBR164C	179
P38120	5mrc.II	YBR146W	226
P38123	6bx3.A	YBR175W	314
P38131	5a07.A	YBR199W	396
P38182	2kq7.A	YBL078C	119
P38197	1b54.A	YBL036C	230
P38203	4m7d.B	YBL026W	92
P38208	6agb.H	YBL018C	131
P38230	3qwb.A	YBR046C	330
P38247	4ftx.A	YBR077C	158
P38251	1sxj.E	YBR087W	317
P38265	4it3.A	YBR107C	219
P38276	4clc.A	YBR137W	169
P38304	4gwp.C	YBR193C	184
P38336	6agb.D	YBR257W	227
P38348	3vld.A	YBR272C	457
P38353	2ww9.A	YBR283C	490
P38624	3nzj.2	YJL001W	196
P38629	1sxj.C	YNL290W	322
P38632	3htk.C	YEL019C	254
P38636	1fd8.A	YNL259C	73
P38698	2qb7.A	YHR201C	393
P38701	4v88.AU	YHL015W	107
P38720	2p4q.A	YHR183W	476
P38751	5xyn.C	YHL006C	146
P38754	4v8y.BM	YHL001W	137
P38764	5mpd.Z	YHR027C	906
P38765	1ym5.A	YHR029C	294
P38777	1ycd.A	YHR049W	237
P38783	5mrc.22	YHR059W	99
P38786	6agb.I	YHR062C	242
P38792	4ifd.H	YHR069C	295
P38801	6ft6.LL	YHR081W	222
P38804	1nyn.A	YHR087W	111
P38805	6em3.x	YHR088W	267
P38811	5ojs.T	YHR099W	3473
P38862	4gsl.A	YHR171W	598
P38877	5msm.B	YHR191C	132
P38902	1twf.K	YOL005C	114
P38913	2wsi.A	YDL045C	285
P38957	5xyn.D	YDR078C	205
P38993	1zpu.A	YMR058W	529
P38998	2qrj.A	YIR034C	365
P38999	2axq.A	YNR050C	445
P39007	6ezn.F	YGL022W	650
P39076	4v81.B	YIL142W	513
P39077	4v81.C	YJL014W	514
P39078	4v81.D	YDL143W	522
P39079	4v81.F	YDR188W	533
P39108	3w15.A	YDR142C	336
P39111	4rnd.B	YGR020C	118
P39516	5tbw.P	YJL191W	148
P39682	5zwn.U	YML046W	583
P39683	1vlp.A	YOR209C	418
P39706	6bx3.B	YAR003W	399
P39729	4a9a.A	YAL036C	356
P39742	6n3q.F	YLR292C	190
P39938	4v88.Aa	YGL189C	97
P39939	5m1j.a2	YER131W	98
P39958	2bcg.G	YER136W	442
P39968	5xjg.A	YEL013W	489
P39984	4psw.B	YEL056W	366
P39990	4nut.A	YEL026W	122
P40011	2c5q.A	YER010C	233
P40016	5mpd.S	YER021W	475
P40029	3pim.A	YER042W	173
P40032	3mgu.A	YER049W	533
P40037	1jd1.A	YER057C	126
P40043	3bcy.A	YER067W	146
P40078	3jct.r	YER126C	230
P40089	4c92.E	YER146W	84
P40090	4xdn.A	YER147C	604
P40107	5oge.A	YGL225W	299
P40165	1jzt.A	YNL200C	243
P40185	3quw.A	YIL051C	125
P40202	1jk9.B	YMR038C	243
P40204	5zwn.g	YFL017W-A	75
P40217	3zwl.B	YMR146C	339
P40302	4r17.E	YMR314W	231
P40303	4r17.C	YOL038W	240
P40327	5mp9.I	YDL007W	385
P40339	1sxj.B	YOL094C	316
P40347	1d1q.A	YPR073C	159
P40348	1sxj.D	YJR068W	328
P40359	3jc6.B	YJL072C	181
P40362	5wlc.LS	YJL069C	481
P40363	4fol.A	YJL068C	283
P40413	4v81.E	YJR064W	525
P40416	4myc.A	YMR301C	598
P40465	3vu9.B	YIL132C	191
P40482	1m2v.B	YIL109C	748
P40496	5mrc.UU	YIL093C	233
P40509	3mv2.B	YIL076W	293
P40513	3qv0.A	YIL070C	179
P40515	1y8m.A	YIL065C	144
P40545	2agk.A	YIL020C	233
P40554	2ax5.A	YIL008W	99
P40565	5zwm.X	YIR005W	128
P40571	6agb.K	YIR015W	128
P40579	3kzv.A	YIR035C	249
P40581	3cmi.A	YIR037W	143
P40693	3jct.t	YNL002C	287
P40858	3j6b.N	YJL096W	118
P40893	3o12.A	YJL217W	185
P40955	4wjw.B	YJL099W	673
P40969	6gyu.B	YMR168C	579
P41057	4v88.Ad	YLR388W	53
P41277	2qlt.A	YIL053W	251
P41318	6emk.B	YNL006W	300
P41338	5xyj.A	YPL028W	396
P41543	6ezn.A	YJL002C	438
P41734	3mil.A	YOR126C	240
P41807	1ho8.A	YPR036W	447
P41812	6agb.B	YNL221C	784
P41816	5v4v.A	YPL171C	397
P41921	2hqm.A	YPL091W	461
P41948	5aex.A	YNL142W	456
P42841	6eoj.D	YNL317W	388
P42847	5mrc.KK	YNL306W	142
P42938	1odf.A	YGR205W	280
P42943	4v81.G	YJL111W	509
P43122	4k25.A	YDL104C	355
P43321	5zwn.d	YLR147C	92
P43534	4h65.A	YFL058W	315
P43567	2bkw.A	YFL030W	382
P43577	1i12.A	YFL017C	154
P43588	3jck.G	YFR004W	257
P43589	4msx.A	YFR005C	395
P43591	2ga8.A	YFR007W	329
P43616	4g1p.A	YFR044C	481
P43619	3c2r.A	YFR047C	267
P46673	4xmm.D	YJR042W	620
P46680	1pgu.A	YMR092C	606
P46784	4u3m.C0	YMR230W	96
P46948	5jea.B	YGR195W	243
P46951	4n5c.A	YGR198W	745
P46959	5eqj.B	YJL125C	319
P46964	6ezn.B	YOR103C	110
P47016	4hg5.A	YJL126W	304
P47039	3b46.A	YJL060W	424
P47047	4qu4.A	YJL050W	942
P47077	5wtx.A	YJL010C	543
P47079	4v81.H	YJL008C	525
P47096	1zvf.A	YJR025C	176
P47103	5jhe.A	YJR032W	388
P47112	5udb.8	YJR046W	519
P47123	1eq6.A	YJR074W	189
P47141	5mrc.33	YJR101W	244
P47142	1xb4.A	YJR102C	180
P47822	1yke.B	YDR308C	119
P48240	5jea.F	YGR158C	210
P48589	4v88.AM	YOR369C	124
P48606	1qsd.A	YOR265W	102
P48836	4efa.G	YHR039C-A	95
P49017	4obx.A	YML110C	235
P49166	4v88.Bj	YLR185W	87
P49167	4v88.Bk	YLR325C	129
P49435	1g2q.A	YML022W	178
P49687	4xmm.B	YGL092W	511
P49704	5zwm.L	YGR091W	416
P49954	1f89.A	YLR351C	271
P49955	5zwm.1	YMR288W	816
P49960	5vsu.A	YMR268C	387
P50086	2dzn.A	YGR232W	226
P50102	3mhs.A	YMR223W	455
P50264	1rsg.A	YMR020W	481
P50623	2gjd.A	YDL064W	155
P50861	1ejb.A	YOL143C	168
P50874	5zr1.E	YNL261W	460
P51534	3opb.A	YOR035C	747
P51998	3j6b.D	YML025C	239
P52490	1jbb.A	YDR092W	148
P52491	3o2u.A	YLR306W	190
P53008	4j5t.A	YGL027C	788
P53011	3f3f.A	YGL100W	308
P53038	3o4z.A	YGR099W	572
P53051	3aj7.A	YGR287C	586
P53078	3nuq.A	YGL224C	268
P53090	4je5.A	YGL202W	494
P53131	2xau.A	YGL120C	745
P53136	6en7.A	YGL111W	372
P53141	1m45.A	YGL106W	142
P53144	5yox.A	YGL101W	183
P53152	1jat.B	YGL087C	132
P53178	2jzc.A	YGL047W	201
P53184	3v8e.A	YGL037C	216
P53193	3uo3.A	YGL018C	174
P53196	3vl1.A	YGL004C	416
P53215	5xox.A	YGR024C	230
P53218	3iab.A	YGR030C	148
P53228	3cq0.A	YGR043C	325
P53254	4m5d.A	YGR090W	1098
P53256	5jea.D	YGR095C	224
P53290	4arz.B	YGR163W	305
P53292	5mrc.66	YGR165W	305
P53305	5mrc.XX	YGR215W	96
P53323	4ww7.A	YGR262C	237
P53378	5flz.C	YLR212C	445
P53549	5mp9.L	YOR259C	388
P53615	3eyx.A	YNL036W	197
P53686	1q14.A	YPL015C	289
P53732	5mrc.LL	YNR036C	124
P53733	5mrc.SS	YNR037C	80
P53738	2j6a.A	YNR046W	136
P53742	3jct.m	YNR053C	470
P53757	1yga.A	YNR071C	336
P53833	6agb.C	YNL282W	175
P53853	2zd7.A	YNL246W	222
P53859	5jea.I	YNL232W	235
P53860	4m8z.A	YNL231C	319
P53889	1nkq.A	YNL168C	247
P53929	2yn2.A	YNL108C	254
P53934	5x62.A	YNL092W	377
P53937	5mrc.MM	YNL081C	120
P53941	5wlc.SM	YNL075W	282
P54790	5zr1.C	YLL004W	583
P54791	5zr1.D	YPR162C	438
P54860	3m62.A	YDL190C	955
P54885	1vlu.A	YOR323C	395
P57743	4c92.C	YLR438C-A	79
P60010	1yag.A	YFL039C	372
P61829	4f4s.A	Q0130	74
P80428	5i9e.A	YJL081C	421
P81450	6b2z.S	YML081C-A	59
P87262	4v88.Bg	YER056C-A	145
P89102	5yfp.B	YDR166C	928
Q00055	4fgw.A	YDL022W	353
Q00582	4arz.A	YML121W	292
Q00955	5csk.A	YNR016C	1996
Q01159	3kyh.C	YGL130W	387
Q01163	5mrc.WW	YGL129C	402
Q01217	4ab7.A	YER069W	405
Q01532	1a6r.A	YNL239W	459
Q01574	1ry2.A	YAL054C	615
Q01855	4v88.AP	YOL040C	124
Q01939	5mp9.J	YGL048C	386
Q02046	1edz.A	YKR080W	317
Q02159	2ucz.A	YMR022W	164
Q02201	4b2z.A	YKR003W	399
Q02204	3j6b.8	YKR006C	182
Q02260	5zwn.b	YGR074W	119
Q02326	3jbs.A	YML073C	175
Q02486	5jh0.A	YMR072W	156
Q02608	5mrc.PP	YPL013C	116
Q02647	4ds1.A	YDR424C	86
Q02753	4v88.BT	YBR191W	206
Q02754	5kci.A	YPL067C	184
Q02784	3gx8.A	YPL059W	111
Q02793	1sq9.A	YGL213C	378
Q02795	6ezn.H	YMR149W	259
Q02890	1x3z.A	YPL096W	320
Q02892	3jct.b	YPL093W	643
Q02931	5wlc.LH	YPL126W	1082
Q03018	5u1t.A	YGR098C	1486
Q03020	5tre.a	YPL135W	142
Q03034	4zac.A	YDR539W	503
Q03036	5cog.A	YDR540C	168
Q03048	1cfy.A	YLL050C	133
Q03067	3mhs.C	YPL047W	93
Q03071	1hv2.A	YPL046C	99
Q03096	2m9v.A	YIL009C-A	170
Q03148	3fem.A	YMR096W	281
Q03161	2cir.A	YMR099C	288
Q03195	5ll6.h	YDR091C	578
Q03201	5mrc.JJ	YDR041W	186
Q03246	5mrc.QQ	YMR188C	204
Q03266	4k6n.A	YMR289W	352
Q03557	4n0h.A	YMR293C	446
Q03629	1xe7.A	YML079W	186
Q03630	3cue.C	YML077W	143
Q03705	4ww7.B	YML036W	172
Q03713	5nf8.A	YML030W	159
Q03759	1n6z.A	YML108W	105
Q03774	2vdu.B	YDR165W	374
Q03776	5zwn.T	YDR235W	539
Q03799	5mrc.HH	YMR158W	154
Q03862	3jct.4	YDR101C	516
Q03940	6gej.T	YDR190C	443
Q03976	5mrc.YY	YDR175C	269
Q04049	2r8j.A	YDR419W	511
Q04062	2mr3.A	YDR427W	356
Q04066	1vkh.A	YDR428C	261
Q04081	1rjd.A	YDR435C	328
Q04120	5dvb.A	YDR453C	199
Q04178	2xbu.A	YDR399W	201
Q04299	1njr.A	YMR087W	249
Q04371	3pt1.A	YMR027W	464
Q04377	5x6o.G	YDR499W	704
Q04432	4qyx.A	YDR533C	235
Q04437	5y58.B	YMR106C	568
Q04491	2pm7.B	YLR208W	279
Q04693	5zwm.3	YML049C	1180
Q04868	4a8j.C	YMR312W	263
Q04894	1piw.A	YMR318C	360
Q05016	3rku.A	YMR226C	268
Q05029	4in3.B	YMR237W	589
Q05123	3wee.A	YMR033W	428
Q05498	5wlc.SL	YDR339C	174
Q05506	1f7u.A	YDR341C	607
Q05583	2hes.X	YDR267C	308
Q05636	5jea.A	YDR280W	299
Q05776	5jqm.A	YLR193C	235
Q05871	1pjh.A	YLR284C	259
Q05905	3rby.A	YLR301W	245
Q05926	2m80.A	YLR364W	109
Q06078	5wlc.LT	YLR409C	850
Q06090	3j6b.4	YPR100W	138
Q06103	3jck.D	YPR108W	384
Q06135	5o9q.A	YLR343W	434
Q06142	5owu.A	YLR347C	860
Q06151	5bv3.A	YLR270W	329
Q06213	5oqm.k	YPR168W	127
Q06217	5zwn.c	YLR275W	101
Q06245	5yfp.E	YLR166C	776
Q06287	3oii.A	YLR186W	217
Q06385	2zih.A	YDR372C	282
Q06389	1fpw.A	YDR373W	190
Q06406	4c92.F	YDR378C	77
Q06512	5wlc.SU	YPR144C	526
Q06549	1r5t.A	YLR245C	141
Q06592	1qsm.A	YPR193C	150
Q06630	3j6b.d	YDR296W	204
Q06632	6eoj.A	YDR301W	1233
Q06678	3j6b.1	YDR322W	332
Q06819	5zwm.E	YPR082C	139
Q06835	5zwm.5	YPR094W	103
Q06892	3afo.A	YPL188W	360
Q07381	6fai.k	YDL060W	670
Q07478	5suq.A	YDL084W	374
Q07688	2r25.A	YDL235C	166
Q07794	2zfn.A	YLL002W	376
Q07879	4ebr.A	YLL042C	157
Q07923	1t0i.A	YLR011W	185
Q08032	3jc6.E	YLR103C	553
