#Table S1. Protein copies per cell		
oln	SP_id	description	copies per cell
ENST00000330244	P08708	40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2	2.59E+06
ENST00000616643	P62258	14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1	2.58E+06
ENST00000334828	P18669	Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2	2.52E+06
ENST00000522542	P63104	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1	2.42E+06
ENST00000524851	P23396	40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2	2.40E+06
ENST00000317702	Q9BUF5	Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1	2.31E+06
ENST00000368809	P60903	Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2	2.29E+06
ENST00000303305	Q9UQ80	Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3	2.24E+06
ENST00000338639	Q99497	Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2	2.23E+06
ENST00000300026	P23284	Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2	2.22E+06
ENST00000293831	P60842	Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	2.22E+06
ENST00000374517	P10599	Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	2.17E+06
ENST00000551150	P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	2.17E+06
ENST00000303577	Q15365	Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2	2.09E+06
ENST00000312175	O75531	Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	2.03E+06
ENST00000357790	P05386	60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	2.01E+06
ENST00000580685	P52565	Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	2.01E+06
ENST00000488683	Q9Y696	Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4	1.99E+06
ENST00000512805	P63244	Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3	1.99E+06
ENST00000524624	P29692	Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5	1.93E+06
ENST00000223321	P25787	Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2	1.92E+06
ENST00000394920	P62917	60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2	1.91E+06
ENST00000316084	P62701	40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2	1.88E+06
ENST00000462138	P29401	Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	1.86E+06
ENST00000360384	P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	1.81E+06
ENST00000271308	P28066	Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3	1.77E+06
ENST00000251453	P62249	40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2	1.76E+06
ENST00000343986	P63220	40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1	1.75E+06
ENST00000287038	P62888	60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2	1.74E+06
ENST00000394601	P26599	Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1	1.74E+06
ENST00000229277	P09104	Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3	1.71E+06
ENST00000353703	P31946	14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3	1.68E+06
ENST00000392369	P62826	GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	1.66E+06
ENST00000449470	P32969	60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1	1.56E+06
ENST00000379055	P13693	Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1	1.53E+06
ENST00000373232	Q15181	Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2	1.52E+06
ENST00000368299	P02545	Lamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	1.51E+06
ENST00000601521	P46782	40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4	1.48E+06
ENST00000343262	P15880	40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2	1.47E+06
ENST00000335895	P20290	Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1	1.45E+06
ENST00000582730	Q07955	Splicing factor, arginine/serine-rich 1 OS=Homo sapiens GN=SFRS1 PE=1 SV=2	1.45E+06
ENST00000394202	Q15417	Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1	1.44E+06
ENST00000379160	P12004	Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1	1.42E+06
ENST00000326199	P46783	40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1	1.42E+06
ENST00000325495	P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	1.41E+06
ENST00000643754	P62913	60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2	1.41E+06
ENST00000340385	P30041	Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	1.41E+06
ENST00000230050	P25398	40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3	1.40E+06
ENST00000286788	P50990	T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	1.40E+06
ENST00000300408	P35232	Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1	1.40E+06
ENST00000307961	P36578	60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	1.39E+06
ENST00000358901	P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	1.38E+06
ENST00000373841	Q15233	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	1.38E+06
ENST00000439602	P62269	40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3	1.36E+06
ENST00000352983	P18124	60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1	1.35E+06
ENST00000280357	Q14116	Interleukin-18 OS=Homo sapiens GN=IL18 PE=1 SV=1	1.34E+06
ENST00000557201	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4	1.33E+06
ENST00000238081	P27348	14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	1.32E+06
ENST00000342192	P68036	Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1	1.32E+06
ENST00000001008	Q02790	FK506-binding protein 4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3	1.31E+06
ENST00000644759	P46777	60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3	1.31E+06
ENST00000168216	Q99714	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3	1.31E+06
ENST00000359308	P12956	ATP-dependent DNA helicase 2 subunit 1 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	1.29E+06
ENST00000400175	O14950	Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2, Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2	1.29E+06
ENST00000301821	P08865	40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4	1.27E+06
ENST00000280326	P48643	T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	1.26E+06
ENST00000329251	P26641	Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	1.26E+06
ENST00000216181	P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	1.24E+06
ENST00000592588	P62841	40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2	1.22E+06
ENST00000439590	P63173	60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2	1.21E+06
ENST00000600467	P39019	40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2	1.20E+06
ENST00000316448	P27797	Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	1.20E+06
ENST00000380191	P50395	Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2	1.20E+06
ENST00000263368	P30043	Flavin reductase OS=Homo sapiens GN=BLVRB PE=1 SV=3	1.20E+06
ENST00000399728	P16949	Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3	1.19E+06
ENST00000342166	Q9C005	Protein dpy-30 homolog OS=Homo sapiens GN=DPY30 PE=1 SV=1	1.17E+06
---	A8MW06	Thymosin beta-4-like protein 3 OS=Homo sapiens GN=TMSL3 PE=2 SV=1, Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2	1.17E+06
ENST00000600659	P62857	40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1	1.16E+06
ENST00000431921	O00299	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	1.14E+06
ENST00000221957	O60664	Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=2	1.14E+06
---	P62988	Ubiquitin OS=Homo sapiens GN=RPS27A PE=1 SV=1	1.13E+06
ENST00000381719	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2	1.13E+06
ENST00000301522	P32119	Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5	1.09E+06
ENST00000219169	P61970	Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1	1.07E+06
ENST00000556161	Q9Y281	Cofilin-2 OS=Homo sapiens GN=CFL2 PE=1 SV=1	1.06E+06
ENST00000250101	Q9BRA2	Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1	1.05E+06
ENST00000339276	P31947	14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1	1.05E+06
ENST00000262030	P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3	1.04E+06
ENST00000539919	Q99832	T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	1.03E+06
ENST00000393432	P31943	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	1.01E+06
ENST00000360472	Q15121	Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=2	1.01E+06
ENST00000394419	P12814	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	1.00E+06
ENST00000360270	P26038	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	1.00E+06
ENST00000372797	Q01518	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=4	9.97E+05
ENST00000221419	P14866	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2	9.86E+05
ENST00000369817	P27635	60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4	9.85E+05
ENST00000399494	P09429	High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3	9.85E+05
ENST00000379649	P61960	Ubiquitin-fold modifier 1 OS=Homo sapiens GN=UFM1 PE=1 SV=1	9.84E+05
ENST00000331483	P07237	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	9.83E+05
ENST00000393564	P11413	Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4	9.71E+05
ENST00000548249	Q13561	Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4	9.70E+05
ENST00000261366	P20700	Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2	9.64E+05
ENST00000535757	P07108	Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2	9.33E+05
ENST00000321358	P67809	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3	9.25E+05
ENST00000524142	O00244	Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=1 SV=1	9.23E+05
ENST00000368720	P06703	Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	8.97E+05
ENST00000262428	Q14019	Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	8.90E+05
ENST00000420826	P61956	Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2 PE=1 SV=1	8.89E+05
ENST00000373586	Q13347	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1	8.45E+05
ENST00000261313	P30086	Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3	8.38E+05
ENST00000606149	P62333	26S protease regulatory subunit S10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1	8.33E+05
ENST00000538945	P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1	8.27E+05
ENST00000392133	P13010	ATP-dependent DNA helicase 2 subunit 2 OS=Homo sapiens GN=XRCC5 PE=1 SV=3	8.26E+05
ENST00000360319	P21333	Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	8.24E+05
ENST00000361475	P21980	Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2	8.15E+05
ENST00000295688	P49368	T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	8.13E+05
ENST00000256383	P05198	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	8.07E+05
ENST00000414487	P62304	Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1	7.95E+05
ENST00000394440	P50991	T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4	7.94E+05
ENST00000217426	P23526	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	7.92E+05
ENST00000534510	P07858	Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	7.91E+05
ENST00000316629	P06493	Cell division control protein 2 homolog OS=Homo sapiens GN=CDC2 PE=1 SV=1	7.85E+05
ENST00000524558	P50454	Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2	7.81E+05
ENST00000304858	P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	7.81E+05
ENST00000274065	P61247	40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2	7.79E+05
ENST00000377351	P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3	7.75E+05
ENST00000393043	Q00610	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	7.73E+05
ENST00000321394	P17987	T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	7.66E+05
ENST00000261735	P30040	Endoplasmic reticulum protein ERp29 OS=Homo sapiens GN=ERP29 PE=1 SV=4	7.65E+05
ENST00000326739	P12268	Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens GN=IMPDH2 PE=1 SV=2	7.59E+05
ENST00000622405	P60900	Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1	7.55E+05
ENST00000368858	O43684	Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1	7.55E+05
ENST00000202773	Q02878	60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3	7.52E+05
ENST00000409409	P99999	Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2	7.52E+05
ENST00000375142	P47756	F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4	7.40E+05
ENST00000380394	P62753	40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1	7.39E+05
ENST00000359462	Q15366	Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	7.28E+05
ENST00000367380	P22061	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=3	7.27E+05
ENST00000505427	P35754	Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2	7.27E+05
ENST00000570259	O75506	Heat shock factor-binding protein 1 OS=Homo sapiens GN=HSBP1 PE=1 SV=1	7.21E+05
ENST00000435761	Q13200	26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3	7.13E+05
ENST00000371315	Q9ULC4	Malignant T cell amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1	7.12E+05
ENST00000588301	P62316	Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1	7.09E+05
ENST00000431519	Q9UKY7	Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1	7.06E+05
ENST00000373365	Q04760	Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4	6.97E+05
ENST00000413382	P25789	Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1	6.93E+05
ENST00000535458	Q14974	Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2	6.87E+05
ENST00000436399	Q15185	Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1	6.85E+05
ENST00000361891	Q12905	Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	6.78E+05
ENST00000432020	P40926	Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3	6.78E+05
ENST00000323250	P04818	Thymidylate synthase OS=Homo sapiens GN=TYMS PE=1 SV=3	6.77E+05
ENST00000303436	P18085	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	6.73E+05
ENST00000272102	P84077	ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	6.65E+05
ENST00000396651	P62241	40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	6.63E+05
ENST00000356487	P06744	Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4	6.57E+05
ENST00000298852	P17980	26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3	6.49E+05
ENST00000263168	P52907	F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	6.45E+05
ENST00000216605	P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3	6.36E+05
ENST00000322203	P62906	60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2	6.35E+05
ENST00000306388	O75347	Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3	6.32E+05
ENST00000245206	P00505	Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=2	6.32E+05
ENST00000567815	P26373	60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4	6.32E+05
ENST00000216146	P39023	60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	6.31E+05
ENST00000261700	Q9Y224	UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1	6.29E+05
ENST00000216714	P27695	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2	6.23E+05
ENST00000396394	P25786	Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1	6.23E+05
ENST00000381341	Q92499	ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2	6.23E+05
