oln	contact_density
YDR404C	3.3766
YDR405W	3.3382
YDR419W	3.6595
YDR424C	3.3488
YDR427W	4.5337
YDR428C	3.8966
YDR435C	3.9421
YDR450W	3.0828
YDR453C	3.5528
YDR454C	3.4550
YDR462W	2.8407
YDR499W	3.1065
YDR513W	3.6019
YDR529C	3.1280
YDR530C	3.7582
YDR533C	3.9660
YDR539W	3.9920
YDR540C	3.8750
YEL013W	3.9734
YEL019C	3.1535
YEL021W	3.7893
YEL024W	3.1622
YEL026W	3.6721
YEL027W	2.7067
YEL034W	3.2043
YEL038W	3.6400
YEL039C	3.4911
YEL048C	3.4345
YEL050C	3.8644
YEL054C	3.1355
YEL056W	3.8470
YER009W	3.3802
YER010C	3.7210
YER012W	3.7374
YER021W	3.4779
YER042W	3.6243
YER049W	3.7580
YER056C-A	3.0828
YER057C	3.4048
YER067W	3.4863
YER069W	3.6691
YER074W	2.9701
YER094C	3.8627
YER126C	2.8565
YER131W	2.1939
YER136W	3.8688
YER146W	3.1667
YER147C	3.8874
YER163C	3.6996
YER172C	3.7325
YER175C	4.6500
YER177W	3.8528
YFL005W	3.5511
YFL014W	2.7064
YFL017C	3.3766
YFL017W-A	2.7391
YFL018C	3.7259
YFL030W	4.0105
YFL037W	4.8828
YFL038C	3.6564
YFL039C	3.8360
YFL058W	3.7714
YFR004W	3.1868
YFR005C	4.5190
YFR007W	3.8207
YFR031C-A	3.3779
YFR032C-A	3.0200
YFR044C	3.8753
YFR047C	3.4906
YFR050C	3.5150
YFR052W	3.3821
YFR053C	3.8638
YGL004C	3.7620
YGL011C	3.6639
YGL018C	3.4310
YGL027C	4.0038
YGL030W	3.0157
YGL031C	3.1862
YGL037C	3.8333
YGL040C	3.8029
YGL047W	4.2438
YGL048C	3.2228
YGL058W	3.5705
YGL070C	2.6311
YGL087C	3.5152
YGL092W	3.3562
YGL097W	3.7577
YGL100W	3.5162
YGL103W	2.9355
YGL106W	3.2113
YGL111W	3.6935
YGL115W	3.6463
YGL120C	3.9275
YGL123W	3.3779
YGL129C	3.5821
YGL130W	3.4212
YGL135W	2.3386
YGL145W	3.7325
YGL147C	3.2270
YGL156W	3.3213
YGL189C	2.4330
YGL202W	3.6721
YGL213C	3.8651
YGL224C	3.8097
YGL225W	3.7726
YGL238W	3.9286
YGL248W	3.8182
YGL253W	3.8785
YGR020C	3.2881
YGR024C	3.6130
YGR028W	3.5235
YGR029W	3.1118
YGR030C	3.4730
YGR037C	4.2791
YGR043C	4.0800
YGR063C	3.3385
YGR076C	3.5226
YGR085C	3.2899
YGR090W	3.8971
YGR091W	3.2120
YGR095C	3.7188
YGR098C	3.9764
YGR099W	3.7972
YGR104C	3.2767
YGR118W	3.0556
YGR133W	3.5241
YGR135W	3.6557
YGR144W	3.4984
YGR158C	3.3333
YGR163W	3.6033
YGR165W	2.6721
YGR183C	2.6909
YGR185C	3.8319
YGR192C	3.7711
YGR195W	3.6379
YGR198W	3.8537
YGR205W	3.7321
YGR209C	4.1346
YGR214W	3.4417
YGR215W	2.1146
YGR218W	3.9695
YGR232W	4.0044
YGR253C	3.6979
YGR254W	4.0734
YGR262C	3.5148
YGR287C	4.1331
YHL001W	3.0803
YHL006C	3.3836
YHL015W	2.8037
YHR007C	3.8887
YHR008C	3.7902
YHR010W	2.8387
YHR013C	4.0305
YHR024C	3.7899
YHR026W	3.0642
YHR027C	3.8201
YHR029C	3.7449
YHR037W	3.9216
YHR039C-A	2.7158
YHR041C	3.3902
YHR042W	3.8034
YHR049W	3.7426
YHR059W	3.0101
YHR069C	3.2475
YHR072W-A	3.6724
YHR087W	3.4234
YHR088W	2.0861
YHR099W	3.5799
YHR141C	1.7474
YHR147C	4.1730
YHR148W	3.1648
YHR171W	3.7040
YHR183W	3.8046
YHR191C	2.6970
YHR201C	3.8575
YIL008W	3.8182
YIL009C-A	4.7412
YIL018W	3.0437
YIL020C	3.8627
YIL021W	3.2068
YIL035C	3.8338
YIL051C	3.5120
YIL053W	3.8167
YIL065C	3.9167
YIL070C	3.4302
YIL075C	3.8146
YIL076W	3.7031
YIL093C	2.7639
YIL109C	3.9064
YIL132C	3.6440
YIL133C	3.4417
YIL142W	3.2865
YIL148W	2.9701
YIL160C	4.0205
YIL162W	3.8861
YIR005W	3.2188
YIR008C	3.9596
YIR012W	3.9235
YIR029W	3.8522
YIR035C	3.7751
YIR037W	3.5804
YJL001W	3.7653
YJL008C	3.1524
YJL010C	3.8877
YJL014W	3.2393
YJL026W	3.9072
YJL050W	3.3620
YJL060W	3.9552
YJL063C	4.2838
YJL068C	4.1237
YJL069C	3.3472
YJL072C	3.0773
YJL081C	3.6936
YJL085W	3.7650
YJL096W	3.7881
YJL099W	4.0015
YJL101C	4.1828
YJL111W	3.2161
YJL125C	3.3386
YJL126W	3.8882
YJL138C	3.6721
YJL140W	3.1742
YJL153C	3.6914
YJL166W	2.0645
YJL189W	3.0556
YJL190C	3.4264
YJL191W	2.6419
YJL217W	3.6216
YJR007W	3.2008
YJR010W	3.7902
YJR025C	3.3295
YJR032W	3.7526
YJR042W	3.3226
YJR046W	3.0405
YJR048W	2.6792
YJR051W	4.0425
YJR057W	3.7269
YJR063W	2.5565
YJR064W	3.1524
YJR068W	3.4695
YJR074W	3.5185
YJR094W-A	2.3976
YJR099W	3.5701
YJR101W	3.5738
YJR102C	3.6000
YJR104C	3.6471
YJR121W	3.6985
YJR123W	3.3786
YJR131W	4.2373
YJR139C	3.6564
YJR145C	3.3538
YKL003C	3.2960
YKL006W	3.0200
YKL009W	2.9573
YKL024C	3.7449
YKL035W	3.3355
YKL049C	4.3422
YKL053C-A	3.5574
YKL055C	3.5409
YKL057C	3.4598
YKL058W	2.8515
YKL067W	3.4759
YKL069W	3.6648
YKL080W	3.6786
YKL091C	3.7549
YKL094W	4.0000
YKL103C	3.7789
YKL130C	3.7054
YKL138C	3.5932
YKL144C	3.3889
YKL145W	3.2410
YKL152C	3.7991
YKL156W	2.3210
YKL170W	4.1920
YKL173W	3.4892
YKL180W	3.1308
YKL182W	3.8190
YKL194C	3.7429
YKL195W	3.8071
YKL203C	3.5486
YKL210W	3.8897
YKR002W	3.7591
YKR003W	3.7694
YKR006C	3.3681
YKR043C	3.8077
YKR049C	4.7218
YKR057W	2.6552
YKR059W	3.6721
YKR060W	3.4807
YKR066C	4.4502
YKR068C	3.2957
YKR070W	3.9205
YKR076W	4.8256
YKR079C	3.9336
YKR080W	3.6751
YKR081C	2.9582
YKR085C	3.0682
YKR094C	2.8313
YKR095W-A	3.2976
YLL002W	3.7580
YLL004W	3.1157
YLL009C	2.9565
YLL011W	3.3873
YLL018C	3.5673
YLL039C	4.0000
YLL042C	3.5032
YLL050C	3.5564
YLL060C	3.8990
YLR011W	3.6865
YLR027C	3.7816
YLR043C	4.4563
YLR044C	3.9911
YLR061W	3.0088
YLR103C	3.4720
YLR109W	3.6257
YLR119W	2.8656
YLR128W	3.6400
YLR147C	3.1220
YLR163C	3.8952
YLR167W	1.9859
YLR178C	3.5392
YLR185W	2.6667
YLR186W	3.7650
YLR195C	3.6991
YLR208W	3.5448
YLR212C	3.6090
YLR240W	2.3755
YLR245C	3.5816
YLR249W	3.8479
YLR258W	3.9389
YLR264W	2.6290
YLR270W	3.3617
YLR284C	3.9305
YLR287C-A	1.6667
YLR293C	3.4826
YLR300W	4.0931
YLR301W	3.5265
YLR306W	3.4579
YLR312W-A	4.1795
YLR325C	3.4264
YLR343W	3.8340
YLR347C	4.8698
YLR351C	3.8856
YLR364W	4.0826
YLR376C	3.4977
YLR388W	2.2264
YLR398C	3.2293
YLR409C	3.5282
YLR421C	3.2913
YLR438C-A	3.0886
YLR440C	3.8670
YLR441C	3.1308
YLR447C	2.3043
YML009C	3.1562
YML022W	3.6517
YML024W	2.6000
YML025C	3.9121
YML026C	2.2583
YML028W	3.7282
YML036W	3.6744
YML046W	2.9605
YML049C	3.4839
YML051W	3.7949
YML054C	3.6151
YML073C	2.8171
YML077W	3.1818
YML079W	3.6183
YML081C-A	2.3390
YML085C	4.9190
YML092C	3.5680
YML106W	3.6562
YML108W	4.0857
YML110C	3.8170
YML120C	3.7331
YML121W	3.7705
YMR020W	3.8981
YMR022W	3.3720
YMR024W	4.3650
YMR027W	4.0539
YMR033W	3.4860
YMR038C	3.3827
YMR058W	3.8979
YMR072W	3.2244
YMR079W	3.6385
YMR087W	3.7068
YMR092C	3.9290
YMR096W	3.6797
YMR099C	3.8194
YMR106C	3.0423
YMR108W	3.9539
YMR112C	2.6786
YMR116C	3.8350
YMR143W	3.3688
YMR146C	3.8142
YMR158W	3.4805
YMR168C	3.5353
YMR188C	2.9363
YMR194W	2.8037
YMR223W	3.5275
YMR226C	3.7836
YMR228W	3.8602
YMR230W	3.1562
YMR237W	3.5925
YMR242C	3.4154
YMR268C	3.5813
YMR284W	3.2007
YMR286W	3.4634
YMR288W	3.8114
YMR289W	3.7670
YMR293C	3.9753
YMR297W	3.8789
YMR301C	3.5468
YMR308C	3.9289
YMR312W	3.6806
YMR314W	3.7446
YMR318C	3.9028
YNL001W	3.7139
YNL002C	3.1568
YNL005C	3.7390
YNL006W	3.6867
YNL030W	2.8068
YNL036W	3.6244
YNL037C	3.8567
YNL045W	4.0384
YNL075W	3.2163
YNL081C	3.1667
YNL092W	3.6658
YNL108C	4.7362
YNL135C	3.5398
YNL138W-A	2.8690
YNL142W	4.1732
YNL162W	2.4330
YNL168C	3.7206
YNL200C	3.6667
YNL231C	3.7524
YNL232W	3.0851
YNL239W	3.8366
YNL244C	3.3981
YNL246W	3.5225
YNL259C	4.0959
YNL261W	3.1343
YNL284C	3.5500
YNL290W	3.5807
YNL301C	3.0108
YNL306W	3.2324
YNL317W	3.8376
YNR016C	3.7625
YNR032C-A	4.3288
YNR034W-A	4.0510
YNR036C	2.8548
YNR037C	2.6625
YNR043W	3.8338
YNR046W	3.4412
YNR050C	3.8517
YNR053C	2.9745
YNR071C	3.9256
YOL005C	3.0088
YOL009C	3.2291
YOL010W	3.8732
YOL012C	4.7865
YOL021C	3.5897
YOL038W	3.6750
YOL039W	2.3724
YOL040C	2.9435
YOL049W	3.9127
YOL055C	3.5489
YOL057W	3.9310
YOL064C	4.0366
YOL071W	4.0459
YOL072W	4.6154
YOL086C	3.8357
YOL086W-A	2.9773
YOL094C	3.6709
YOL097C	3.9380
YOL120C	3.3779
YOL121C	3.2867
YOL127W	3.2486
YOL139C	4.3521
YOL141W	3.9361
YOL142W	3.1872
YOL143C	3.6667
YOL146W	3.2075
YOL151W	3.9035
YOR021C	3.6324
YOR026W	3.6374
YOR035C	3.7697
YOR046C	3.8261
YOR065W	3.1815
YOR084W	3.7251
YOR089C	3.6140
YOR095C	3.8902
YOR096W	3.0761
YOR116C	3.0295
YOR117W	3.2283
YOR122C	3.7200
YOR126C	3.8542
YOR133W	3.8364
YOR136W	3.6792
YOR143C	3.8013
YOR150W	3.8108
YOR151C	3.6362
YOR157C	3.4324
YOR164C	3.8968
YOR167C	2.7143
YOR176W	3.8483
YOR182C	2.3333
YOR207C	3.1311
YOR209C	3.9306
YOR210W	3.1385
YOR224C	0.1712
YOR250C	3.7593
YOR253W	4.2075
YOR257W	3.3922
YOR259C	3.2732
YOR265W	3.4902
YOR274W	3.6940
YOR285W	3.5667
YOR288C	3.7116
YOR293W	3.2292
YOR294W	2.4231
YOR312C	2.9477
YOR323C	3.7139
YOR332W	3.1733
YOR341W	3.6746
YOR357C	3.3485
YOR362C	3.8107
YOR369C	2.9355
YOR391C	4.0651
YPL001W	3.6144
YPL002C	3.5352
YPL007C	3.5877
YPL013C	2.7931
YPL015C	3.6644
YPL031C	3.6803
YPL046C	4.1818
YPL047W	2.5161
YPL059W	3.5586
YPL067C	4.1033
YPL069C	3.7740
YPL081W	3.2486
YPL090C	3.0885
YPL091W	3.6616
YPL093W	2.9253
YPL096W	3.6437
YPL106C	3.6795
YPL126W	2.4704
YPL129W	0.0950
YPL135W	3.1127
YPL143W	2.6333
YPL144W	3.5669
YPL145C	3.5754
YPL149W	3.5465
YPL152W	3.8938
YPL154C	3.7325
YPL173W	3.0143
YPL188W	3.5972
YPL211W	3.2816
YPL218W	3.5061
YPL225W	4.2671
YPL231W	3.7782
YPL234C	2.6531
YPL240C	3.3087
YPL262W	3.7867
YPL271W	2.2931
YPR010C	3.7724
YPR016C	3.6762
YPR032W	3.7863
YPR034W	3.7569
YPR035W	3.8006
YPR036W	3.8993
YPR043W	2.3210
YPR052C	3.2258
YPR060C	3.6853
YPR062W	3.9231
YPR073C	3.7862
YPR074C	4.0487
YPR080W	3.6886
YPR082C	3.3714
YPR094W	3.3689
YPR100W	3.3043
YPR101W	2.5513
YPR102C	2.8387
YPR103W	3.7736
YPR108W	3.5729
YPR110C	3.4000
YPR144C	3.2072
YPR160W	3.9091
YPR162C	3.1119
YPR165W	3.5843
YPR166C	2.9130
YPR167C	3.9048
YPR181C	3.8301
YPR189W	3.5852
YPR190C	3.0891
YPR191W	3.7415
YPR193C	3.1733
