id,domain,uniprot,genes,details,function1,function2,invis,obsolete,species
10,1CCA,P00431,CCP1 CCP CPO YKR066C,,Destroys radicals which are normally produced within the cells and which are toxic to biological systems.,,1,,0
11,1CFY,Q03048,COF1 YLL050C L0596,,"Controls reversibly actin polymerization and depolymerization in a pH-sensitive manner. It has the ability to bind G- and F-actin in a 1:1 ratio of cofilin to actin. Binding to F-actin is regulated by tropomyosin. It is the major component of intranuclear and cytoplasmic actin rods. Required for accumulation of actin at the cell division site via depolymerizing actin at the cell ends. In association with myosin II has a role in the assembly of the contractile ring via severing actin filaments. Involved in the maintenance of the contractile ring once formed. In association with profilin and capping protein, has a role in the mitotic reorganization of the actin cytoskeleton. In effect, yeast cofilin increases the rate of actin polymerization by making new ends available for actin subunit addition. Such a protein complex is important for the polarized growth of yeast cells. {ECO:0000269|PubMed:10231390, ECO:0000269|PubMed:11747431}.",,1,,0
12,1CG7,P11632,NHP6A NHPA YPR052C YP9499.09C,,"DNA-binding protein that induces severe bending of DNA. Required for DNA-binding by the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. Also augments the fidelity of transcription by RNA polymerase III independently of any role in the FACT complex. Required for transcriptional initiation fidelity of some but not all tRNA genes. Seems to be functionally redundant with NHP6B. {ECO:0000269|PubMed:11118215, ECO:0000269|PubMed:11239460, ECO:0000269|PubMed:11287614, ECO:0000269|PubMed:11432837, ECO:0000269|PubMed:12952948, ECO:0000269|PubMed:14585989, ECO:0000269|PubMed:15082784, ECO:0000269|PubMed:15987999, ECO:0000269|PubMed:16407207, ECO:0000269|PubMed:7721780, ECO:0000269|PubMed:8946917}.",,1,,0
13,1CI0,P38075,PDX3 YBR035C YBR0321,,Catalyzes the oxidation of either pyridoxine 5'-phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP).,,1,,0
14,1CMX,P35127,YUH1 YJR099W J1941,,"Deubiquitinating enzyme (DUB) that controls levels of cellular ubiquitin through processing of ubiquitin precursors and ubiquitinated proteins. Thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of either ubiquitin or RUB1. Preferentially cleaves ubiquitin from peptides and small adducts. {ECO:0000269|PubMed:12455997, ECO:0000269|PubMed:17709260, ECO:0000269|PubMed:21762696, ECO:0000269|PubMed:2555355}.",,1,,0
15,1CPY,P00729,PRC1 YMR297W,,"Involved in degradation of small peptides. Digests preferentially peptides containing an aliphatic or hydrophobic residue in P1' position, as well as methionine, leucine or phenylalanine in P1 position of ester substrate. {ECO:0000269|PubMed:8679540}.",,1,,0
16,1D1Q,P40347,LTP1 YPR073C YP9499.28C,,"Acts on tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates. {ECO:0000250}.",,1,,0
17,1DPJ,P07267,PEP4 PHO9 PRA1 YPL154C P2585,,"Aspartyl protease implicated in the post-translational regulation of S.cerevisiae vacuolar proteinases. Acts on YSCB, on YSCY and on itself.",,1,,0
18,1DZF,P20434,RPB5 RPA7 RPC9 YBR154C YBR1204,,"DNA-dependent RNA polymerases catalyze the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non-coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. Pol II is the central component of the basal RNA polymerase II transcription machinery. RNA polymerase complexes are composed of mobile elements that move relative to each other. In Pol II, RPB5 is part of the lower jaw surrounding the central large cleft and thought to grab the incoming DNA template. Seems to be the major component in this process. {ECO:0000269|PubMed:18160037, ECO:0000269|PubMed:24153182, ECO:0000269|PubMed:24153184}.",,1,,0
19,1EDZ,Q02046,MTD1 YKR080W YKR400,,Catalyzes oxidation of cytoplasmic one-carbon units for purine biosynthesis.,,1,,0
20,1EJB,P50861,RIB4 YOL143C,,"Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000269|PubMed:7559556, ECO:0000269|PubMed:8969176}.",,1,,0
21,1EK0,P36017,VPS21 VPS12 VPT12 YPT21 YPT51 YOR089C YOR3154C,,"Required for protein transport to the vacuole. Involved in two vesicle trafficking steps to the prevacuolar compartment (PVC), regulating the docking of endosomes and Golgi vesicles to the PVC by interacting with PEP7/VAC1 on the PVC membrane and promoting SNARE complex formation. {ECO:0000269|PubMed:10679018, ECO:0000269|PubMed:8137814}.",,1,,0
22,1EQ6,P47123,MOG1 YJR074W J1827,,"Involved in the Ran-GTPase system for nuclear protein import and poly(A)+ mRNA export. {ECO:0000269|PubMed:11509570, ECO:0000269|PubMed:9860978}.",,1,,0
23,1F1G,P00445,SOD1 YJR104C J1968,,Destroys radicals which are normally produced within the cells and which are toxic to biological systems.,,1,,0
24,1F5M,P36088,YKL069W YKL340,,Catalyzes the reversible oxidation-reduction of the R-enantiomer of free methionine sulfoxide to methionine. Does not act on S-enantiomer of free methionine sulfoxide or R-enantiomer of dabsylated methionine sulfoxide. Involved in protection against oxidative stress. {ECO:0000269|PubMed:19049972}.,,1,,0
25,1F60,P02994,TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913,,"GTP-binding component of the eukaryotic elongation factor 1 complex (eEF1). In its active GTP-bound form, binds to and delivers aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. In the presence of a correct codon-anticodon match between the aminoacyl-tRNA and the A-site codon of the ribosome-bound mRNA, the ribosome acts as a GTPase activator and the GTP is hydrolyzed. The inactive GDP-bound form leaves the ribosome and must be recycled by its guanine nucleotide exchange factor (GEF) (eEF1B subcomplex) before binding another molecule of aminoacyl-tRNA. Required for nuclear export of aminoacyl-tRNAs. May also be involved in translational quality control by targeting cotranslationally damaged proteins to the proteasome. Also exhibits actin filament-binding and -bundling activities and is involved in cytoskeleton organization. Plays a role as a negative regulator of GCN2 kinase activity by inhibiting GCN2-mediated eIF-2-alpha phosphorylation in amino acid-repleted cells (PubMed:21849502). {ECO:0000269|PubMed:10766739, ECO:0000269|PubMed:15601860, ECO:0000269|PubMed:21849502, ECO:0000269|PubMed:3066688}.",,1,,0
26,1F7U,Q05506,YDR341C D9651.10,,Forms part of a macromolecular complex that catalyzes the attachment of specific amino acids to cognate tRNAs during protein synthesis. {ECO:0000250}.,,1,,0
27,1F89,P49954,NIT3 YLR351C L9638.5,,"Has a omega-amidase activity. The role of omega-amidase is to remove potentially toxic intermediates by converting 2-oxoglutaramate and 2-oxosuccinamate to biologically useful 2-oxoglutarate and oxaloacetate, respectively. {ECO:0000269|PubMed:28373563}.",,1,,0
28,1FD8,P38636,ATX1 YNL259C N0840,,Shuttles copper to the transport ATPase CCC2. Protects against oxygen toxicity.,,1,,0
29,1FI4,P32377,MVD1 ERG19 MPD YNR043W N3427,,,,1,,0
30,1FPW,Q06389,FRQ1 NCS1 YDR373W D9481.6,,Regulator of phosphatidylinositol 4-kinase PIK1. {ECO:0000269|PubMed:10559922}.,,1,,0
31,1G0U,P30657,PRE4 YFR050C,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity. PRE3 and PRE4 are necessary for the peptidyl-glutamyl-peptide-hydrolyzing activity. {ECO:0000269|PubMed:8381431}.",,1,,0
32,1G0U,P23724,PRE7 PRS3 PTS1 YBL041W YBL0407,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
33,1G2Q,P49435,APT1 YML022W,,"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis. {ECO:0000269|PubMed:9864350}.",,1,,0
34,1G6I,P32906,MNS1 YJR131W J2110,,"Involved in glycoprotein quality control as it is important for the targeting of misfolded glycoproteins for degradation. It primarily trims a single alpha-1,2-linked mannose residue from Man(9)GlcNAc(2) to produce Man(8)GlcNAc(2), but at high enzyme concentrations it further trims the carbohydrates to Man(5)GlcNAc(2). {ECO:0000269|PubMed:12090241}.",,1,,0
35,1G6Q,P38074,HMT1 ODP1 RMT1 YBR034C YBR0320,,"S-adenosyl-L-methionine-dependent protein-arginine N-methyltransferase that catalyzes both the mono- and asymmetric (type I) dimethylation of the guanidino nitrogens of arginine residues in a variety of RNA-binding proteins such as heterogeneous nuclear ribonucleoproteins (hnRNPs) and small nuclear ribonucleoproteins (snRNPs) (PubMed:8668183, PubMed:8647869). Methylates NAB2, NPL3, HRP1 and YRA1, shuttling hnRNPs involved in mRNA processing and export, facilitating their export out of the nucleus (PubMed:8668183, PubMed:9499403, PubMed:10652296, PubMed:11779864, PubMed:15314027). Methylation of NPL3 weakens its interaction with THO2, a component of the TREX (transcription/export) complex important for transcriptional elongation and recruitment of mRNA export factors (PubMed:15314027, PubMed:20053728). Methylates the hnRNP HRB1, but does not influence its subcellular location (PubMed:9499403). Methylates the nucleolar proteins GAR1, NOP1 and NSR1 (PubMed:12756332). Methylates the snRNP SNP1 and modulates the cotranscriptional recruitment of splicing factors (PubMed:20823272). Dimethylates free histone H4 (HHF1/HHF2) at 'Arg-4' (H4R3me2a) and plays a role in preservation and establishment of silent chromatin domains (PubMed:12097318, PubMed:17158743). Mono- and dimethylates ribosomal protein S2 (RPS2) at 'Arg-11' (PubMed:20035717). Methylates the catalytic subunit of the SWI/SNF chromatin-remodeling complex SNF2 (PubMed:22997150). {ECO:0000269|PubMed:10652296, ECO:0000269|PubMed:11101900, ECO:0000269|PubMed:11779864, ECO:0000269|PubMed:12097318, ECO:0000269|PubMed:12756332, ECO:0000269|PubMed:15314027, ECO:0000269|PubMed:17158743, ECO:0000269|PubMed:20035717, ECO:0000269|PubMed:20053728, ECO:0000269|PubMed:20823272, ECO:0000269|PubMed:22997150, ECO:0000269|PubMed:8647869, ECO:0000269|PubMed:8668183, ECO:0000269|PubMed:9499403}.",,1,,0
36,1G8F,P08536,MET3 YJR010W J1436,,"Catalyzes the first intracellular reaction of sulfate assimilation, forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur-containing amino acids.",,1,,0
37,1GCB,Q01532,LAP3 BLH1 GAL6 YCP1 YNL239W N1118,,"The normal physiological role of the enzyme is unknown, but it is not essential for the viability of yeast cells. Has aminopeptidase activity, shortening substrate peptides sequentially by 1 amino acid. Has bleomycin hydrolase activity, which can protect the cell from the toxic effects of bleomycin. Has homocysteine-thiolactonase activity, protecting the cell against homocysteine toxicity. Acts as a repressor in the GAL4 regulatory system, but this does not require either the peptidase or nucleic acid-binding activities. {ECO:0000269|PubMed:12555812, ECO:0000269|PubMed:16769724}.",,1,,0
38,1GPU,P23254,TKL1 YPR074C YP9499.29C,,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. {ECO:0000269|PubMed:8521838}.",,1,,0
39,1GY7,P33331,NTF2 YER009W,,"Facilitates protein transport into the nucleus. Interacts with various nucleoporins and with Ran-GDP. Could be part of a multicomponent system of cytosolic factors that assemble at the pore complex during nuclear import. In vitro, the NTF2-Ran-GDP association, in the presence of GTP, triggers dissociation of the karyopherin alpha-beta complex, allowing nuclear translocation of karyopherin alpha and the NLS substrate. {ECO:0000269|PubMed:8600522}.",,1,,0
40,1H4P,P23776,EXG1 BGL1 SCW6 YLR300W L8003.3,,"Glucanases possibly play a role in cell expansion during growth, in cell-cell fusion during mating, and in spore release during sporulation. This enzyme hydrolyzes both 1,3-beta- and 1,6-beta-linkages and even has beta-glucosidase activity. It could also function biosynthetically as a transglycosylase.",,1,,0
41,1H7N,P05373,HEM2 YGL040C,,"Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen.",,1,,0
42,1HO8,P41807,VMA13 CLS11 YPR036W YP3085.02,,"Vacuolar ATPases regulate the organelle acidity. This subunit is essential for activity, but not assembly, of the enzyme complex.",,1,,0
43,1HR6,P11914,MAS2 MIF2 YHR024C,,"Cleaves presequences (transit peptides) from mitochondrial protein precursors. The cleavage sites typically contain an arginine at position -2 (in the N-terminal portion) from the scissible peptide bond in addition to other distal basic residues, and an aromatic residue at position +1.",,1,,0
44,1HR6,P10507,MAS1 MIF1 YLR163C L9632.10,,Cleaves presequences (transit peptides) from mitochondrial protein precursors.,,1,,0
45,1HV2,Q03071,ELC1 YPL046C,,Prevents degradation of interacting proteins like PCL6 by the proteasome. {ECO:0000269|PubMed:11864988}.,,1,,0
46,1I12,P43577,GNA1 PAT1 YFL017C,,,,1,,0
47,1I4W,P14908,MTF1 YMR228W YM9959.10,,Mitochondrial transcription factor that confers selective promoter recognition on the core subunit of the yeast mitochondrial RNA polymerase. Interacts with DNA in a non-specific manner.,,1,,0
48,1IG0,P35202,THI80 YOR143C YOR3373C,,"Essential protein, it is the only enzyme in yeast capable of synthesizing thiamine pyrophosphate (TPP).",,1,,0
49,1IG8,P04807,HXK2 HEX1 HKB YGL253W NRB486,,Main glucose phosphorylating enzyme. May play a regulatory role in both induction and repression of gene expression by glucose.,,1,,0
50,1JAT,P53152,MMS2 YGL087C,,Has a role in the DNA error-free postreplication repair (PRR) pathway. Lacks catalytic activity by itself. The UBC13/MMS2 heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'.,,1,,0
51,1JBB,P52490,UBC13 YDR092W YD6652.04,,Has a role in the DNA error-free postreplication repair (PRR) pathway. The UBC13/MMS2 heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'.,,1,,0
52,1JD1,P40037,HMF1 HIG1 YER057C,,,,1,,0
53,1JK0,P09938,RNR2 CRT6 YJL026W J1271,,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. RNR2 provides the diiron-tyrosyl radical center. {ECO:0000269|PubMed:10535923}.,,1,,0
54,1JK9,P40202,CCS1 LYS7 YMR038C YM9532.03C,,Copper chaperone for apo superoxide dismutase 1 (SOD1). Binds copper ions and delivers them specifically to apo-SOD1. {ECO:0000269|PubMed:9295278}.,,1,,0
55,1JVN,P33734,HIS7 YBR248C YBR1640,,"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The glutamine amidotransferase domain provides the ammonia necessary to the cyclase domain to produce IGP and AICAR from PRFAR.",,1,,0
56,1JZT,P40165,YNL200C N1370,,"Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S-specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX. {ECO:0000255|HAMAP-Rule:MF_03159, ECO:0000269|PubMed:21994945}.",,1,,0
57,1KA1,P32179,MET22 HAL2 YOL064C,,Converts adenosine 3'-phosphate 5'-phosphosulfate (PAPS) to adenosine 5'-phosphosulfate (APS) and 3'(2')-phosphoadenosine 5'- phosphate (PAP) to AMP. Regulates the flux of sulfur in the sulfur-activation pathway by converting PAPS to APS. Involved in salt tolerance. Confers resistance to lithium.,,1,,0
58,1KBI,P00175,CYB2 YML054C YM9958.08C,,,,1,,0
59,1KL7,P16120,THR4 YCR053W YCR53W,,Catalyzes the gamma-elimination of phosphate from L-phosphohomoserine and the beta-addition of water to produce L-threonine. {ECO:0000250}.,,1,,0
60,1KYQ,P15807,MET8 YBR213W YBR1461,,Catalyzes the conversion of precorrin-2 into siroheme. This reaction consist of the NAD-dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme. {ECO:0000269|PubMed:10051442}.,,1,,0
61,1LBQ,P16622,HEM15 YOR176W,,Catalyzes the ferrous insertion into protoporphyrin IX.,,1,,0
62,1LKJ,P06787,CMD1 YBR109C YBR0904,,"Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases. Component of the spindle pole body (SPB) required for the proper execution of spindle pole body (SPB) duplication. {ECO:0000269|PubMed:10339566}.",,1,,0
63,1LXJ,P35195,ECM15 YBL001C YBL0105,,,,1,,0
64,1M0W,Q08220,GSH2 YOL049W,,,,1,,0
65,1M2O,P15303,SEC23 YPR181C P9705.14,,"Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SEC23 interacts with BET3 in order to target TRAPPI complex to COPII involved in internalisation of plasma membrane proteins like the maltose transporter. {ECO:0000269|PubMed:10198022, ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12941276, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:1498369, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:17287728, ECO:0000269|PubMed:2188733, ECO:0000269|PubMed:2670558, ECO:0000269|PubMed:3049622, ECO:0000269|PubMed:3293799, ECO:0000269|PubMed:6996832, ECO:0000269|PubMed:7026045, ECO:0000269|PubMed:7925484, ECO:0000269|PubMed:8451644, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:8909535, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9427388, ECO:0000269|PubMed:9428766, ECO:0000269|PubMed:9624457}.",,1,,0
66,1M2O,P20606,SAR1 YPL218W,,"Small GTPase component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SAR1 controls the coat assembly in a stepwise manner. Activated SAR1-GTP by SEC12 binds to membranes first and recruits the SEC23/24 complex. These SEC23/24-SAR1 prebudding intermediates are then collected by the SEC13/31 complex as subunits polymerize to form coated transport vesicles. Conversion to SAR1-GDP triggers coat release and recycles COPII subunits. {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11389436, ECO:0000269|PubMed:12912905, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:15665868, ECO:0000269|PubMed:1907973, ECO:0000269|PubMed:1907974, ECO:0000269|PubMed:2512296, ECO:0000269|PubMed:8106544, ECO:0000269|PubMed:8530490, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9428766, ECO:0000269|PubMed:9756629}.",,1,,0
67,1M2V,P40482,SEC24 ANU1 YIL109C,,"Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SEC24 specifically recruits cargo proteins like BET1 or SYS1 to the COPII vesicles. The SEC23/24 complex is also involved in internalisation of plasma membrane proteins like the maltose transporter. {ECO:0000269|PubMed:10198022, ECO:0000269|PubMed:10712514, ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:10749860, ECO:0000269|PubMed:10753972, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12655150, ECO:0000269|PubMed:12941277, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9428766}.",,1,,0
68,1M38,P00817,IPP1 PPA PPA1 YBR011C YBR0202,,,,1,,0
69,1M45,P53141,MLC1 YGL106W G3080,,"Essential light chain for the class II conventional myosin MYO1. Acts also as light chain for the class V unconventional myosin MYO2 and for IQG1. Involved in the assembly of the contractile actomyosin ring at the bud neck during cytokinesis by recruiting IQG1 to the bud neck. Also required for chitin and MYO2-dependent secretory vesicle deposition to the center of the bud neck for septum formation. May stabilize MYO2 by binding to its IQ domains. Its major function is probably not to regulate MYO1 activity, but rather to coordinate actin ring formation and targeted membrane deposition during cytokinesis via its interactions with MYO1, IQG1 and MYO2. {ECO:0000269|PubMed:12456647, ECO:0000269|PubMed:15210731, ECO:0000269|PubMed:9700160}.",,1,,0
70,1M6X,P03870,FLP1 R0010W,,"Part of the plasmid amplification system, which corrects any decrease in copy number caused by a rare missegregation event. Catalyzes the recombination between the large inverted repetitions of the 2-micron plasmid during plasmid replication. This recombination event changes the direction of one of the two replication forks in the bidirectionally replicating molecule, effectively resulting in multiple rounds of replication from a single initiation event. Binds specifically to the FLP recognition target (FRT) site where it induces DNA to bend. Three types of bend exist. Type I is approximately 60 degrees and results from 1 FLP molecule binding to 1 symmetry element. Type II is >144 degrees and results from FLP molecules binding to symmetry elements a and b. Type III is approximately 65 degrees and results from FLP molecules binding to symmetry elements b and c. {ECO:0000269|PubMed:2040639, ECO:0000269|PubMed:2254930, ECO:0000269|PubMed:3316982}.",,1,,0
71,1M94,Q6Q546,HUB1 YNR032C-A,,Forms conjugate with SPH1 and HBT1. Involved in morphogenesis. {ECO:0000269|PubMed:11923536}.,,1,,0
72,1MH3,P0CY11,HMRA1 YCR097W YCR97W,,Mating type proteins are sequence specific DNA-binding proteins that act as master switches in yeast differentiation by controlling gene expression in a cell type-specific fashion. Silenced copy of A1 at HMR.,,1,,0
73,1MOZ,P38116,ARL1 ARF3 YBR164C YBR1216,,"Recruits golgins such as IMH1 to the Golgi. Can bind and hydrolyze GTP. May be involved in trafficking events within the endosomal system. {ECO:0000269|PubMed:12052896, ECO:0000269|PubMed:12620188, ECO:0000269|PubMed:12620189}.",,1,,0
74,1MQS,P22213,SLY1 YDR189W YD9346.01 YD9395.22,,"Able to suppress the functional loss of YPT1. SLY1 is essential for cell viability. May interact indirectly, or directly with YPT1.",,1,,0
75,1MR3,P19146,ARF2 YDL137W D2165,,GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus.,,1,,0
76,1N0U,P32324,EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W,,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. {ECO:0000269|PubMed:14976550}.",,1,,0
77,1N6Z,Q03759,YML108W YM8339.11,,,,1,,0
78,1N8P,P31373,CYS3 CYI1 STR1 YAL012W FUN35,,,,1,,0
79,1NJR,Q04299,YMR087W YM9582.12,,Highly specific phosphatase involved in the metabolism of ADP-ribose 1''-phosphate (Appr1p) which is produced as a consequence of tRNA splicing. + phosphate.,,1,,0
80,1NKQ,P53889,FMP41 YNL168C N1696,,,,1,,0
81,1NYN,P38804,RTC3 YHR087W,,"May play a role in RNA metabolism, rRNA-processing, and in a process influencing telomere capping. {ECO:0000269|PubMed:18845848}.",,1,,0
82,1O59,P25335,DAL2 ALC1 YIR029W,,"Utilization of purines as secondary nitrogen sources, when primary sources are limiting.",,1,,0
83,1OCS,Q08826,SNX3 GRD19 YOR357C,,Required for retention of late Golgi membrane proteins. Component of the retrieval machinery that functions by direct interaction with the cytosolic tails of certain TGN membrane proteins during the sorting/budding process at the prevacuolar compartment. Binds phosphatidylinositol 3-phosphate (PtdIns(P3)). {ECO:0000269|PubMed:9456318}.,,1,,0
84,1ODF,P42938,TDA10 YGR205W G7737,,ATP-dependent kinase whose specificity is not yet known.,,1,,0
85,1OF8,P32449,ARO4 YBR249C YBR1701,,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP).,,1,,0
86,1P1J,P11986,INO1 YJL153C J0610,,,,1,,0
87,1P6O,Q12178,FCY1 YPR062W YP9499.17,,Converts cytosine to uracil or 5-methylcytosine to thymine by deaminating carbon number 4.,,1,,0
88,1PGU,P46680,AIP1 YMR092C YM9582.17C,,Involved in the depolymerization of actin filaments. Enhances the filament disassembly activity of cofilin and restricts cofilin localization to cortical actin patches. {ECO:0000269|PubMed:10366597}.,,1,,0
89,1PIW,Q04894,ADH6 YMR318C YM9924.10C,,NADP-dependent alcohol dehydrogenase with a broad substrate specificity.,,1,,0
90,1PJH,Q05871,ECI1 YLR284C,,Essential for the beta oxidation of unsaturated fatty acids. {ECO:0000269|PubMed:9837886}.,,1,,0
