oln	contact_order
YDL137W	0.1396
YDL139C	0.1449
YDL140C	0.0424
YDL143W	0.1105
YDL147W	0.0222
YDL160C-A	0.0904
YDL165W	0.0546
YDL190C	0.0293
YDL192W	0.0664
YDL232W	0.0881
YDL235C	0.1337
YDL238C	0.1093
YDR001C	0.0571
YDR009W	0.1162
YDR013W	0.0630
YDR025W	0.1278
YDR032C	0.1291
YDR036C	0.0870
YDR041W	0.1083
YDR050C	0.1211
YDR064W	0.0737
YDR078C	0.1514
YDR079C-A	0.1386
YDR091C	0.0680
YDR092W	0.1269
YDR101C	0.1197
YDR142C	0.0962
YDR155C	0.2190
YDR165W	0.1009
YDR166C	0.0093
YDR175C	0.0304
YDR177W	0.0722
YDR188W	0.1130
YDR189W	0.0824
YDR190C	0.0869
YDR212W	0.1134
YDR226W	0.1279
YDR232W	0.1032
YDR235W	0.0267
YDR237W	0.0992
YDR254W	0.0676
YDR256C	0.1007
YDR267C	0.1070
YDR280W	0.1180
YDR296W	0.1137
YDR298C	0.0230
YDR301W	0.0671
YDR308C	0.0516
YDR322W	0.0904
YDR337W	0.0647
YDR339C	0.1054
YDR341C	0.0562
YDR347W	0.1306
YDR353W	0.1180
YDR372C	0.0954
YDR373W	0.0821
YDR378C	0.1837
YDR383C	0.0232
YDR385W	0.0548
YDR394W	0.0516
YDR399W	0.1562
YDR404C	0.1432
YDR405W	0.0486
YDR416W	0.0092
YDR419W	0.0778
YDR424C	0.1886
YDR427W	0.0391
YDR428C	0.1068
YDR435C	0.0976
YDR450W	0.0746
YDR453C	0.1456
YDR454C	0.1590
YDR462W	0.0238
YDR499W	0.0347
YDR513W	0.1129
YDR529C	0.0915
YDR530C	0.1180
YDR533C	0.1210
YDR539W	0.0863
YDR540C	0.1517
YEL002C	0.0713
YEL013W	0.0229
YEL019C	0.0738
YEL021W	0.1126
YEL024W	0.0777
YEL026W	0.1834
YEL027W	0.1188
YEL034W	0.0815
YEL038W	0.1121
YEL039C	0.1587
YEL048C	0.1302
YEL050C	0.0824
YEL056W	0.1005
YER009W	0.1503
YER010C	0.1565
YER012W	0.1686
YER021W	0.0238
YER042W	0.1792
YER049W	0.0848
YER056C-A	0.0746
YER057C	0.1727
YER067W	0.1317
YER069W	0.0451
YER074W	0.0930
YER094C	0.1688
YER126C	0.0584
YER136W	0.1447
YER146W	0.1985
YER147C	0.0327
YER163C	0.1698
YER171W	0.0629
YER172C	0.0268
YER175C	0.1411
YER177W	0.0544
YFL005W	0.1248
YFL014W	0.0650
YFL017C	0.1225
YFL017W-A	0.2078
YFL018C	0.0784
YFL030W	0.1263
YFL037W	0.0959
YFL038C	0.1407
YFL039C	0.0951
YFL058W	0.1329
YFR004W	0.0612
YFR005C	0.0764
YFR007W	0.1521
YFR031C-A	0.0978
YFR044C	0.1347
YFR047C	0.1166
YFR050C	0.1838
YFR052W	0.0345
YFR053C	0.1141
YGL004C	0.0932
YGL011C	0.1363
YGL016W	0.0166
YGL018C	0.0783
YGL022W	0.0538
YGL027C	0.0671
YGL037C	0.1474
YGL040C	0.0940
YGL047W	0.1091
YGL048C	0.0503
YGL058W	0.1285
YGL070C	0.0991
YGL087C	0.1551
YGL092W	0.0391
YGL094C	0.0368
YGL097W	0.0936
YGL100W	0.0632
YGL101W	0.0807
YGL103W	0.1339
YGL106W	0.0813
YGL111W	0.1070
YGL115W	0.1019
YGL120C	0.0621
YGL123W	0.0978
YGL129C	0.0854
YGL130W	0.0966
YGL145W	0.0239
YGL147C	0.0643
YGL156W	0.0542
YGL189C	0.1301
YGL202W	0.1029
YGL213C	0.1129
YGL224C	0.1219
YGL225W	0.1226
YGL226C-A	0.0831
YGL238W	0.0208
YGL241W	0.0175
YGL248W	0.1276
YGL253W	0.1139
YGR020C	0.1320
YGR024C	0.1162
YGR028W	0.0684
YGR029W	0.0576
YGR030C	0.1554
YGR037C	0.1798
YGR043C	0.1176
YGR074W	0.1504
YGR076C	0.0602
YGR090W	0.0393
YGR091W	0.0317
YGR095C	0.1169
YGR098C	0.0228
YGR099W	0.0264
YGR104C	0.2107
YGR118W	0.1031
YGR133W	0.1035
YGR135W	0.1353
YGR144W	0.0977
YGR158C	0.1113
YGR163W	0.0782
YGR165W	0.0387
YGR183C	0.0558
YGR185C	0.0984
YGR187C	0.0508
YGR192C	0.1061
YGR195W	0.1221
YGR198W	0.0309
YGR200C	0.0697
YGR203W	0.1603
YGR205W	0.1292
YGR209C	0.1913
YGR214W	0.1308
YGR215W	0.0347
YGR218W	0.0206
YGR220C	0.1580
YGR232W	0.0585
YGR253C	0.1405
YGR254W	0.1065
YGR262C	0.0770
YGR287C	0.0856
YHL001W	0.0917
YHL006C	0.1165
YHL015W	0.2190
YHR007C	0.1075
YHR008C	0.1145
YHR010W	0.1278
YHR013C	0.1068
YHR024C	0.1088
YHR026W	0.0974
YHR027C	0.0388
YHR029C	0.1276
YHR037W	0.0823
YHR039C-A	0.0281
YHR041C	0.1967
YHR042W	0.0649
YHR049W	0.1031
YHR051W	0.0609
YHR059W	0.0819
YHR062C	0.0968
YHR069C	0.0636
YHR072W-A	0.1903
YHR087W	0.1505
YHR088W	0.0386
YHR099W	0.0229
YHR141C	0.1875
YHR147C	0.0982
YHR148W	0.0630
YHR153C	0.0784
YHR171W	0.0568
YHR183W	0.0595
YHR191C	0.1565
YHR201C	0.0683
YIL008W	0.1930
YIL009C-A	0.1736
YIL017C	0.0216
YIL018W	0.1061
YIL020C	0.1101
YIL021W	0.1587
YIL035C	0.1130
YIL051C	0.1540
YIL053W	0.1345
YIL065C	0.0812
YIL068C	0.0203
YIL070C	0.1086
YIL075C	0.0394
YIL076W	0.0483
YIL083C	0.1002
YIL093C	0.0362
YIL109C	0.0856
YIL132C	0.1486
YIL133C	0.1308
YIL142W	0.1140
YIL160C	0.1423
YIL162W	0.1030
YIR005W	0.1435
YIR008C	0.1076
YIR012W	0.0833
YIR015W	0.0658
YIR029W	0.1313
YIR034C	0.1110
YIR035C	0.1098
YIR037W	0.1697
YJL001W	0.1857
YJL002C	0.0858
YJL008C	0.1089
YJL010C	0.0248
YJL014W	0.1119
YJL025W	0.0550
YJL026W	0.0969
YJL050W	0.0404
YJL060W	0.1235
YJL063C	0.0730
YJL068C	0.1089
YJL069C	0.0579
YJL072C	0.0920
YJL081C	0.1131
YJL085W	0.0252
YJL096W	0.1661
YJL099W	0.0622
YJL101C	0.1094
YJL111W	0.1156
YJL125C	0.0809
YJL126W	0.1247
YJL140W	0.0923
YJL153C	0.1026
YJL166W	0.0335
YJL173C	0.1470
YJL190C	0.1386
YJL191W	0.0746
YJL217W	0.2199
YJR006W	0.1150
YJR007W	0.0675
YJR010W	0.0669
YJR025C	0.1317
YJR032W	0.0732
YJR042W	0.0348
YJR046W	0.0401
YJR048W	0.0646
YJR051W	0.1207
YJR057W	0.1606
YJR063W	0.0619
YJR064W	0.1062
YJR068W	0.0612
YJR074W	0.1248
YJR099W	0.1895
YJR101W	0.1095
YJR102C	0.0938
YJR104C	0.2316
YJR121W	0.0791
YJR123W	0.0803
YJR131W	0.0858
YJR139C	0.1086
YJR145C	0.0778
YKL003C	0.1870
YKL006W	0.0737
YKL009W	0.1206
YKL024C	0.1370
YKL035W	0.0811
YKL055C	0.1013
YKL057C	0.0412
YKL058W	0.1122
YKL067W	0.1912
YKL069W	0.1237
YKL080W	0.1544
YKL091C	0.0978
YKL094W	0.1157
YKL103C	0.1217
YKL125W	0.0386
YKL130C	0.1190
YKL138C	0.1062
YKL144C	0.1330
YKL152C	0.1554
YKL156W	0.1302
YKL170W	0.1836
YKL173W	0.0542
YKL180W	0.1044
YKL182W	0.0224
YKL194C	0.0845
YKL203C	0.0149
YKL210W	0.0633
YKR002W	0.0680
YKR003W	0.1003
YKR006C	0.0342
YKR026C	0.0787
YKR043C	0.1426
YKR049C	0.2173
YKR057W	0.1142
YKR059W	0.0798
YKR060W	0.2016
YKR066C	0.1287
YKR068C	0.1025
YKR070W	0.1090
YKR076W	0.1154
YKR079C	0.0746
YKR080W	0.1042
YKR081C	0.0832
YKR085C	0.0411
YKR095W-A	0.1648
YLL002W	0.1555
YLL004W	0.0514
YLL009C	0.1328
YLL011W	0.0788
YLL018C	0.0653
YLL042C	0.1435
YLL050C	0.1322
YLL060C	0.0943
YLR011W	0.1333
YLR027C	0.1190
YLR043C	0.2036
YLR044C	0.0776
YLR085C	0.1033
YLR103C	0.0598
YLR109W	0.1668
YLR117C	0.0107
YLR119W	0.0280
YLR128W	0.0518
YLR147C	0.1750
YLR163C	0.1071
YLR166C	0.0119
YLR167W	0.0471
YLR178C	0.0533
YLR185W	0.1159
YLR186W	0.1314
YLR195C	0.1246
YLR208W	0.0653
YLR212C	0.0775
YLR240W	0.0166
YLR245C	0.1192
YLR249W	0.0564
YLR258W	0.0776
YLR264W	0.2395
YLR270W	0.0903
YLR275W	0.1210
YLR284C	0.1095
YLR287C-A	0.0484
YLR291C	0.0787
YLR292C	0.0471
YLR293C	0.1162
YLR295C	0.0359
YLR298C	0.0257
YLR300W	0.0896
YLR301W	0.1304
YLR306W	0.0157
YLR312W-A	0.1001
YLR315W	0.0324
YLR343W	0.0887
YLR347C	0.0197
YLR351C	0.1287
YLR364W	0.1317
YLR376C	0.1354
YLR378C	0.0596
YLR384C	0.0220
YLR388W	0.0980
YLR398C	0.0445
YLR409C	0.0367
YLR421C	0.1139
YLR438C-A	0.2088
YLR440C	0.0225
YLR441C	0.1044
YLR447C	0.0938
YML009C	0.2054
YML022W	0.1289
YML024W	0.0692
YML025C	0.1227
YML026C	0.0368
YML028W	0.1363
YML030W	0.1122
YML036W	0.1811
YML046W	0.0137
YML049C	0.0608
YML051W	0.1133
YML054C	0.0999
YML073C	0.1108
YML077W	0.1439
YML079W	0.1682
YML081C-A	0.0612
YML085C	0.0967
YML092C	0.1355
YML106W	0.1184
YML108W	0.1958
YML110C	0.0848
YML120C	0.0944
YML121W	0.0812
YMR020W	0.1325
YMR022W	0.1047
YMR024W	0.0798
YMR027W	0.0870
YMR033W	0.0909
YMR038C	0.1329
YMR054W	0.0785
YMR058W	0.1035
YMR072W	0.0641
YMR079W	0.0980
YMR087W	0.0961
YMR092C	0.0625
YMR094W	0.0460
YMR096W	0.0974
YMR099C	0.1316
YMR106C	0.0650
YMR108W	0.0647
YMR112C	0.0366
YMR116C	0.1057
YMR125W	0.0142
YMR143W	0.1301
YMR146C	0.1009
YMR149W	0.0652
YMR158W	0.1422
YMR168C	0.0718
YMR188C	0.0443
YMR194W	0.2190
YMR223W	0.0642
YMR226C	0.0983
YMR228W	0.0880
YMR237W	0.0551
YMR268C	0.0492
YMR284W	0.0484
YMR286W	0.1888
YMR288W	0.0121
YMR289W	0.1164
YMR293C	0.1063
YMR297W	0.1002
YMR301C	0.0411
YMR308C	0.0137
YMR309C	0.0237
YMR312W	0.1493
YMR314W	0.1493
YMR318C	0.1222
YNL001W	0.0752
YNL002C	0.0837
YNL005C	0.0310
YNL006W	0.1109
YNL030W	0.0556
YNL036W	0.0876
YNL037C	0.1081
YNL045W	0.0598
YNL069C	0.1083
YNL070W	0.0526
YNL075W	0.0839
YNL081C	0.0882
YNL092W	0.0809
YNL108C	0.1611
YNL135C	0.2642
YNL138W-A	0.0560
YNL142W	0.1004
YNL162W	0.1301
YNL168C	0.1923
YNL200C	0.1174
YNL221C	0.0508
YNL231C	0.1214
YNL232W	0.0835
YNL239W	0.1225
YNL244C	0.1708
YNL246W	0.1041
YNL259C	0.2626
YNL261W	0.0563
YNL282W	0.1627
YNL284C	0.0495
YNL290W	0.0629
YNL306W	0.0933
YNL317W	0.1066
YNR016C	0.0171
YNR032C-A	0.2514
YNR034W-A	0.2047
YNR036C	0.1111
YNR037C	0.1178
YNR043W	0.1299
YNR046W	0.2038
YNR050C	0.1095
YNR053C	0.0487
YNR071C	0.1358
YOL005C	0.1134
YOL009C	0.1262
YOL010W	0.0928
YOL021C	0.0417
YOL038W	0.1394
YOL040C	0.0936
YOL049W	0.1386
YOL055C	0.0524
YOL057W	0.0805
YOL064C	0.0957
YOL071W	0.1192
YOL072W	0.0465
YOL086C	0.1144
YOL086W-A	0.0594
YOL094C	0.0681
YOL097C	0.0886
YOL120C	0.0978
YOL121C	0.1310
YOL139C	0.1171
YOL141W	0.0647
YOL142W	0.0909
YOL143C	0.1428
YOL146W	0.0806
YOL151W	0.0979
YOR021C	0.1134
YOR026W	0.0997
YOR035C	0.0173
YOR046C	0.0720
YOR065W	0.0871
YOR084W	0.1068
YOR089C	0.1494
YOR095C	0.1151
YOR096W	0.0785
YOR103C	0.0615
YOR116C	0.0399
YOR117W	0.0530
YOR122C	0.1478
YOR126C	0.1229
YOR136W	0.1208
YOR143C	0.1375
YOR150W	0.1432
YOR151C	0.0571
YOR157C	0.1549
YOR164C	0.0432
YOR167C	0.2428
YOR176W	0.1004
YOR202W	0.1351
YOR207C	0.0524
YOR209C	0.1129
YOR210W	0.1632
YOR224C	0.2234
YOR250C	0.0866
YOR251C	0.1163
YOR253W	0.1269
YOR257W	0.0710
YOR259C	0.0494
YOR265W	0.1224
YOR270C	0.0755
YOR274W	0.0846
YOR285W	0.1369
YOR286W	0.1468
YOR288C	0.0965
YOR293W	0.1387
YOR294W	0.0490
YOR312C	0.1069
YOR319W	0.0871
YOR323C	0.0932
YOR332W	0.0546
YOR341W	0.0440
YOR357C	0.1292
YOR361C	0.0420
YOR362C	0.1446
YOR369C	0.1339
YOR391C	0.1287
YPL001W	0.0694
YPL002C	0.0563
YPL006W	0.0500
YPL007C	0.0594
YPL013C	0.1180
YPL015C	0.1439
YPL028W	0.1511
YPL031C	0.0847
YPL046C	0.1486
YPL047W	0.0438
YPL059W	0.1110
YPL067C	0.1312
YPL069C	0.0651
YPL081W	0.0639
YPL090C	0.0895
YPL091W	0.0811
YPL093W	0.0259
YPL096W	0.0894
YPL106C	0.0598
YPL125W	0.0195
YPL129W	0.1917
YPL135W	0.0939
YPL143W	0.0732
YPL144W	0.1850
YPL145C	0.1014
YPL149W	0.1156
YPL152W	0.1211
YPL154C	0.1285
YPL171C	0.1284
YPL173W	0.0486
YPL183C	0.0457
YPL188W	0.0978
YPL211W	0.1078
YPL218W	0.1244
YPL225W	0.1443
YPL231W	0.0426
YPL234C	0.1185
YPL235W	0.0881
YPL240C	0.0388
YPL262W	0.0650
YPL271W	0.0769
YPR010C	0.0527
YPR016C	0.1168
YPR032W	0.0767
YPR034W	0.1099
YPR035W	0.1021
YPR036W	0.0325
YPR043W	0.1302
YPR052C	0.1164
YPR055W	0.0105
YPR056W	0.0447
YPR060C	0.1074
YPR062W	0.1300
YPR073C	0.1569
YPR074C	0.0642
YPR080W	0.0792
YPR082C	0.1396
YPR094W	0.2058
YPR100W	0.1293
YPR101W	0.0314
YPR102C	0.1278
YPR103W	0.1522
YPR108W	0.0374
YPR110C	0.1397
YPR144C	0.0356
YPR160W	0.0663
YPR162C	0.0617
YPR165W	0.1347
YPR166C	0.0801
YPR167C	0.1200
YPR168W	0.0224
YPR178W	0.0679
YPR181C	0.0827
YPR189W	0.0086
YPR190C	0.0435
YPR191W	0.1078
YPR193C	0.1099
