oln	evorate
YDR392W	0.0445
YBR290W	0.1153
YNL274C	0.0943
YML113W	0.2122
YHL011C	0.0062
YPL212C	0.1066
YMR005W	0.1546
YMR296C	0.1191
YBR291C	0.0669
YFR051C	0.0971
YHR024C	0.0871
YDR188W	0.0403
YOL128C	0.1627
YGL236C	0.1211
YGR129W	0.3208
YAR018C	0.0621
YHR133C	0.2234
YDR017C	0.2230
YOL080C	0.1701
YOR369C	0.0000
YOL117W	0.2523
YOR092W	0.1191
YML128C	0.1139
YDR411C	0.2419
YBR283C	0.0633
YIL090W	0.0513
YOR321W	0.1461
YML104C	0.2034
YBR183W	0.1108
YDL004W	0.0813
YGL256W	0.1204
YNL256W	0.1800
YGR072W	0.1870
YER106W	0.3709
YMR107W	0.1913
YMR207C	0.2298
YML015C	0.1069
YOR197W	0.0965
YKR089C	0.1110
YKR072C	0.1849
YNL098C	0.1708
YLL032C	0.2436
YCR027C	0.1659
YDL194W	0.1737
YLR186W	0.0278
YBR039W	0.0386
YER024W	0.1074
YDR116C	0.1719
YGR258C	0.2211
YLR325C	0.0128
YMR110C	0.2124
YDL056W	0.1333
YGR234W	0.1328
YKL117W	0.0648
YPR017C	0.2797
YGL115W	0.0404
YNL299W	0.2076
YEL044W	0.1210
YMR247C	0.2649
YPR037C	0.1276
YML071C	0.2711
YDR176W	0.1940
YPL177C	0.2577
YER120W	0.1557
YBR042C	0.1688
YOL062C	0.0978
YDR381W	0.0929
YNL234W	0.2868
YDR484W	0.1549
YJL194W	0.1216
YMR098C	0.3322
YOR370C	0.0415
YOL015W	0.4479
YBR095C	0.1767
YHR111W	0.1341
YGL071W	0.2300
YDR524C	0.2594
YGR043C	0.1021
YPR184W	0.1003
YOR224C	0.0479
YDL070W	0.1661
YCR047C	0.0655
YPL223C	0.2096
YNL261W	0.1148
YDR389W	0.1083
YOL002C	0.1073
YOR359W	0.1484
YLR056W	0.0767
YKL205W	0.0909
YPL269W	0.2115
YBR088C	0.0000
YBR055C	0.2547
YOR175C	0.1052
YER033C	0.3295
YNL329C	0.1817
YFL005W	0.0093
YCR010C	0.1201
YKL110C	0.0607
YPR040W	0.1320
YHR040W	0.1841
YMR152W	0.1918
YMR125W	0.1002
YDR178W	0.1056
YKR038C	0.0544
YGL028C	0.1944
YLR288C	0.0973
YGL180W	0.1051
YJL115W	0.1362
YJR073C	0.0874
YGL004C	0.2806
YNR032W	0.0353
YML097C	0.1933
YLR055C	0.1565
YBL099W	0.0239
YDR303C	0.1785
YPL008W	0.1890
YPL086C	0.0054
YDL116W	0.1515
YPL184C	0.1107
YGL027C	0.1489
YDR252W	0.2081
YOR119C	0.1198
YLL003W	0.2738
YJL037W	0.3036
YDR054C	0.0237
YLR409C	0.0863
YBR008C	0.1612
YMR101C	0.1720
YCL045C	0.2336
YJL046W	0.2555
YMR041C	0.1910
YDR221W	0.3604
YML066C	0.1355
YLR109W	0.0682
YMR096W	0.0943
YKR009C	0.1078
YDR078C	0.2108
YOR358W	0.1234
YKL103C	0.1699
YMR109W	0.0883
YMR078C	0.2033
YDL154W	0.2354
YDR232W	0.0566
YDR245W	0.1145
YHR088W	0.0305
YBR017C	0.0687
YKR014C	0.0897
YJR060W	0.2149
YPR162C	0.1456
YDL089W	0.3188
YLR178C	0.1279
YPL159C	0.2292
YGR166W	0.2278
YDL161W	0.1419
YKL050C	0.4017
YDL212W	0.1731
YIL146C	0.2174
YBR175W	0.0921
YPL046C	0.1313
YDR390C	0.1969
YGL099W	0.0750
YIL119C	0.1757
YPR111W	0.1064
YPL193W	0.3947
YNL005C	0.1914
YIL036W	0.2840
YLR231C	0.1214
YPL011C	0.1562
YFR021W	0.0700
YKL098W	0.2465
YJR139C	0.0418
YKL016C	0.0805
YBR133C	0.1592
YGL017W	0.2087
YBR162C	0.1187
YIL004C	0.1197
YJR013W	0.1538
YJL133W	0.0541
YNL331C	0.1743
YBL084C	0.0772
YDR143C	0.2985
YDL176W	0.1386
YBR111C	0.0472
YFL047W	0.0994
YPR122W	0.2368
YLR380W	0.1256
YKL034W	0.0950
YJR042W	0.1720
YMR281W	0.2483
YMR012W	0.1121
YPL160W	0.0624
YBR215W	0.2754
YLR133W	0.1443
YNL023C	0.1848
YPL026C	0.0800
YIR011C	0.1683
YDR214W	0.1556
YIL126W	0.1015
YPL005W	0.2277
YDR468C	0.1176
YDR332W	0.1706
YHR168W	0.2104
YOL102C	0.2009
YOR064C	0.2694
YOL154W	0.1727
YPR008W	0.1798
YOR048C	0.0970
YFR003C	0.1677
YNL297C	0.1346
YOL081W	0.1255
YIL033C	0.0625
YOR368W	0.1150
YGR128C	0.2008
YOR002W	0.0551
YPL133C	0.1771
YIL048W	0.0602
YDR189W	0.0617
YAL028W	0.2904
YOL056W	0.1584
YOR075W	0.1913
YMR302C	0.0871
YBR282W	0.0890
YOR079C	0.1310
YDR404C	0.0000
YHR132C	0.1499
YGR088W	0.0768
YMR083W	0.0320
YDR194C	0.1523
YOL049W	0.1874
YDR014W	0.3589
YNL257C	0.1635
YBR180W	0.1696
YMR189W	0.0996
YIL093C	0.1250
YBR204C	0.2507
YGR106C	0.2682
YLR397C	0.1000
YPL054W	0.2297
YIL104C	0.1440
YOR076C	0.3501
YGL086W	0.1374
YBR213W	0.1387
YAL010C	0.1571
YNL118C	0.2758
YNR030W	0.1452
YNR023W	0.2319
YOL096C	0.1506
YDR284C	0.1557
YJR117W	0.0684
YGR144W	0.0215
YNL242W	0.2095
YCL032W	0.1272
YBR193C	0.1480
YJR101W	0.1434
YLR359W	0.0311
YPR163C	0.0943
YJR095W	0.0497
YLR131C	0.2329
YPR101W	0.4114
YER127W	0.1709
YLR199C	0.2174
YEL005C	0.3617
YCL004W	0.1463
YPL128C	0.0730
YMR226C	0.0562
YJR093C	0.1713
YEL027W	0.0000
YDL015C	0.0871
YDR123C	0.2401
YHR110W	0.1840
YDR430C	0.1062
YGR193C	0.2390
YDR487C	0.0240
YPR185W	0.1517
YIL142W	0.0247
YNR035C	0.0789
YER065C	0.0558
YLR077W	0.1767
YCR044C	0.1695
YNL219C	0.1045
YDR037W	0.0474
YGR040W	0.0217
YER178W	0.0476
YCR004C	0.0772
YLR320W	0.3069
YHR005C	0.0847
YFR014C	0.1461
YHR121W	0.0695
YHR034C	0.2618
YMR231W	0.1189
YOL070C	0.2287
YOL138C	0.2026
YOR188W	0.2362
YJL085W	0.0594
YDR533C	0.1139
YLR452C	0.1963
YLR341W	0.5094
YNR054C	0.1815
YER147C	0.1763
YDR130C	0.2474
YGL173C	0.1065
YOL038W	0.0276
YNL275W	0.1426
YAR015W	0.0490
YPR046W	0.2597
YML114C	0.2259
YJL093C	0.1988
YOR347C	0.0929
YLL051C	0.2461
YDR395W	0.0572
YGR008C	0.0714
YKL211C	0.0868
YGL060W	0.3407
YNL311C	0.1599
YLL002W	0.2362
YJL030W	0.0714
YLR424W	0.3093
YGL123W	0.0276
YKR066C	0.1274
YGR248W	0.2000
YNL154C	0.0662
YER043C	0.0223
YNL237W	0.1316
YOR150W	0.0675
YDR055W	0.1382
YPR054W	0.0982
YMR140W	0.1807
YLR095C	0.2072
YBR034C	0.0402
YMR108W	0.0597
YCR091W	0.2507
YDR244W	0.1817
YPL085W	0.3643
YDL088C	0.2887
YDL137W	0.0166
YJR063W	0.0240
YBR018C	0.1612
YLR142W	0.0966
YDR233C	0.0983
YJL184W	0.1382
YER025W	0.0304
YDR527W	0.1913
YOR242C	0.2135
YML041C	0.1036
YDL197C	0.5251
YER078C	0.1078
YDL192W	0.0055
YER165W	0.0225
YML038C	0.2120
YCL059C	0.0348
YER109C	0.3181
YKR071C	0.1928
YGL112C	0.0543
YGR196C	0.3492
YOR233W	0.2638
YMR091C	0.1339
YLR011W	0.2827
YGR257C	0.1120
YHR150W	0.1779
YLR263W	0.2843
YDL008W	0.1455
YBL050W	0.0517
YOR047C	0.1878
YGR280C	0.1094
YJR014W	0.0909
YGL190C	0.0228
YBR110W	0.1359
YDR144C	0.3238
YOR180C	0.1808
YGL018C	0.1250
YGR202C	0.1164
YKL120W	0.0556
YJR041C	0.2570
YMR179W	0.2836
YLR381W	0.2524
YHR169W	0.0673
YDL175C	0.1633
YKL137W	0.0901
YKL168C	0.2614
YFL026W	0.1276
YLR237W	0.1087
YPR145W	0.0542
YIL121W	0.1402
YLR214W	0.1866
YNL093W	0.2339
YIR010W	0.1533
YDR331W	0.1278
YOR293W	0.0095
YML056C	0.0880
YGL029W	0.1250
YFL004W	0.1177
YKL149C	0.2247
YGL183C	0.1781
YLR433C	0.0927
YMR068W	0.1544
YPL098C	0.1239
YGR239C	0.3754
YKL055C	0.2914
YDL040C	0.1452
YER032W	0.3353
YJR070C	0.0247
YMR033W	0.0857
YPR103W	0.0523
YGL005C	0.2698
YGR262C	0.1073
YHR043C	0.1504
YMR133W	0.4904
YPR152C	0.3363
YJL052W	0.0392
YKL159C	0.1896
YGR215W	0.0909
YDR253C	0.2827
YDR507C	0.1249
YOR335C	0.0449
YJL158C	0.1486
YLR396C	0.1650
YIL003W	0.0912
YPR080W	0.0262
YGR172C	0.0484
YBR163W	0.2632
YDR465C	0.1512
YLR276C	0.0690
YDL222C	0.1656
YKL079W	0.2119
YFR044C	0.0644
YPL103C	0.1416
YIL103W	0.0588
YFR033C	0.1633
YDR283C	0.0747
YJR096W	0.0816
YNL037C	0.0361
YLR398C	0.0881
YBR192W	0.0637
YKL027W	0.1256
YGR143W	0.1143
YER007C-A	0.0387
YOL095C	0.1657
YNR022C	0.2950
YGL229C	0.2380
YOR130C	0.1370
YBR125C	0.0611
YLR356W	0.2245
YBR221C	0.0385
YJL094C	0.1249
YKL057C	0.1745
YGL098W	0.2000
YDR097C	0.1456
YJL121C	0.0504
YKL008C	0.0861
YIR001C	0.2160
YAL067C	0.1455
YDL213C	0.1067
YIL132C	0.2095
YIL145C	0.1197
YNL006W	0.0066
YDR317W	0.2947
YPL032C	0.1697
YJR138W	0.1316
YKL015W	0.1563
YKL197C	0.2426
YMR020W	0.1976
YJR089W	0.4032
YJL145W	0.1020
YDR377W	0.0990
YJL201W	0.1204
YDR152W	0.1547
YLR153C	0.0381
YNL126W	0.1395
YBR132C	0.0985
YKL040C	0.0980
YPL192C	0.3937
YLR249W	0.0508
YNL004W	0.1748
YOR327C	0.0435
YIR025W	0.2342
YGL158W	0.3743
YFR015C	0.0537
YMR230W	0.0190
YDR363W-A	0.0674
YOL139C	0.0094
YBR207W	0.1250
YPR133C	0.1439
YLR321C	0.0918
YNL191W	0.0476
YOR266W	0.2644
YPL203W	0.0528
YNR055C	0.0601
YHL040C	0.1292
YNR011C	0.1815
YNL167C	0.2341
YKL210W	0.0615
YNL221C	0.2046
YNR002C	0.0887
YNL085W	0.1012
YGL061C	0.2389
YDR394W	0.0187
YPL210C	0.1531
YDR399W	0.0500
YAR014C	0.2489
YOR353C	0.1747
YPL132W	0.1515
YIL114C	0.2527
YPL100W	0.1351
YGL234W	0.0599
YOL055C	0.1561
YPR093C	0.3007
YJL089W	0.2101
YOL082W	0.3716
YKL013C	0.0058
YDR421W	0.2089
YOR065W	0.0390
YMR301C	0.0870
YGR186W	0.1342
YDR294C	0.1179
YFR002W	0.0930
YBR267W	0.1399
YJL217W	0.1818
YMR011W	0.0721
YPR194C	0.1266
YGR089W	0.1840
YDR325W	0.1427
YNR031C	0.0893
YFL033C	0.1378
YNL131W	0.1325
YNL124W	0.2283
YJL073W	0.1822
YBL005W	0.2652
YOR078W	0.2757
YGL258W	0.2087
YOR243C	0.1169
YLR130C	0.1381
YER022W	0.1601
YBR057C	0.1393
YNR059W	0.3707
YDR041W	0.1478
YGR070W	0.2237
YPR105C	0.1231
YNL059C	0.0980
YMR205C	0.0261
YIL094C	0.0458
YCR005C	0.0413
YER164W	0.0962
YBL101C	0.1739
YPR055W	0.1279
YML017W	0.1895
YIL016W	0.2013
YLR032W	0.1583
YOR274W	0.1415
YBL051C	0.1426
YLR089C	0.0717
YMR298W	0.0671
YMR022W	0.0121
YDR488C	0.3089
YJL063C	0.1471
YOL021C	0.0480
YGR256W	0.0589
YEL042W	0.2128
YLR113W	0.0345
YKR091W	0.2561
YHL013C	0.1414
YOL060C	0.1522
YGR009C	0.1956
YOR382W	0.0980
YNR047W	0.1489
YCL005W	0.1984
YGL105W	0.0798
YBR097W	0.1561
YLR014C	0.2204
YDL076C	0.2313
YOR137C	0.2138
YDR120C	0.0884
YER126C	0.0268
YPR186C	0.2099
YOR113W	0.2199
YGR194C	0.1295
YDR486C	0.0699
YJL192C	0.1545
YBR040W	0.1242
YDR030C	0.2495
YPL221W	0.1034
YNL325C	0.0952
YPL274W	0.0988
YBL047C	0.1565
YOR315W	0.1895
YEL051W	0.0312
YCR045C	0.0965
YLL023C	0.1403
YKL203C	0.0550
YPL209C	0.1063
YIL076W	0.1014
YGR041W	0.4088
YER179W	0.0354
YDL036C	0.2220
YFL007W	0.0985
YML059C	0.1385
YDR063W	0.1275
YPL099C	0.3352
YGR238C	0.3549
YLR423C	0.1990
YGL026C	0.0382
YGR263C	0.1981
YML091C	0.1474
YPL084W	0.1671
YPR060C	0.1055
YDL110C	0.0867
YDL098C	0.2332
YJL053W	0.1082
YPR104C	0.2303
YNL182C	0.1712
YOR245C	0.1292
YGR214W	0.0040
YPR002W	0.1434
YGL006W	0.1432
YKR067W	0.1140
YMR143W	0.0070
YOR151C	0.0147
YOR080W	0.2883
YLL001W	0.0343
YDR052C	0.1767
YNL189W	0.0166
YMR043W	0.0772
YPR173C	0.0412
YGR249W	0.2160
YCL047C	0.1395
YML077W	0.0314
YER068W	0.1022
YER013W	0.1434
YKL053C-A	0.0349
YMR092C	0.1319
YDL021W	0.0836
YLR043C	0.0388
YDL018C	0.1467
YML060W	0.1622
YJR062C	0.2538
YGR054W	0.0893
YBR035C	0.0658
YPR160W	0.0415
YMR191W	0.2735
YBL060W	0.3294
YML035C	0.0606
YCL010C	0.1660
YPR138C	0.0654
YBR019C	0.1259
YKL056C	0.0419
YAL060W	0.1387
YFL025C	0.2053
YKL009W	0.0551
YIL144W	0.1192
YOR124C	0.1584
YOR332W	0.0815
YLR196W	0.1007
YJL126W	0.1661
YKL150W	0.0894
YIL133C	0.0309
YHR063C	0.1614
YJL200C	0.0482
YBR148W	0.3795
YGL211W	0.0557
YMR093W	0.0429
YPL033C	0.2989
YKL041W	0.0714
YLR377C	0.0690
YNL107W	0.1250
YNL067W	0.0838
YDR376W	0.1501
YKL194C	0.1039
YFR023W	0.1047
YKL096W	0.2510
YJR137C	0.0915
YGL160W	0.2267
YMR021C	0.1558
YJR040W	0.0992
YPR119W	0.1189
YLR207W	0.1513
YDR378C	0.0465
YKL176C	0.1439
YIR027C	0.1379
YGL191W	0.0233
YJL104W	0.0940
YPL019C	0.1461
YFL041W	0.1013
YFL009W	0.1524
YDL174C	0.1210
YER091C	0.0404
YJL062W	0.1558
YIR024C	0.2897
YDL103C	0.1174
YDL203C	0.1897
YCR098C	0.1081
YLR215C	0.1472
YMR287C	0.2136
YIL120W	0.1763
YKL130C	0.1341
YNL021W	0.0595
YOL054W	0.1679
YFR001W	0.1034
YPL131W	0.0236
YPL007C	0.2211
YGL233W	0.1101
YJL088W	0.1068
YGR113W	0.1983
YLR319C	0.1990
YMR235C	0.0909
YOR341W	0.0331
YNL117W	0.0523
YPL091W	0.0664
YDR295C	0.2151
YAL033W	0.1084
YGR155W	0.0750
YBR157C	0.2039
YNL130C	0.1552
YMR195W	0.3333
YNR049C	0.1388
YML109W	0.2572
YOL083W	0.3920
YLR335W	0.3249
YNL251C	0.0941
YJR102C	0.1634
YPL089C	0.2188
YNL284C	0.1741
YOR020C	0.0189
YBL028C	0.1887
YBL004W	0.1473
YBR186W	0.2396
YBR164C	0.0055
YIL153W	0.1247
YIR029W	0.1516
YHR074W	0.0406
YBR211C	0.2068
YLR368W	0.1760
YFR030W	0.1130
YKL089W	0.1423
YOR006C	0.1410
YJL146W	0.1514
YLR277C	0.0964
YAL011W	0.2197
YDL155W	0.1548
YBR244W	0.1111
YPL053C	0.1547
YOR028C	0.2917
YBR179C	0.1392
YPL155C	0.1504
YJR097W	0.1786
YLR351C	0.0653
YOL094C	0.0495
YPR116W	0.3600
YJL095W	0.1430
YHR018C	0.0389
YGR142W	0.3374
YBR126C	0.0222
YOL149W	0.0957
YGL202W	0.0880
YPL106C	0.0664
YOR046C	0.0726
YNL141W	0.1066
YKR090W	0.3088
YMR220W	0.1729
YPR187W	0.0323
YEL018W	0.1382
YDR121W	0.2245
YER125W	0.0272
YGR195W	0.0366
YPL211W	0.0331
YMR115W	0.1657
YDL077C	0.1745
YOR222W	0.0749
YEL021W	0.0375
YOL061W	0.0324
YOR206W	0.1003
YGL104C	0.1304
YER152C	0.1693
YPL259C	0.0568
YDR523C	0.0866
YPL220W	0.0230
YLR008C	0.1012
YJL191W	0.0145
YPR066W	0.1342
YBL046W	0.2523
YDR031W	0.0909
YMR079W	0.0395
YOL005C	0.0083
YOR213C	0.3115
YHR036W	0.2328
YHR016C	0.1711
YLR450W	0.0809
YNR048W	0.1527
YBR245C	0.0514
YDR191W	0.1297
YGL224C	0.1000
YIL017C	0.1303
YNL268W	0.1097
YOR307C	0.2053
YOL123W	0.0544
YML116W	0.1900
YNL084C	0.1519
YGL066W	0.1803
YGR156W	0.1465
YDR185C	0.1117
YOR070C	0.0644
YPR070W	0.2071
YOR386W	0.2429
YCL011C	0.0869
YOR166C	0.3158
YHR207C	0.1508
YER141W	0.0679
YKL213C	0.1483
YNL220W	0.0393
YGL169W	0.1679
YGR060W	0.0227
YNL210W	0.3444
YCL064C	0.1389
YML076C	0.2110
YKR060W	0.1350
YML029W	0.1914
YCL048W	0.1364
YHR094C	0.0670
YLR127C	0.1758
YCR033W	0.2713
YER069W	0.1031
YGL121C	0.1984
YER012W	0.0505
YBL067C	0.2195
YHR098C	0.0700
YDL019C	0.1552
YML034W	0.2794
YDL135C	0.0446
YPR023C	0.1047
YCR093W	0.1092
YIR039C	0.3028
YKR059W	0.0253
YDL020C	0.1966
YOL084W	0.1806
YDR168W	0.1304
YML061C	0.1073
YBR050C	0.3384
YNL202W	0.0822
YDL191W	0.0333
YJL186W	0.2235
YER023W	0.0455
YPL268W	0.1661
YER132C	0.2290
YPL140C	0.1369
YCR002C	0.0280
YML016C	0.0997
YGL040C	0.0556
YKR084C	0.1590
YDR113C	0.2900
YLL031C	0.0718
YLR033W	0.1540
YLR088W	0.1338
YBR021W	0.0664
YGR255C	0.0655
YNL156C	0.1356
YNL138W	0.1295
YPL237W	0.0456
YGR282C	0.0767
YNL183C	0.0926
YCR030C	0.1475
YOR061W	0.0206
YMR077C	0.1991
YPL183C	0.2369
YDR166C	0.1458
YKR088C	0.1365
YNL068C	0.1813
YPL186C	0.3569
YGR204W	0.0465
YDR438W	0.2602
YJL005W	0.0983
YDR146C	0.2087
YKR063C	0.2255
YJL105W	0.2482
YNL199C	0.1182
YJR016C	0.0291
YDL202W	0.1774
YDL100C	0.0339
YFL008W	0.0996
YDR337W	0.0979
YOR251C	0.2072
YJL061W	0.2440
YOR049C	0.1808
YLR216C	0.0674
YDR217C	0.3308
YDR441C	0.1602
YPL094C	0.1095
YNL020C	0.2790
YOR101W	0.2395
YER090W	0.0552
YOR231W	0.1584
YPR161C	0.1738
YJL112W	0.1862
YPR018W	0.2588
YDR159W	0.2592
YDR062W	0.0766
YPL163C	0.2980
YML058W	0.0962
YDR107C	0.1548
YJR076C	0.0578
YPR005C	0.4195
YKR065C	0.1487
YKL157W	0.0848
YKR002W	0.0423
YBR003W	0.0782
YPL050C	0.0532
YBR068C	0.1034
YDR279W	0.2923
YDL113C	0.1375
YPL083C	0.2998
YDL099W	0.4481
YLR201C	0.1385
YBR130C	0.2424
YLR274W	0.0284
YPR016C	0.0122
