uniprot	pdb	oln	pdb_length
P0A836	2nu8.B	b0728	388
P0A850	5owi.A	b0436	432
P0A853	2c44.A	b3708	467
P0A855	2w8b.A	b0740	409
P0A858	1tre.A	b3919	255
P0A862	4af2.A	b1324	175
P0A870	4s2b.A	b0008	316
P0A873	1p9p.A	b2607	236
P0A877	1xcf.A	b1260	238
P0A879	2dh5.A	b1261	393
P0A881	3wrp.A	b4393	101
P0A884	4gev.A	b2827	264
P0A890	1dcj.A	b3470	81
P0A894	5o5q.A	b3205	265
P0A898	1xm5.A	b0659	152
P0A8A0	1kon.A	b1864	233
P0A8B5	1pug.A	b0471	94
P0A8D6	5cb3.A	b1045	171
P0A8F0	2ehj.A	b2498	208
P0A8G6	3b6i.A	b1004	197
P0A8H8	1lv3.A	b0101	65
P0A8I1	1ovq.A	b2949	138
P0A8I3	5caj.A	b0006	261
P0A8I5	3dxy.A	b2960	207
P0A8I8	1ns5.A	b0636	153
P0A8J4	1rwu.A	b0631	87
P0A8M3	1qf6.A	b1719	641
P0A8N0	4d8j.A	b0956	149
P0A8N3	1bbu.A	b2890	487
P0A8N5	1e1o.A	b4129	485
P0A8N7	3a5y.A	b4155	297
P0A8P1	2cxa.A	b0885	229
P0A8P3	1yhd.A	b2962	92
P0A8P8	1a0p.A	b2894	271
P0A8Q0	1kf6.C	b4152	130
P0A8Q3	1kf6.D	b4151	119
P0A8Q6	2w9r.A	b0881	97
P0A8R0	1q5x.A	b3929	160
P0A8S9	1g8e.A	b1892	98
P0A8T7	5uag.D	b3988	1167
P0A8U0	3ffv.A	b2793	181
P0A8U6	1cmb.A	b3938	104
P0A8V0	2cbn.A	b2268	306
P0A8V2	5uag.C	b3987	1340
P0A8V6	1hw1.A	b1187	226
P0A8X2	1y0g.A	b1056	169
P0A8Y3	2b0c.A	b3885	199
P0A8Y5	1rkq.A	b3697	271
P0A8Y8	4k4c.A	b0597	137
P0A8Z3	1s5u.A	b0736	129
P0A901	3mbt.A	b4149	149
P0A915	2f1v.A	b1256	182
P0A917	1orm.A	b0814	148
P0A921	1qd5.A	b3821	257
P0A924	5jwy.A	b1278	259
P0A927	1tly.A	b0411	251
P0A935	2ae0.X	b2813	335
P0A937	2km7.A	b2617	102
P0A940	5d0o.A	b0177	786
P0A951	6cy6.A	b1584	169
P0A953	2vba.A	b2323	404
P0A955	1wbh.A	b1850	213
P0A959	4cvq.A	b2290	404
P0A962	2him.A	b1767	327
P0A964	2ho9.A	b1887	167
P0A988	4k3l.A	b3701	355
P0A993	2gq1.A	b4232	310
P0A998	1eum.A	b1905	161
P0A9B2	5za0.A	b1779	330
P0A9B6	2x5j.O	b2927	324
P0A9C9	3big.A	b3925	321
P0A9D2	1n2a.A	b1635	201
P0A9D4	1t3d.A	b3607	262
P0A9F1	2h09.A	b0817	127
P0A9G4	1q06.A	b0487	122
P0A9G6	1igw.A	b4015	396
P0A9G8	1b9m.A	b0761	258
P0A9H1	1mug.A	b3068	165
P0A9H3	3n75.A	b4131	712
P0A9H9	1kmi.Z	b1881	177
P0A9I5	2jsx.A	b2207	95
P0A9I8	2jo6.A	b3366	110
P0A9J4	1yon.A	b0425	292
P0A9J6	1rkd.A	b3752	306
P0A9K9	2kfw.A	b3349	196
P0A9L5	1jns.A	b3775	92
P0A9M2	5knx.A	b0125	173
P0A9M5	1nul.A	b0238	142
P0A9N4	3c8f.A	b0902	246
P0A9P0	4jdr.A	b0116	471
P0A9P4	1trb.A	b0888	316
P0A9Q5	2f9y.B	b2316	257
P0A9Q9	1t4b.A	b3433	367
P0A9R4	1i7h.A	b2525	109
P0A9S1	5br4.A	b2799	385
P0A9S3	4uej.A	b2091	346
P0A9T0	1yba.A	b2913	406
P0A9T4	1lqa.A	b2834	346
P0A9T6	2eby.A	b0483	102
P0A9V1	4p32.A	b3201	234
P0A9W3	4fin.A	b4391	538
P0A9W6	1ny8.A	b3190	97
P0A9W9	3tio.A	b3279	176
P0A9X9	2l15.A	b3556	70
P0A9Z1	2pii.A	b2553	112
P0AA04	1ggr.B	b2415	85
P0AA25	5hr3.A	b3781	107
P0AA31	1je3.A	b1930	97
P0AA37	2i82.A	b0058	217
P0AA43	1ksk.A	b2183	234
P0AA86	3k8n.A	b2195	153
P0AA97	3c0u.A	b0190	177
P0AAB2	2fek.A	b2061	147
P0AAB4	5m1d.A	b3843	469
P0AAC0	5cb0.A	b1333	290
P0AAC8	1s98.A	b2528	97
P0AAI5	3ho9.A	b1095	411
P0AAI9	1mla.A	b1092	305
P0AAJ3	1kqf.B	b1475	289
P0AAM3	2ot2.A	b2728	90
P0AAN1	2kc5.A	b2992	162
P0AAN5	2kvt.A	b0389	71
P0AAR3	2dxa.A	b0481	158
P0AAS7	1p9k.A	b0528	79
P0AAV4	5dud.B	b0711	200
P0AAW9	4c48.C	b0762	46
P0AB26	3l6i.A	b1063	171
P0AB46	2lrm.A	b1171	84
P0AB52	1jx7.A	b1219	117
P0AB65	2gv1.A	b0968	92
P0AB71	5gk3.A	b2925	334
P0AB74	1gvf.A	b3137	273
P0AB77	1fc4.A	b3617	401
P0AB80	1iye.A	b3770	304
P0AB83	2abk.A	b1633	211
P0AB85	4xgw.A	b2214	304
P0AB87	1e4c.P	b2800	206
P0AB89	2ptr.A	b1131	454
P0AB91	1n8f.A	b0754	343
P0ABA0	5t4o.I	b3736	155
P0ABA4	5t4o.L	b3735	160
P0ABA6	5t4o.G	b3733	284
P0ABB0	3oaa.A	b3734	488
P0ABB4	5t4o.D	b3732	466
P0ABD3	4cvr.A	b3336	156
P0ABD5	2f9y.A	b0185	301
P0ABE2	2dhm.A	b0435	107
P0ABE5	5oc0.A	b1418	174
P0ABF4	3mpy.A	b2457	96
P0ABF6	1ctt.A	b2143	294
P0ABH7	1owb.A	b0720	426
P0ABH9	1r6b.X	b0882	704
P0ABI4	5n77.A	b3816	257
P0ABJ1	1fft.B	b0432	257
P0ABJ3	1fft.C	b0430	185
P0ABK9	2rdz.A	b4070	441
P0ABL1	2ozy.A	b4071	142
P0ABN1	5d6i.A	b4042	115
P0ABP8	1ecp.A	b4384	237
P0ABQ4	4kjj.A	b0048	159
P0ABR1	1ghh.A	b1061	81
P0ABS1	1tjl.A	b0145	145
P0ABS8	1du2.A	b1842	76
P0ABT2	1dps.A	b0812	159
P0ABT5	6ei9.A	b3260	306
P0ABU0	4i42.A	b2262	285
P0ABU5	1vhq.A	b3209	217
P0ABU7	5sv0.A	b3006	233
P0ABY4	2mt9.A	b2895	173
P0ABY7	2avu.E	b1891	156
P0ABZ6	1m5y.A	b0053	388
P0AC02	5d0o.D	b2595	208
P0AC13	1aj0.A	b3177	282
P0AC16	2o90.A	b3058	115
P0AC19	1b9l.A	b2303	119
P0AC38	1jsw.A	b4139	459
P0AC41	2wdq.A	b0723	588
P0AC44	2wdq.D	b0722	105
P0AC47	1kf6.B	b4153	243
P0AC51	4mtd.A	b4046	149
P0AC55	2ns1.B	b0450	113
P0AC59	1g7o.A	b1064	215
P0AC62	1fov.A	b3610	82
P0AC65	1h75.A	b2673	76
P0AC69	1yka.A	b1654	115
P0AC81	1f9z.A	b1651	128
P0AC88	1db3.A	b2053	335
P0AC92	4xo1.A	b4517	60
P0ACA1	3r2q.A	b3592	202
P0ACB2	5mhb.A	b0369	323
P0ACC1	1t43.A	b1212	275
P0ACC7	1hv9.A	b3730	449
P0ACD4	2kqk.A	b2529	128
P0ACD8	5adu.L	b0973	581
P0ACE0	6en9.L	b2994	551
P0ACE3	1jw2.A	b0460	72
P0ACE7	3n1s.A	b1103	117
P0ACF0	1mul.A	b4000	76
P0ACH5	1xs9.A	b1531	129
P0ACI0	1d5y.A	b4396	288
P0ACI3	4fe7.A	b3569	380
P0ACI6	2cg4.A	b3743	150
P0ACJ0	2gqq.A	b0889	153
P0ACJ8	4r8h.A	b3357	200
P0ACP1	2iks.A	b0080	276
P0ACP7	1jft.A	b1658	340
P0ACS9	3bcg.A	b0464	207
P0ACU2	4jyk.A	b1013	201
P0ACX3	2asy.A	b1667	101
P0ACY1	3bm1.A	b1765	177
P0AD24	2jrx.A	b2187	83
P0AD49	1n3g.A	b2597	113
P0AD59	1gpq.A	b0220	127
P0AD61	1e0t.A	b1676	446
P0AD96	1z15.A	b3460	344
P0ADA1	1ivn.A	b0494	179
P0ADC1	4rhb.B	b0641	150
P0ADE4	4c00.A	b4220	544
P0ADE6	5fim.A	b2665	157
P0ADE8	1vly.A	b2898	323
P0ADF8	2lvw.A	b3670	98
P0ADG4	2qfl.A	b2533	262
P0ADI4	2fq1.A	b0595	279
P0ADI7	1j2r.A	b1867	188
P0ADK6	1oyz.A	b3594	273
P0ADR6	4auk.A	b2806	357
P0ADS2	4p1m.A	b2910	106
P0ADU2	1tuv.A	b3029	103
P0ADU5	1nnx.A	b3024	93
P0ADV1	2r19.A	b3200	135
P0ADV7	5uwa.A	b3192	185
P0ADX1	1ml8.A	b3356	131
P0ADX5	5jff.B	b3362	51
P0ADX9	2fpo.A	b3465	177
P0ADZ0	4v9o.AT	b3318	93
P0ADZ4	4v9o.BO	b3165	120
P0AE06	5ng5.A	b0463	340
P0AE08	5b8a.A	b0605	168
P0AE12	1t8s.A	b1982	443
P0AE18	1xnz.A	b0168	262
P0AE22	1rmt.A	b4055	210
P0AE48	1xhs.A	b4222	113
P0AE60	2bn8.A	b1731	67
P0AE67	1djm.A	b1882	129
P0AE70	5cqx.A	b2782	107
P0AE95	2na4.A	b1039	108
P0AE98	5m1u.A	b1038	127
P0AEA2	4uv3.A	b1037	248
P0AEB2	3mzf.A	b0632	355
P0AEE3	3gdv.A	b3235	296
P0AEE5	2fvy.A	b2150	305
P0AEE8	2g1p.A	b3387	245
P0AEG4	1a23.A	b3860	189
P0AEG6	1eej.A	b2893	216
P0AEJ2	3hwo.A	b0593	379
P0AEJ6	5ysn.A	b2441	453
P0AEJ8	2z9h.A	b2456	96
P0AEK2	1q7b.A	b1093	243
P0AEK4	1qsg.A	b1288	258
P0AEK7	1kqf.C	b1476	216
P0AEL3	2lx9.A	b3408	83
P0AEL6	2m6k.A	b0592	292
P0AEM0	4dt4.A	b0028	160
P0AEN1	1qfj.A	b3844	226
P0AEN8	2wcv.A	b2804	138
P0AEP3	2e3d.A	b1236	286
P0AEP7	2pan.A	b0507	592
P0AEQ3	1wdn.A	b0811	224
P0AER0	1ldf.A	b3927	254
P0AES0	2io8.A	b2988	599
P0AES2	1ec7.A	b2787	429
P0AES9	1dj8.A	b3510	79
P0AET2	2myj.A	b3509	79
P0AET8	1fmc.A	b1619	255
P0AEU0	1hsl.A	b2309	239
P0AEV9	2i8l.A	b2717	156
P0AEX9	1ezo.A	b4034	370
P0AEY3	3cra.A	b2781	239
P0AEY5	2b3d.A	b3028	193
P0AEY8	6euq.A	b0842	386
P0AEZ1	3fst.A	b3941	286
P0AEZ3	3q9l.A	b1175	257
P0AEZ9	1mkz.A	b0782	170
P0AF03	1di6.A	b0009	183
P0AF12	3o4v.A	b0159	234
P0AF16	6cc4.A	b1069	608
P0AF18	1yrr.A	b0677	381
P0AF24	2c4n.A	b0675	250
P0AF28	1a04.A	b1221	205
P0AF36	2jee.A	b3928	79
P0AF50	2fki.A	b4057	118
P0AF61	2llz.A	b4128	100
P0AF93	1qu9.A	b4243	127
P0AFB1	1xnf.A	b3163	259
P0AFC0	2o1c.A	b1865	147
P0AFF6	6flq.F	b3169	495
P0AFG3	2jgd.A	b0726	812
P0AFG8	2qtc.A	b0114	801
P0AFI0	2q28.A	b2373	550
P0AFI2	1zvu.A	b3019	685
P0AFI7	1g79.A	b1638	199
P0AFK0	5nj9.B	b4235	443
P0AFK9	1pot.A	b1123	322
P0AFL3	1clh.A	b3363	166
P0AFL6	1u6z.A	b2502	498
P0AFM2	1r9l.A	b2679	309
P0AFP6	1nmo.A	b0710	247
P0AFQ7	1yix.A	b1100	265
P0AFR4	1k7j.A	b1267	206
P0AFU8	1i8d.A	b1662	206
P0AFW0	2oug.A	b3842	141
P0AFW2	4v8g.AV	b0953	53
P0AFW4	3bmb.A	b0610	135
P0AFW8	1sg5.A	b0189	86
P0AFX0	2rql.A	b3203	95
P0AFX4	2p7v.A	b3995	151
P0AFX9	3m4w.A	b2571	284
P0AFY8	3fmt.A	b0687	162
P0AG11	1i4v.A	b1183	115
P0AG16	1ecf.A	b2312	492
P0AG18	1qcz.A	b0523	163
P0AG20	5iqr.8	b2784	615
P0AG30	3ice.A	b3783	398
P0AG44	4v9o.AN	b3294	120
P0AG48	4ybb.CS	b3186	150
P0AG51	4v9o.AZ	b3302	58
P0AG55	4v9o.AG	b3305	176
P0AG59	4v9o.BN	b3307	136
P0AG63	4v9o.BQ	b3311	114
P0AG74	2h8e.A	b0550	120
P0AG80	4aq4.A	b3453	418
P0AG82	1ixh.A	b3728	321
P0AG86	1qyn.A	b3609	134
P0AG93	5mg3.F	b0409	289
P0AGA2	5gae.g	b3300	399
P0AGB6	1or7.A	b2573	181
P0AGC3	1qsa.A	b4392	618
P0AGD1	1eso.A	b1646	154
P0AGD3	2nyb.A	b1656	192
P0AGE6	3svl.A	b3713	181
P0AGE9	2nu8.A	b0729	287
P0AGF2	1ni7.A	b2811	149
P0AGF4	4gc0.A	b4031	475
P0AGG2	1c8u.A	b0452	285
P0AGG8	5nj9.A	b3244	480
P0AGJ7	4jak.A	b3606	155
P0AGK4	1ln4.A	b3180	98
P0AGM7	3qe7.A	b2497	407
P0C018	4ybb.CP	b3304	224
P0C066	4cfp.A	b2963	327
P0C077	2kc8.A	b1563	95
P0C079	4fxe.A	b1564	68
P0C093	3nxc.A	b3641	177
P0C0K3	1zyl.A	b3859	325
P0C0L2	1qwi.A	b1482	142
P0C0L9	2bzt.A	b2524	66
P0C0R7	1ej0.A	b3179	180
P0C0S1	5aji.A	b2924	264
P0C0T5	1tzp.A	b2328	240
P0C0U4	4iwx.A	b0852	295
P0C960	4hjz.A	b1193	183
P0CE47	4pc3.A	b3339	364
P0CE48	6eze.A	b3980	386
P0DMC7	5w43.A	b2217	202
P10378	4iz6.A	b0594	609
P10384	3pgu.A	b2344	408
P10441	5w8x.A	b0182	367
P10902	1chu.A	b2574	478
P10903	4u4v.A	b1223	442
P11349	1q16.B	b1225	509
P11350	1q16.C	b1227	224
P11447	1tj7.A	b3960	455
P11454	5t3d.A	b0586	1042
P11551	3o7q.A	b2801	414
P11875	4oby.A	b1876	565
P11880	1gg4.A	b0086	439
P12281	1g8l.A	b0827	403
P12282	1jw9.B	b0826	240
P12295	3uf7.A	b2580	223
P12758	1rxy.A	b3831	250
P12994	1fjj.A	b0773	159
P12995	1s0a.A	b0774	428
P12996	1r30.A	b0775	312
P12998	1bs0.A	b0776	383
P13000	1byi.A	b0778	224
P13001	1m33.A	b3412	256
P13035	2qcu.A	b3426	499
P13036	1kmo.A	b4291	661
P13445	5ipl.F	b2741	277
P13482	2jg0.A	b1197	507
P13738	1zcd.A	b0019	376
P14081	5lzd.z	b3590	614
P14294	1i7d.A	b1763	620
P14900	2y1o.A	b0088	435
P15034	2v3z.A	b2908	440
P15042	5tt5.A	b2411	581
P15043	1oyy.A	b3822	512
P15047	2fwm.X	b0596	212
P15067	2wsk.A	b3431	654
P15640	1gso.A	b4005	419
P15723	4x9e.A	b0160	499
P15770	1nyt.A	b3281	271
P15977	4s3q.A	b3416	682
P16384	3foz.A	b4171	305
P16456	3u0o.A	b1764	319
P16525	2i06.A	b1610	305
P16685	4xb6.A	b4101	144
P16686	2fsu.A	b4100	170
P16687	4xb6.C	b4099	353
P16688	4xb6.D	b4098	277
P16692	3g1p.A	b4092	249
P16703	2v03.A	b2421	294
P17109	5ej8.A	b2264	556
P17117	1f5v.A	b0851	240
P17169	4amv.A	b3729	608
P17315	2hdi.A	b2155	598
P17443	1f0k.A	b0090	351
P17846	6c3m.A	b2763	465
P17854	2o8v.A	b2762	229
P17888	6dcr.A	b3935	639
P17952	2f00.A	b0091	476
P17993	4kdc.A	b2232	217
P18393	5ja1.B	b4511	66
P18843	1wxi.A	b1740	261
P18956	2e0w.A	b3447	496
P19624	1ptm.A	b0052	329
P19636	5ysn.B	b2440	252
P19926	1nt4.A	b1002	391
P19931	2hfd.A	b0976	132
P20605	5jff.A	b3361	188
P21165	4qr8.A	b3847	441
P21170	3nzq.A	b2938	628
P21179	3ttv.A	b1732	726
P21189	3k59.A	b0060	781
P21338	2pqx.A	b0611	245
P21362	2gs4.A	b1258	159
P21367	1yac.A	b0897	204
P21645	3eh0.A	b0179	341
P21866	4kfc.A	b0694	223
P21888	1li5.A	b0526	386
P21889	1il2.A	b1866	585
P22106	1ct9.A	b0674	498
P22188	1e8c.A	b0085	497
P22256	1sff.A	b2662	425
P22259	6at4.A	b3403	535
P22524	3euh.C	b0923	206
P22634	2jfn.A	b3967	268
P22939	1rqj.A	b0421	299
P23003	3bt7.A	b3965	369
P23256	1d2f.A	b1622	361
P23522	1dxe.A	b3126	253
P23721	1bjn.A	b0907	360
P23827	1slu.A	b2209	131
P23843	3tch.A	b1243	517
P23847	1dpe.A	b3544	507
P23857	2jtq.A	b1308	85
P23865	5wql.C	b1830	648
P23869	2rs4.A	b0525	164
P23872	4krx.A	b0476	316
P23873	2wiu.B	b1508	71
P23874	3tpd.A	b1507	396
P23882	1fmt.A	b3288	308
P23895	3b5d.A	b0543	100
P23909	1wb9.A	b2733	788
P23930	5n6h.A	b0657	503
P24171	1y79.1	b1538	684
P24173	2h1h.A	b3621	322
P24182	2w70.A	b3256	446
P24183	1kqf.A	b1474	982
P24186	1b0a.A	b0529	287
P24193	2i6r.A	b2730	316
P24197	2pw6.A	b3039	244
P24200	6ghc.A	b1159	283
P24203	1nij.A	b4352	317
P24215	4eac.A	b4322	395
P24224	5xu7.A	b2563	120
P24228	2ex2.A	b3182	456
P24232	1gvh.A	b2552	396
P24242	3dbi.A	b2714	278
P25397	2xvm.A	b1430	199
P25519	5ady.6	b4173	426
P25524	3r0d.A	b0337	422
P25526	3jz4.A	b2661	481
P25535	4k22.A	b2906	354
P25536	4p0e.A	b3248	189
P25539	2obc.A	b0414	354
P25553	2imp.A	b1415	477
P25740	2iw1.A	b3631	370
P25745	2der.A	b1133	348
P25746	1sdi.A	b1132	213
P26281	5etp.A	b0142	160
P26602	1tt8.A	b4039	164
