uniprot	pdb	oln
P0A7K6	4v9o.AP	b2606
P0A7L0	3jce.5	b3984
P0A7L3	4v9o.AQ	b1716
P0A7L8	4v9o.AW	b3185
P0A7M2	4v9o.AX	b3637
P0A7M6	4u26.BY	b3312
P0A7M9	5afi.6	b3936
P0A7N1	6i7v.D7	b0296
P0A7N4	4v9o.A0	b1089
P0A7N9	4v9o.A1	b3636
P0A7P5	4ybb.C3	b3703
P0A7Q1	4v9o.A3	b1717
P0A7Q6	4ybb.C5	b3299
P0A7R1	4ybb.CH	b4203
P0A7R5	3w1y.C	b3321
P0A7R9	4v9o.BK	b3297
P0A7S3	4v9o.BL	b3342
P0A7S9	4v9o.BM	b3298
P0A7T3	4ybb.AP	b2609
P0A7T7	4v9o.BR	b4202
P0A7U3	4v9o.BS	b3316
P0A7U7	4v9o.BT	b0023
P0A7V0	4v9o.BB	b0169
P0A7V3	4v9o.BC	b3314
P0A7V8	4v9o.BD	b3296
P0A7W1	4v9o.BE	b3303
P0A7W7	4v9o.BH	b3306
P0A7X3	4v9o.BI	b3230
P0A7Y4	1rch.A	b0214
P0A7Y8	2ljp.A	b3704
P0A7Z0	1o8b.A	b2914
P0A7Z4	6gh5.A	b3295
P0A800	6omf.E	b3649
P0A805	1ise.A	b0172
P0A809	1cuk.A	b1861
P0A814	1hjr.A	b1863
P0A817	1p7l.A	b2942
P0A823	4dap.A	b0146
P0A825	1dfo.A	b2551
P0A832	6q97.5	b2620
P0A836	2nu8.B	b0728
P0A850	5owi.A	b0436
P0A853	2c44.A	b3708
P0A855	2w8b.A	b0740
P0A858	1tre.A	b3919
P0A862	4af2.A	b1324
P0A870	4s2b.A	b0008
P0A873	1p9p.A	b2607
P0A877	1xcf.A	b1260
P0A879	2dh5.A	b1261
P0A881	6eni.A	b4393
P0A884	6nnr.A	b2827
P0A890	1dcj.A	b3470
P0A894	5o5q.A	b3205
P0A898	1xm5.A	b0659
P0A8A0	1kon.A	b1864
P0A8B5	1pug.A	b0471
P0A8D6	5cb3.A	b1045
P0A8F0	2ehj.A	b2498
P0A8F8	1e52.A	b0779
P0A8G0	1kft.A	b1913
P0A8G6	3b6i.A	b1004
P0A8H8	1lv3.A	b0101
P0A8I1	1ovq.A	b2949
P0A8I3	5caj.A	b0006
P0A8I5	3dxy.A	b2960
P0A8I8	1ns5.A	b0636
P0A8J2	2ru8.A	b4362
P0A8J4	1rwu.A	b0631
P0A8M3	1qf6.A	b1719
P0A8N0	4d8j.A	b0956
P0A8N3	1bbu.A	b2890
P0A8N5	5yzx.A	b4129
P0A8N7	3a5y.A	b4155
P0A8P1	2cxa.A	b0885
P0A8P3	1yhd.A	b2962
P0A8P6	5dcf.A	b3811
P0A8P8	1a0p.A	b2894
P0A8Q0	1kf6.C	b4152
P0A8Q3	1kf6.D	b4151
P0A8Q6	2w9r.A	b0881
P0A8R0	1q5x.A	b3929
P0A8S9	1g8e.A	b1892
P0A8T7	6omf.D	b3988
P0A8U0	3ffv.A	b2793
P0A8U6	1cmb.A	b3938
P0A8V0	2cbn.A	b2268
P0A8V2	6n61.C	b3987
P0A8V6	1hw1.A	b1187
P0A8X2	1y0g.A	b1056
P0A8Y3	2b0c.A	b3885
P0A8Y5	1rkq.A	b3697
P0A8Y8	4k4c.A	b0597
P0A8Z3	1s5u.A	b0736
P0A901	3mbt.A	b4149
P0A903	5d0o.C	b2477
P0A910	3nb3.A	b0957
P0A912	2hqs.C	b0741
P0A915	2f1v.A	b1256
P0A917	1orm.A	b0814
P0A921	1qd5.A	b3821
P0A924	5jwy.A	b1278
P0A927	1tly.A	b0411
P0A935	2ae0.X	b2813
P0A937	2km7.A	b2617
P0A940	5d0o.A	b0177
P0A944	5isv.A	b4373
P0A951	6cy6.A	b1584
P0A953	2vba.A	b2323
P0A955	1wbh.A	b1850
P0A959	4cvq.A	b2290
P0A962	2him.A	b1767
P0A964	2ho9.A	b1887
P0A988	4k3l.A	b3701
P0A993	2gq1.A	b4232
P0A998	1eum.A	b1905
P0A9A6	1f47.A	b0095
P0A9A9	2fu4.A	b0683
P0A9B2	5za0.A	b1779
P0A9B6	2x5j.O	b2927
P0A9C9	3big.A	b3925
P0A9D2	1n2a.A	b1635
P0A9D4	1t3d.A	b3607
P0A9E0	1xja.A	b0064
P0A9F1	2h09.A	b0817
P0A9F9	5fo5.A	b3828
P0A9G4	1q06.A	b0487
P0A9G6	1igw.A	b4015
P0A9G8	1b9m.A	b0761
P0A9H1	1mug.A	b3068
P0A9H3	3n75.A	b4131
P0A9H7	6bqc.A	b1661
P0A9H9	1kmi.Z	b1881
P0A9I5	2jsx.A	b2207
P0A9I8	2jo6.A	b3366
P0A9J4	1yon.A	b0425
P0A9J6	1rkd.A	b3752
P0A9J8	1ecm.A	b2599
P0A9K9	2kfw.A	b3349
P0A9L5	1jns.A	b3775
P0A9M0	6n2i.A	b0439
P0A9M2	5knx.A	b0125
P0A9M5	1nul.A	b0238
P0A9N0	5t17.A	b3206
P0A9N4	3c8f.A	b0902
P0A9P0	4jdr.A	b0116
P0A9P4	1trb.A	b0888
P0A9P6	5gi4.A	b3162
P0A9Q1	1xhf.A	b4401
P0A9Q5	2f9y.B	b2316
P0A9Q7	6ahc.A	b1241
P0A9Q9	1t4b.A	b3433
P0A9R4	1i7h.A	b2525
P0A9S1	5br4.A	b2799
P0A9S3	4uej.A	b2091
P0A9S5	5zxl.A	b3945
P0A9T0	1yba.A	b2913
P0A9T4	1lqa.A	b2834
P0A9T6	2eby.A	b0483
P0A9V1	6mgf.A	b3201
P0A9W3	4fin.A	b4391
P0A9W6	1ny8.A	b3190
P0A9W9	3tio.A	b3279
P0A9X9	2l15.A	b3556
P0A9Z1	2pii.A	b2553
P0AA04	1ggr.B	b2415
P0AA10	4ybb.CK	b3231
P0AA16	1odd.A	b3405
P0AA25	5hr3.A	b3781
P0AA31	1je3.A	b1930
P0AA37	2i82.A	b0058
P0AA39	1xpi.A	b1086
P0AA43	1ksk.A	b2183
P0AA86	3k8n.A	b2195
P0AA89	4zvf.A	b1490
P0AA97	3c0u.A	b0190
P0AAB2	2fek.A	b2061
P0AAB4	5m1d.A	b3843
P0AAC0	5cb0.A	b1333
P0AAC8	1s98.A	b2528
P0AAI3	1lv7.A	b3178
P0AAI5	3ho9.A	b1095
P0AAI9	1mla.A	b1092
P0AAJ3	1kqf.B	b1475
P0AAM1	4gd3.A	b0974
P0AAM3	2ot2.A	b2728
P0AAN1	2kc5.A	b2992
P0AAN5	2kvt.A	b0389
P0AAR3	2dxa.A	b0481
P0AAS7	1p9k.A	b0528
P0AAV4	5dud.B	b0711
P0AAV8	6otv.A	b0769
P0AAW9	4c48.C	b0762
P0AB26	3l6i.A	b1063
P0AB46	2lrm.A	b1171
P0AB52	1jx7.A	b1219
P0AB65	2gv1.A	b0968
P0AB67	2bru.C	b1602
P0AB71	5gk3.A	b2925
P0AB74	1gvf.A	b3137
P0AB77	1fc4.A	b3617
P0AB80	1iye.A	b3770
P0AB83	2abk.A	b1633
P0AB85	4xgw.A	b2214
P0AB87	1e4c.P	b2800
P0AB89	2ptr.A	b1131
P0AB91	1n8f.A	b0754
P0AB98	5t4o.K	b3738
P0ABA0	5t4o.I	b3736
P0ABA4	5t4o.L	b3735
P0ABA6	5t4o.G	b3733
P0ABB0	3oaa.A	b3734
P0ABB4	5t4o.D	b3732
P0ABB8	3gwi.A	b4242
P0ABD3	4cvr.A	b3336
P0ABD5	2f9y.A	b0185
P0ABD8	4hr7.B	b3255
P0ABE2	2dhm.A	b0435
P0ABE5	5oc0.A	b1418
P0ABF4	3mpy.A	b2457
P0ABF6	1ctt.A	b2143
P0ABH7	1owb.A	b0720
P0ABH9	1r6b.X	b0882
P0ABI4	5n77.A	b3816
P0ABI8	1fft.A	b0431
P0ABJ1	1fft.B	b0432
P0ABJ3	1fft.C	b0430
P0ABJ9	6rko.A	b0733
P0ABK2	6rko.B	b0734
P0ABK5	5j43.A	b2414
P0ABK9	2rdz.A	b4070
P0ABL1	2ozy.A	b4071
P0ABN1	5d6i.A	b4042
P0ABP8	1ecp.A	b4384
P0ABQ0	1u7z.A	b3639
P0ABQ4	4kjj.A	b0048
P0ABR1	1ghh.A	b1061
P0ABS1	1tjl.A	b0145
P0ABS5	1dd9.A	b3066
P0ABS8	1du2.A	b1842
P0ABT2	1dps.A	b0812
P0ABT5	6ei9.A	b3260
P0ABU0	4i42.A	b2262
P0ABU5	1vhq.A	b3209
P0ABU7	5sv0.A	b3006
P0ABV2	6tyi.Y	b3005
P0ABV6	5by4.A	b0738
P0ABY4	2mt9.A	b2895
P0ABY7	2avu.E	b1891
P0ABZ6	1m5y.A	b0053
P0AC02	5d0o.D	b2595
P0AC13	1aj0.A	b3177
P0AC16	2o90.A	b3058
P0AC19	1b9l.A	b2303
P0AC38	1jsw.A	b4139
P0AC41	2wdq.A	b0723
P0AC44	2wdq.D	b0722
P0AC47	1kf6.B	b4153
P0AC51	4mtd.A	b4046
P0AC55	2ns1.B	b0450
P0AC59	1g7o.A	b1064
P0AC62	1fov.A	b3610
P0AC65	1h75.A	b2673
P0AC69	1yka.A	b1654
P0AC81	1f9z.A	b1651
P0AC88	1db3.A	b2053
P0AC92	4xo1.A	b4517
P0AC98	5zug.A	b0010
P0ACA1	3r2q.A	b3592
P0ACB0	6qem.A	b4052
P0ACB2	5mhb.A	b0369
P0ACC1	1t43.A	b1212
P0ACC7	1hv9.A	b3730
P0ACD4	2kqk.A	b2529
P0ACD8	6fpo.L	b0973
P0ACE0	6gam.L	b2994
P0ACE3	1jw2.A	b0460
P0ACE7	3n1s.A	b1103
P0ACF0	1mul.A	b4000
P0ACF4	4p3v.A	b0440
P0ACF8	1lr1.A	b1237
P0ACG1	2lrx.A	b2669
P0ACG8	1dm9.A	b3400
P0ACH5	1xs9.A	b1531
P0ACI0	1d5y.A	b4396
P0ACI3	4fe7.A	b3569
P0ACI6	2cg4.A	b3743
P0ACJ0	2gqq.A	b0889
P0ACJ8	4r8h.A	b3357
P0ACL9	5tpm.A	b0113
P0ACN4	1tf1.A	b0506
P0ACN7	2lcv.A	b3934
P0ACP1	2iks.A	b0080
P0ACP7	1jft.A	b1658
P0ACQ4	1i6a.A	b3961
P0ACS2	2zhg.A	b4063
P0ACS5	1q08.A	b3292
P0ACS9	3bcg.A	b0464
P0ACU2	4jyk.A	b1013
P0ACX3	2asy.A	b1667
P0ACX9	4ynx.A	b1705
P0ACY1	3bm1.A	b1765
P0ACZ4	3f6c.A	b2369
P0AD21	6bi6.A	b2181
P0AD24	2jrx.A	b2187
P0AD27	5i5h.A	b2188
P0AD49	1n3g.A	b2597
P0AD57	5ze6.A	b3187
P0AD59	1gpq.A	b0220
P0AD61	1e0t.A	b1676
P0AD65	6g9s.A	b0635
P0AD89	6i0y.7	b3707
P0AD96	1z15.A	b3460
P0ADA1	1jrl.A	b0494
P0ADC1	4rhb.B	b0641
P0ADC3	5naa.A	b1116
P0ADC6	6mhu.G	b4262
P0ADE4	4c00.A	b4220
P0ADE6	5fim.A	b2665
P0ADE8	1vly.A	b2898
P0ADF8	2lvw.A	b3670
P0ADG4	6ib8.A	b2533
P0ADI4	2fq1.A	b0595
P0ADI7	1j2r.A	b1867
P0ADK6	1oyz.A	b3594
P0ADP7	6h6o.A	b3834
P0ADR6	4auk.A	b2806
P0ADR8	6gfl.A	b2795
P0ADS2	4p1m.A	b2910
P0ADU2	1tuv.A	b3029
P0ADU5	1nnx.A	b3024
P0ADV1	2r19.A	b3200
P0ADV7	5uwa.A	b3192
P0ADV9	6mi7.C	b3199
P0ADX1	1ml8.A	b3356
P0ADX5	5jff.B	b3362
P0ADX9	2fpo.A	b3465
P0ADY1	2kgj.A	b0441
P0ADY3	4ybb.CL	b3310
P0ADY7	4ybb.CN	b3313
P0ADZ0	4v9o.AT	b3318
P0ADZ4	4v9o.BO	b3165
P0ADZ7	2rdd.B	b0407
P0AE01	4cnd.A	b2532
P0AE06	5ng5.A	b0463
P0AE08	5b8a.A	b0605
P0AE12	1t8s.A	b1982
P0AE18	1xnz.A	b0168
P0AE22	1rmt.A	b4055
P0AE48	1xhs.A	b4222
P0AE60	2bn8.A	b1731
P0AE67	1djm.A	b1882
P0AE70	5cqx.A	b2782
P0AE72	1mvf.D	b2783
P0AE78	4hg0.A	b0658
P0AE82	4bix.A	b3911
P0AE85	3itf.A	b4484
P0AE88	4uhj.A	b3912
P0AE95	2na4.A	b1039
P0AE98	5m1u.A	b1038
P0AEA2	4uv3.A	b1037
P0AEB2	6ntz.A	b0632
P0AEC3	1fr0.A	b3210
P0AEC8	3by8.A	b4125
P0AEE3	3gdv.A	b3235
P0AEE5	2fvy.A	b2150
P0AEE8	2g1p.A	b3387
P0AEF0	6qem.G	b4361
P0AEG4	1a23.A	b3860
P0AEG6	1eej.A	b2893
P0AEH1	2zpl.A	b0176
P0AEH3	5z6n.A	b2267
P0AEJ2	3hwo.A	b0593
P0AEJ4	4cti.A	b3404
P0AEJ6	5ysn.A	b2441
P0AEJ8	2z9h.A	b2456
P0AEK0	4fzx.C	b1844
P0AEK2	1q7b.A	b1093
P0AEK4	1qsg.A	b1288
P0AEK7	1kqf.C	b1476
P0AEL3	2lx9.A	b3408
P0AEL6	2m6k.A	b0592
P0AEM0	4dt4.A	b0028
P0AEN1	1qfj.A	b3844
P0AEN8	2wcv.A	b2804
P0AEP3	2e3d.A	b1236
P0AEP7	2pan.A	b0507
P0AEQ3	1wdn.A	b0811
P0AER0	1ldf.A	b3927
P0AES0	2io8.A	b2988
P0AES2	1ec7.A	b2787
P0AES4	6rks.A	b2231
P0AES6	6rku.B	b3699
P0AES9	1dj8.A	b3510
P0AET2	2myj.A	b3509
P0AET8	1fmc.A	b1619
P0AEU0	1hsl.A	b2309
P0AEU7	1u2m.A	b0178
P0AEV1	3eod.A	b1235
P0AEV9	2i8l.A	b2717
P0AEX9	1ezo.A	b4034
P0AEY3	3cra.A	b2781
P0AEY5	2b3d.A	b3028
P0AEY8	6euq.A	b0842
P0AEZ1	3fst.A	b3941
P0AEZ3	3q9l.A	b1175
P0AEZ7	1e0g.A	b0211
P0AEZ9	1mkz.A	b0782
P0AF03	1di6.A	b0009
P0AF10	6kcr.A	b3601
P0AF12	3o4v.A	b0159
P0AF16	6cc4.A	b1069
P0AF18	1yrr.A	b0677
P0AF24	2c4n.A	b0675
P0AF28	1a04.A	b1221
P0AF36	2jee.A	b3928
P0AF50	2fki.A	b4057
P0AF61	2llz.A	b4128
P0AF93	1qu9.A	b4243
P0AF98	6mhu.F	b4261
P0AFA2	3ezh.A	b1222
P0AFB1	1xnf.A	b3163
P0AFB5	1r62.A	b3869
P0AFC0	2o1c.A	b1865
P0AFF6	6flq.F	b3169
P0AFG0	2jvv.A	b3982
P0AFG3	2jgd.A	b0726
P0AFG6	1scz.A	b0727
P0AFG8	2qtc.A	b0114
P0AFI0	2q28.A	b2373
P0AFI2	1zvu.A	b3019
P0AFI7	1g79.A	b1638
P0AFJ5	2jba.A	b0399
P0AFK0	5nj9.B	b4235
P0AFK9	1pot.A	b1123
P0AFL3	1clh.A	b3363
P0AFL6	1u6z.A	b2502
P0AFM2	1r9l.A	b2679
P0AFM6	4whe.A	b1304
P0AFP6	1nmo.A	b0710
P0AFQ7	1yix.A	b1100
P0AFR2	3ny7.A	b1206
P0AFR4	1k7j.A	b1267
P0AFU8	1i8d.A	b1662
P0AFV4	2k1g.A	b2175
P0AFW0	2oug.A	b3842
P0AFW2	4v8g.AV	b0953
P0AFW4	3bmb.A	b0610
P0AFW8	1sg5.A	b0189
P0AFX0	2rql.A	b3203
P0AFX4	2p7v.A	b3995
P0AFX7	3m4w.E	b2572
P0AFX9	3m4w.A	b2571
P0AFY8	3fmt.A	b0687
P0AFZ3	1yfn.A	b3228
P0AG11	1i4v.A	b1183
P0AG16	1ecf.A	b2312
P0AG18	1qcz.A	b0523
P0AG20	5iqr.8	b2784
P0AG30	3ice.A	b3783
P0AG44	4v9o.AN	b3294
P0AG48	4ybb.CS	b3186
P0AG51	4v9o.AZ	b3302
P0AG55	4v9o.AG	b3305
P0AG59	4v9o.BN	b3307
P0AG63	4v9o.BQ	b3311
P0AG67	6h4n.y	b0911
P0AG74	2h8e.A	b0550
P0AG76	6s6v.A	b0398
P0AG80	4aq4.A	b3453
P0AG82	1ixh.A	b3728
P0AG86	5jtl.A	b3609
P0AG90	5mg3.D	b0408
P0AG93	5mg3.F	b0409
P0AG96	5gae.h	b3981
P0AG99	5mg3.G	b3175
P0AGA2	5gae.g	b3300
P0AGB6	1or7.A	b2573
P0AGC3	1qsa.A	b4392
P0AGD1	1eso.A	b1646
P0AGD3	2nyb.A	b1656
P0AGD7	5gah.i	b2610
P0AGE0	4mz9.A	b4059
P0AGE6	3svl.A	b3713
P0AGE9	2nu8.A	b0729
P0AGF2	1ni7.A	b2811
P0AGF4	4gc0.A	b4031
P0AGG2	1c8u.A	b0452
P0AGG8	5nj9.A	b3244
P0AGJ7	4jak.A	b3606
P0AGJ9	6hb5.A	b1637
P0AGK4	1ln4.A	b3180
P0AGK8	4hf1.A	b2531
P0AGL2	2uyk.A	b3113
P0AGL7	4e8b.A	b2946
P0AGM7	3qe7.A	b2497
P0C018	4ybb.CP	b3304
P0C066	4cfp.A	b2963
P0C077	2kc8.A	b1563
P0C079	4fxe.A	b1564
P0C093	3nxc.A	b3641
P0C0K3	1zyl.A	b3859
P0C0L2	1qwi.A	b1482
P0C0L7	1r48.A	b4111
P0C0L9	2bzt.A	b2524
P0C0R7	1ej0.A	b3179
P0C0S1	6rld.A	b2924
P0C0T5	1tzp.A	b2328
P0C0U4	4iwx.A	b0852
P0C0V0	1ky9.A	b0161
P0C960	4hjz.A	b1193
P0CB39	5zzu.A	b3955
P0CE47	4pc3.A	b3339
P0CE48	6eze.A	b3980
P0DMC5	2ayx.A	b2218
P0DMC7	5w43.A	b2217
P10121	2yhs.A	b3464
P10151	6gz0.A	b0076
P10378	4iz6.A	b0594
P10384	3pgu.A	b2344
P10408	2fsf.A	b0098
P10441	5w8x.A	b0182
P10443	5fkw.A	b0184
P10902	1chu.A	b2574
P10903	4u4v.A	b1223
P11071	6k5l.A	b4016
P11349	1q16.B	b1225
P11350	1q16.C	b1227
P11447	1tj7.A	b3960
P11454	5t3d.A	b0586
P11551	3o7q.A	b2801
P11557	2lfv.A	b3388
P11875	5yym.A	b1876
P11880	1gg4.A	b0086
P12281	1g8l.A	b0827
P12282	1jw9.B	b0826
P12295	3uf7.A	b2580
P12758	1rxy.A	b3831
P12994	1fjj.A	b0773
P12995	1s0a.A	b0774
P12996	1r30.A	b0775
P12998	1bs0.A	b0776
P13000	1byi.A	b0778
P13001	1m33.A	b3412
P13009	3bul.A	b4019
P13029	1u2k.A	b3942
P13035	2qcu.A	b3426
P13036	1kmo.A	b4291
P13445	5ipl.F	b2741
P13458	6s6v.C	b0397
P13482	2jg0.A	b1197
P13738	1zcd.A	b0019
P14081	5lzd.z	b3590
P14294	1i7d.A	b1763
P14900	2y1o.A	b0088
