#Proteome data from UniProt
#Taxonomy	9606-Homo sapiens
#Last modified	June 2019
A0A0J9YWL9	ENST00000632600
A0A0J9YWP8	ENST00000633780
A0A0J9YWX3	ENST00000632228
A0A0J9YX35	ENST00000632099
A0A0J9YX94	ENST00000436629
A0A0J9YXA8	ENST00000632951
A0A0J9YXG5	ENST00000632041
A0A0J9YXM7	ENST00000633507
A0A0J9YXQ4	ENST00000445091
A0A0J9YXX1	ENST00000632950
A0A0J9YXY3	ENST00000632016
A0A0J9YY54	ENST00000632372
A0A0K0K1A3	ENST00000390364
A0A0K0K1A5	ENST00000390368
A0A0K0K1B3	ENST00000417977
A0A0K0K1C0	ENST00000390367
A0A0K0K1C4	ENST00000390399
A0A0K0K1D8	ENST00000390353
A0A0K0K1E9	ENST00000390377
A0A0K0K1G6	ENST00000611462
A0A0K0K1G8	ENST00000426318
A0A0K2S4Q6	ENST00000641031
A0A0U1RQE8	ENST00000527482
A0A0U1RQF7	ENST00000574912
A0A0U1RQI7	ENST00000634670
A0A0U1RQS6	ENST00000634804
A0A0U1RR11	ENST00000602548
A0A0U1RR37	ENST00000634842
A0A0U1RRI6	ENST00000417339
A0A0U1RRK4	ENST00000634353
A0A0U1RRL7	ENST00000424358
A0A0U1RRN3	ENST00000501599
A0A140G945	ENST00000619537
A0A183	ENST00000431011
A0A1B0GTC6	ENST00000622536
A0A1B0GTD5	ENST00000548380
A0A1B0GTH6	ENST00000637986
A0A1B0GTI8	ENST00000626362
A0A1B0GTK4	ENST00000441223
A0A1B0GTK5	ENST00000419795
A0A1B0GTL2	ENST00000636176
A0A1B0GTQ4	ENST00000573382
A0A1B0GTR0	ENST00000649256
A0A1B0GTR3	ENST00000458472
A0A1B0GTR4	ENST00000636302
A0A1B0GTS1	ENST00000457775
A0A1B0GTU1	ENST00000651890
A0A1B0GTU2	ENST00000560778
A0A1B0GTW7	ENST00000637218
A0A1B0GTY4	ENST00000417563
A0A1B0GTZ2	ENST00000636229
A0A1B0GU29	ENST00000573100
A0A1B0GU33	ENST00000423632
A0A1B0GU71	ENST00000636692
A0A1B0GUA5	ENST00000607574
A0A1B0GUA6	ENST00000638102
A0A1B0GUA7	ENST00000450035
A0A1B0GUA9	ENST00000636000
A0A1B0GUC4	ENST00000637303
A0A1B0GUI7	ENST00000432807
A0A1B0GUJ8	ENST00000617053
A0A1B0GUQ0	ENST00000611003
A0A1B0GUS0	ENST00000635964
A0A1B0GUS4	ENST00000436446
A0A1B0GUT2	ENST00000637128
A0A1B0GUU1	ENST00000587304
A0A1B0GUV7	ENST00000436752
A0A1B0GUW6	ENST00000636696
A0A1B0GUW7	ENST00000453396
A0A1B0GUX0	ENST00000609480
A0A1B0GUY1	ENST00000638089
A0A1B0GV03	ENST00000567390
A0A1B0GV22	ENST00000596535
A0A1B0GV85	ENST00000636502
A0A1B0GV90	ENST00000636087
A0A1B0GVG4	ENST00000636079
A0A1B0GVG6	ENST00000636508
A0A1B0GVH4	ENST00000636217
A0A1B0GVH6	ENST00000563710
A0A1B0GVH7	ENST00000636793
A0A1B0GVK7	ENST00000640551
A0A1B0GVM5	ENST00000635820
A0A1B0GVM6	ENST00000542198
A0A1B0GVN3	ENST00000627399
A0A1B0GVQ0	ENST00000443779
A0A1B0GVS7	ENST00000567252
A0A1B0GVT2	ENST00000636752
A0A1B0GVV1	ENST00000636151
A0A1B0GVY4	ENST00000507311
A0A1B0GVZ2	ENST00000637493
A0A1B0GVZ6	ENST00000636986
A0A1B0GVZ9	ENST00000536543
A0A1B0GW35	ENST00000636125
A0A1B0GW54	ENST00000635976
A0A1B0GW64	ENST00000637503
A0A1B0GWB2	ENST00000636672
A0A1B0GWG4	ENST00000569275
A0A1B0GWH4	ENST00000431993
A0A1B0GWK0	ENST00000637878
A0A1B0GX31	ENST00000390374
A0A1B0GX49	ENST00000390360
A0A1B0GX56	ENST00000390452
A0A1B0GX68	ENST00000455382
A0A1B0GX78	ENST00000621184
A0A1B0GX95	ENST00000390369
A0A1B0GXF2	ENST00000631392
A0A1W2PP97	ENST00000639767
A0A1W2PPG7	ENST00000640117
A0A1W2PR19	ENST00000621179
A0A1W2PR48	ENST00000561754
A0A1W2PS18	ENST00000640449
A0A286YEV6	ENST00000641801
A0A286YEX9	ENST00000641246
A0A286YEY9	ENST00000641359
A0A286YF01	ENST00000641700
A0A286YF46	ENST00000641976
A0A286YF60	ENST00000642029
A0A286YF77	ENST00000641918
A0A286YFB4	ENST00000641394
A0A286YFG1	ENST00000641981
A0A286YFK9	ENST00000641568
A0A2R8Y4Y8	ENST00000642343
A0A2R8YCJ5	ENST00000546390
A0A2R8YFL7	ENST00000643613
A0A2R8YFM6	ENST00000646438
A0A576	ENST00000390387
A0A577	ENST00000390357
A0A578	ENST00000390381
A0A597	ENST00000390372
A0A599	ENST00000390375
A0A5A6	ENST00000611787
A0A5B0	ENST00000617639
A0A5B6	ENST00000390400
A0A5B7	ENST00000422143
A0AUZ9	ENST00000281772
A0AV02	ENST00000393469
A0AV96	ENST00000295971
A0AVF1	ENST00000343187
A0AVI2	ENST00000624922
A0AVI4	ENST00000303277
A0AVK6	ENST00000250024
A0AVT1	ENST00000322244
A0FGR8	ENST00000652148
A0FGR9	ENST00000389567
A0JD32	ENST00000390465
A0JD36	ENST00000390469
A0JD37	ENST00000535880
A0JLT2	ENST00000337672
A0JNW5	ENST00000279907
A0MZ66	ENST00000260777
A0PG75	ENST00000443512
A0PJE2	ENST00000218981
A0PJK1	ENST00000317977
A0PJW8	ENST00000309950
A0PJX0	ENST00000288861
A0PJX2	ENST00000217320
A0PJX4	ENST00000319234
A0PJX8	ENST00000375782
A0PJY2	ENST00000427185
A0PJZ3	ENST00000389617
A0PK00	ENST00000342607
A0PK05	ENST00000389583
A0PK11	ENST00000511148
A1A4F0	ENST00000312275
A1A4G5	ENST00000383693
A1A4S6	ENST00000336498
A1A4V9	ENST00000543610
A1A4Y4	ENST00000522154
A1A519	ENST00000335286
A1A580	ENST00000334160
A1A5B4	ENST00000332826
A1A5C7	ENST00000380298
A1A5D9	ENST00000389347
A1E959	ENST00000396094
A1IGU5	ENST00000333677
A1KXE4	ENST00000389915
A1KZ92	ENST00000356297
A1L020	ENST00000532414
A1L0T0	ENST00000263383
A1L157	ENST00000261177
A1L162	ENST00000409885
A1L167	ENST00000399816
A1L168	ENST00000400633
A1L170	ENST00000426197
A1L188	ENST00000431388
A1L190	ENST00000402753
A1L1A6	ENST00000402988
A1L390	ENST00000247226
A1L3X0	ENST00000425382
A1L429	ENST00000381698
A1L443	ENST00000253262
A1L453	ENST00000366757
A1L4H1	ENST00000389623
A1L4K1	ENST00000334574
A1L4L8	ENST00000311450
A1X283	ENST00000311601
A1XBS5	ENST00000423990
A1YPR0	ENST00000535628
A1Z1Q3	ENST00000217246
A2A288	ENST00000409806
A2A2V5	ENST00000315190
A2A2Y4	ENST00000304195
A2A2Z9	ENST00000290943
A2A368	ENST00000399985
A2A3K4	ENST00000288976
A2A3L6	ENST00000368236
A2AJT9	ENST00000379682
A2CJ06	ENST00000452335
A2IDD5	ENST00000293889
A2PYH4	ENST00000370425
A2RRD8	ENST00000595635
A2RRH5	ENST00000423258
A2RRL7	ENST00000397602
A2RRP1	ENST00000281513
A2RTX5	ENST00000335968
A2RTY3	ENST00000603852
A2RU14	ENST00000279968
A2RU30	ENST00000316577
A2RU48	ENST00000316048
A2RU49	ENST00000388988
A2RU54	ENST00000339992
A2RU67	ENST00000197268
A2RUB1	ENST00000409122
A2RUB6	ENST00000326595
A2RUC4	ENST00000354611
A2RUH7	ENST00000357155
A2RUR9	ENST00000360524
A2RUS2	ENST00000262585
A2RUT3	ENST00000330862
A2RUU4	ENST00000373861
A2VCK2	ENST00000409358
A2VDF0	ENST00000278025
A2VDJ0	ENST00000409663
A2VEC9	ENST00000378016
A3KFT3	ENST00000366476
A3KMH1	ENST00000281496
A3KN83	ENST00000267176
A3QJZ7	ENST00000436041
A4D0S4	ENST00000205386
A4D0T7	ENST00000397764
A4D0V7	ENST00000310396
A4D0Y5	ENST00000616258
A4D126	ENST00000399310
A4D161	ENST00000344962
A4D1B5	ENST00000257626
A4D1E1	ENST00000333190
A4D1E9	ENST00000222511
A4D1F6	ENST00000343318
A4D1P6	ENST00000354475
A4D1S0	ENST00000340940
A4D1S5	ENST00000356407
A4D1T9	ENST00000350549
A4D1U4	ENST00000536163
A4D1Z8	ENST00000614228
A4D256	ENST00000650262
A4D263	ENST00000297001
A4D2B0	ENST00000398075
A4D2G3	ENST00000408898
A4D2H0	ENST00000420911
A4D2P6	ENST00000457091
A4FU01	ENST00000369140
A4FU28	ENST00000314099
A4FU49	ENST00000453908
A4FU69	ENST00000394835
A4GXA9	ENST00000568449
A4IF30	ENST00000339762
A4QMS7	ENST00000399810
A4QPB2	ENST00000402859
A4UGR9	ENST00000409043
A5A3E0	ENST00000409914
A5D6W6	ENST00000267426
A5D8T8	ENST00000288040
A5D8V6	ENST00000301765
A5D8V7	ENST00000356392
A5D8W1	ENST00000389297
A5LHX3	ENST00000408907
A5PKW4	ENST00000020673
A5PL33	ENST00000319551
A5PLK6	ENST00000294854
A5PLL1	ENST00000338682
A5PLL7	ENST00000371650
A5PLN7	ENST00000227065
A5PLN9	ENST00000231526
A5X5Y0	ENST00000335304
A5YKK6	ENST00000317147
A5YM69	ENST00000378115
A5YM72	ENST00000307823
A6BM72	ENST00000288745
A6H8M9	ENST00000343366
A6H8Y1	ENST00000358731
A6H8Z2	ENST00000388950
A6NC05	ENST00000296662
A6NC42	ENST00000370370
A6NC51	ENST00000326652
A6NC57	ENST00000587848
A6NC86	ENST00000562255
A6NC98	ENST00000301897
A6NCC3	ENST00000509311
A6NCE7	ENST00000556529
A6NCF5	ENST00000344581
A6NCI4	ENST00000389398
A6NCI8	ENST00000409561
A6NCJ1	ENST00000329493
A6NCK2	ENST00000432468
A6NCL1	ENST00000442080
A6NCL2	ENST00000376608
A6NCL7	ENST00000296657
A6NCM1	ENST00000615129
A6NCN8	ENST00000637658
A6NCQ9	ENST00000344001
A6NCS4	ENST00000325017
A6NCS6	ENST00000373640
A6NCV1	ENST00000343870
A6NCW0	ENST00000530484
A6NCW7	ENST00000526929
A6ND01	ENST00000328458
A6ND36	ENST00000345041
A6ND48	ENST00000342623
A6ND91	ENST00000376916
A6NDA9	ENST00000372113
A6NDB9	ENST00000340790
A6NDD5	ENST00000331628
A6NDE4	ENST00000383020
A6NDE8	ENST00000381722
A6NDG6	ENST00000333503
A6NDH6	ENST00000641450
A6NDI0	ENST00000332682
A6NDK9	ENST00000300576
A6NDL8	ENST00000548615
A6NDN3	ENST00000421285
A6NDP7	ENST00000409745
A6NDS4	ENST00000611257
A6NDU8	ENST00000381647
A6NDV4	ENST00000377988
A6NDY0	ENST00000411789
A6NDZ8	ENST00000381394
A6NE01	ENST00000327337
A6NE02	ENST00000375366
A6NE52	ENST00000323662
A6NE82	ENST00000333843
A6NED2	ENST00000394258
A6NEE1	ENST00000322564
A6NEF3	ENST00000510439
A6NEH6	ENST00000434431
A6NEK1	ENST00000381781
A6NEL2	ENST00000334306
A6NEM1	ENST00000618348
A6NEN9	ENST00000374251
A6NEQ0	ENST00000382659
A6NEQ2	ENST00000329203
A6NER0	ENST00000614193
A6NER3	ENST00000442437
A6NES4	ENST00000389758
A6NET4	ENST00000383695
A6NEV1	ENST00000383163
A6NF34	ENST00000620264
A6NF36	ENST00000299415
A6NF83	ENST00000329309
A6NF89	ENST00000358433
A6NFA0	ENST00000603640
A6NFA1	ENST00000606738
A6NFC5	ENST00000374946
A6NFD8	ENST00000505610
A6NFE2	ENST00000416383
A6NFE3	ENST00000480514
A6NFH5	ENST00000360464
A6NFI3	ENST00000382252
A6NFK2	ENST00000377976
A6NFN3	ENST00000580155
A6NFN9	ENST00000446160
A6NFQ2	ENST00000357344
A6NFQ7	ENST00000376650
A6NFR6	ENST00000512899
A6NFT4	ENST00000335621
A6NFU0	ENST00000331733
A6NFU8	ENST00000378919
A6NFX1	ENST00000338315
A6NFY4	ENST00000409150
A6NFY7	ENST00000378887
A6NFZ4	ENST00000368894
A6NG13	ENST00000511113
A6NGA9	ENST00000341689
A6NGB0	ENST00000621561
A6NGB7	ENST00000341130
A6NGB9	ENST00000242140
A6NGC4	ENST00000330676
A6NGD5	ENST00000376267
A6NGE4	ENST00000441525
A6NGE7	ENST00000332715
A6NGG3	ENST00000380683
A6NGG8	ENST00000331664
A6NGH7	ENST00000370809
A6NGH8	ENST00000409061
A6NGJ6	ENST00000533122
A6NGK3	ENST00000407599
A6NGN4	ENST00000613059
A6NGN9	ENST00000270642
A6NGQ2	ENST00000370359
A6NGR9	ENST00000398882
A6NGS2	ENST00000378187
A6NGY1	ENST00000308062
A6NGY3	ENST00000409999
A6NGY5	ENST00000380383
A6NGZ8	ENST00000369529
A6NH00	ENST00000319968
A6NH11	ENST00000331264
A6NH21	ENST00000319327
A6NH52	ENST00000299866
A6NH57	ENST00000269586
A6NHA9	ENST00000328188
A6NHC0	ENST00000366872
A6NHG4	ENST00000215770
A6NHG9	ENST00000437310
A6NHJ4	ENST00000360311
A6NHL2	ENST00000380419
A6NHN0	ENST00000327928
A6NHN6	ENST00000429990
A6NHP3	ENST00000436228
A6NHQ2	ENST00000338333
A6NHQ4	ENST00000621654
A6NHR9	ENST00000320876
A6NHS7	ENST00000381273
A6NHT5	ENST00000357878
A6NHX0	ENST00000616305
A6NHY2	ENST00000601380
A6NHZ5	ENST00000328278
A6NI03	ENST00000329862
A6NI15	ENST00000281047
A6NI28	ENST00000298815
A6NI47	ENST00000547889
A6NI56	ENST00000389176
A6NI61	ENST00000339996
A6NI73	ENST00000432233
A6NI79	ENST00000355417
A6NI86	ENST00000610657
A6NI87	ENST00000376974
A6NIH7	ENST00000344651
A6NIJ9	ENST00000327335
A6NIK2	ENST00000378075
A6NIM6	ENST00000344941
A6NIN4	ENST00000324348
A6NIR3	ENST00000374094
A6NIV6	ENST00000340806
A6NIX2	ENST00000590071
A6NIY4	ENST00000455862
A6NJ08	ENST00000329753
A6NJ46	ENST00000518699
A6NJ69	ENST00000333305
A6NJ78	ENST00000303459
A6NJB7	ENST00000341747
A6NJG2	ENST00000343905
A6NJG6	ENST00000334384
A6NJI1	ENST00000308963
A6NJI9	ENST00000401542
A6NJJ6	ENST00000548523
A6NJL1	ENST00000358992
A6NJT0	ENST00000316333
A6NJU9	ENST00000520915
A6NJV1	ENST00000329615
A6NJW4	ENST00000377924
A6NJZ3	ENST00000379665
A6NJZ7	ENST00000433039
A6NK02	ENST00000503032
A6NK06	ENST00000377462
A6NK44	ENST00000303227
A6NK53	ENST00000391958
A6NK58	ENST00000310109
A6NK59	ENST00000389601
A6NK75	ENST00000357774
A6NK89	ENST00000529419
A6NKB5	ENST00000258229
A6NKC9	ENST00000328828
A6NKD2	ENST00000320701
A6NKD9	ENST00000380243
A6NKF1	ENST00000614106
A6NKF2	ENST00000378909
A6NKF7	ENST00000378821
A6NKG5	ENST00000534062
A6NKK0	ENST00000354565
A6NKL6	ENST00000383490
A6NKN8	ENST00000504449
A6NKP2	ENST00000602312
A6NKQ9	ENST00000301407
A6NKT7	ENST00000409886
A6NKU9	ENST00000332397
A6NKW6	ENST00000389074
A6NKX4	ENST00000562855
A6NL08	ENST00000343399
A6NL26	ENST00000360374
A6NL82	ENST00000335282
A6NL88	ENST00000376325
A6NLC5	ENST00000335012
A6NLE4	ENST00000523047
A6NLF2	ENST00000620881
A6NLI5	ENST00000617704
A6NLJ0	ENST00000380392
A6NLP5	ENST00000302783
A6NLU0	ENST00000434937
A6NLU5	ENST00000335523
A6NLW8	ENST00000554048
A6NLX3	ENST00000328794
A6NLX4	ENST00000413619
A6NM03	ENST00000338569
A6NM10	ENST00000407834
A6NM11	ENST00000333412
A6NM28	ENST00000338647
A6NM36	ENST00000383467
A6NM45	ENST00000541814
A6NM62	ENST00000294635
A6NM76	ENST00000328314
A6NMA1	ENST00000371970
A6NMB9	ENST00000564840
A6NMD0	ENST00000340134
A6NMD2	ENST00000567927
A6NMK7	ENST00000344935
A6NMK8	ENST00000377365
A6NML5	ENST00000334567
A6NMN3	ENST00000311787
A6NMS3	ENST00000354924
A6NMS7	ENST00000320254
A6NMT0	ENST00000524983
A6NMX2	ENST00000318682
A6NMZ2	ENST00000343837
A6NMZ7	ENST00000358511
A6NN14	ENST00000601693
A6NN90	ENST00000612891
A6NN92	ENST00000450456
A6NNA2	ENST00000326382
A6NNA5	ENST00000374139
A6NNB3	ENST00000382614
A6NND4	ENST00000305159
A6NNE9	ENST00000332432
A6NNF4	ENST00000531821
A6NNL0	ENST00000429828
A6NNL5	ENST00000342683
A6NNM3	ENST00000620804
A6NNM8	ENST00000438251
A6NNN8	ENST00000299709
A6NNP5	ENST00000239859
A6NNS2	ENST00000330255
A6NNT2	ENST00000444310
A6NNV3	ENST00000633306
A6NNW6	ENST00000341276
A6NNX1	ENST00000479191
A6NNY8	ENST00000621775
A6NP11	ENST00000420713
A6NP61	ENST00000345108
A6PVC2	ENST00000266182
A6PVI3	ENST00000509000
A6PVL3	ENST00000396314
A6PVS8	ENST00000354431
A6PVY3	ENST00000360827
A6QL63	ENST00000280758
A6QL64	ENST00000420699
A6XGL0	ENST00000436027
A6ZKI3	ENST00000257013
A7E2F4	ENST00000359187
A7E2S9	ENST00000295181
A7E2U8	ENST00000378850
A7E2V4	ENST00000398706
A7E2Y1	ENST00000262873
A7KAX9	ENST00000310343
A7MBM2	ENST00000267889
A7MCY6	ENST00000361722
A7MD48	ENST00000267260
A7XYQ1	ENST00000317357
A8CG34	ENST00000607367
A8K0R7	ENST00000442396
A8K0Z3	ENST00000442898
A8K2U0	ENST00000299698
A8K4G0	ENST00000392621
A8K5M9	ENST00000344320
A8K7I4	ENST00000234701
A8K830	ENST00000398035
A8K855	ENST00000371088
A8K8P3	ENST00000400288
A8K8V0	ENST00000395216
A8K979	ENST00000300005
A8MPS7	ENST00000292778
A8MPX8	ENST00000333083
A8MPY1	ENST00000472788
A8MQ03	ENST00000650725
A8MQ14	ENST00000591344
A8MQ27	ENST00000369800
A8MQB3	ENST00000391411
A8MQT2	ENST00000342314
A8MRT5	ENST00000424340
A8MSI8	ENST00000379102
A8MT33	ENST00000378644
A8MT65	ENST00000537226
A8MT69	ENST00000306704
A8MT70	ENST00000307529
A8MTA8	ENST00000399742
A8MTB9	ENST00000396477
A8MTJ3	ENST00000398291
A8MTJ6	ENST00000428390
A8MTL0	ENST00000446461
A8MTL3	ENST00000399910
A8MTL9	ENST00000408945
A8MTQ0	ENST00000398468
A8MTT3	ENST00000392061
A8MTY0	ENST00000418100
A8MTY7	ENST00000391354
A8MTZ0	ENST00000423273
A8MTZ7	ENST00000429849
A8MU46	ENST00000527972
A8MU93	ENST00000542475
A8MUK1	ENST00000507227
A8MUM7	ENST00000392051
A8MUP2	ENST00000532971
A8MUP6	ENST00000399363
A8MUV8	ENST00000456806
A8MUX0	ENST00000391352
A8MUZ8	ENST00000400156
A8MV23	ENST00000400389
A8MV24	ENST00000614158
A8MV65	ENST00000383698
A8MV81	ENST00000398455
A8MVA2	ENST00000391355
A8MVS5	ENST00000397820
A8MVW0	ENST00000293443
A8MVW5	ENST00000341723
A8MVX0	ENST00000398800
A8MW92	ENST00000337920
A8MW95	ENST00000419583
A8MW99	ENST00000602452
A8MWA4	ENST00000525199
A8MWE9	ENST00000618684
A8MWV9	ENST00000450895
A8MWY0	ENST00000416314
A8MX34	ENST00000391353
A8MX76	ENST00000403897
A8MXD5	ENST00000399770
A8MXK1	ENST00000409977
A8MXT2	ENST00000400003
A8MXV4	ENST00000397061
A8MXV6	ENST00000399044
A8MXY4	ENST00000596209
A8MXZ3	ENST00000398470
A8MY62	ENST00000618559
A8MYA2	ENST00000535490
A8MYJ7	ENST00000611612
A8MYP8	ENST00000329363
A8MYU2	ENST00000399881
A8MYV0	ENST00000399143
A8MYZ0	ENST00000465419
A8MYZ5	ENST00000398780
A8MYZ6	ENST00000641094
A8MZ26	ENST00000398186
A8MZ36	ENST00000399134
A8MZ59	ENST00000396841
A8MZ97	ENST00000432605
A8MZA4	ENST00000619213
A8MZG2	ENST00000437192
A8TX70	ENST00000312481
A9QM74	ENST00000327442
A9UHW6	ENST00000245551
A9YTQ3	ENST00000316418
B0FP48	ENST00000340457
B0I1T2	ENST00000258787
B0YJ81	ENST00000361271
B1AH88	ENST00000396265
B1AJZ9	ENST00000358897
B1AK53	ENST00000377828
B1AKI9	ENST00000262487
B1AL46	ENST00000429984
B1AL88	ENST00000375915
B1ANS9	ENST00000366552
B1APH4	ENST00000651159
B1ATL7	ENST00000371125
B2CW77	ENST00000445946
B2RC85	ENST00000297186
B2RD01	ENST00000314994
B2RN74	ENST00000550708
B2RNN3	ENST00000382137
B2RTY4	ENST00000356056
B2RU33	ENST00000358970
B2RUY7	ENST00000312504
B2RUZ4	ENST00000444870
B2RV13	ENST00000449302
B2RXF0	ENST00000455783
B2RXH2	ENST00000450979
B2RXH4	ENST00000422652
B2RXH8	ENST00000621994
B3EWG3	ENST00000343959
B3EWG5	ENST00000617224
B3EWG6	ENST00000452267
B3GLJ2	ENST00000445202
B3KS81	ENST00000417606
B3SHH9	ENST00000620492
B4DJY2	ENST00000426426
B4DS77	ENST00000423335
B4DU55	ENST00000444149
B4DX44	ENST00000355095
B4DXR9	ENST00000419098
B4E2M5	ENST00000565422
B5MCN3	ENST00000402034
B5MCY1	ENST00000405799
B5MD39	ENST00000619998
B5ME19	ENST00000380876
B6A8C7	ENST00000432826
B6SEH8	ENST00000602168
B6SEH9	ENST00000601417
B7U540	ENST00000567955
B7Z1M9	ENST00000454109
B7Z368	ENST00000619243
B7Z6K7	ENST00000435989
B7ZAP0	ENST00000367688
B7ZAQ6	ENST00000313835
B7ZBB8	ENST00000405617
B8ZZ34	ENST00000621082
B9A014	ENST00000410005
B9A064	ENST00000526893
B9A6J9	ENST00000612727
B9EJG8	ENST00000449862
B9ZVM9	ENST00000366832
C9J069	ENST00000436881
C9J1S8	ENST00000420869
C9J202	ENST00000425059
C9J2P7	ENST00000456464
C9J302	ENST00000438731
C9J3I9	ENST00000593851
C9J3V5	ENST00000451127
C9J442	ENST00000402966
