oln	evolutionary_rate
b1529	0.0814
b0031	0.0989
b0036	0.0651
b1976	0.1925
b0034	0.2366
b0035	0.1531
b1971	0.1198
b0928	0.0404
b1972	0.1608
b0924	0.0532
b0926	0.0495
b1797	0.1681
b0920	0.1085
b0921	0.1379
b0922	0.0182
b0923	0.0085
b0328	0.1333
b0329	0.2747
b4461	0.0387
b4469	0.0484
b3279	0.1250
b3894	0.0601
b4383	0.0639
b3320	0.0191
b1777	0.1222
b4209	0.1091
b3569	0.0765
b3565	0.0750
b3561	0.1843
b3560	0.0066
b4506	0.1087
b3941	0.0405
b3161	0.0507
b3160	0.0478
b3163	0.0340
b3162	0.0238
b3165	0.0225
b3164	0.0295
b3167	0.0226
b3166	0.0605
b3169	0.0525
b3168	0.0326
b0687	0.1167
b1779	0.0121
b3309	0.0000
b3308	0.0112
b3301	0.0069
b3300	0.0023
b3303	0.0000
b3302	0.0339
b3305	0.0113
b3304	0.0085
b3307	0.0198
b3306	0.0000
b2364	0.0912
b2365	0.0652
b2366	0.1045
b2837	0.0877
b3769	0.0698
b3765	0.1443
b3764	0.0446
b3415	0.0251
b3414	0.0157
b3945	0.0845
b3416	0.1460
b2149	0.0435
b2418	0.3298
b2419	0.1667
b2144	0.0628
b2145	0.4051
b2414	0.0279
b2147	0.0633
b2140	0.1026
b2141	0.0833
b2142	0.0952
b2143	0.1259
b3785	0.0948
b3781	0.0000
b3780	0.0309
b3783	0.0048
b2966	0.1574
b2964	0.0933
b2965	0.1294
b2962	0.0549
b2963	0.0864
b2960	0.0628
b2961	0.0943
b2093	0.2234
b2091	0.3179
b2096	0.3486
b2097	0.0400
b2094	0.3933
b2095	0.2714
b2098	0.0473
b2099	0.1617
b2562	0.0581
b2563	0.0556
b2560	0.0853
b2561	0.1667
b2566	0.0299
b2567	0.0265
b2564	0.0617
b2565	0.0661
b4186	0.1059
b2568	0.0648
b2569	0.0301
b4187	0.1444
b1482	0.0769
b1068	0.1824
b1069	0.0587
b1066	0.0464
b1067	0.1395
b1064	0.1395
b1065	0.0771
b1062	0.1149
b1063	0.1183
b1060	0.0595
b1061	0.1481
b1992	0.1781
b1993	0.1768
b1991	0.2141
b4188	0.1978
b2898	0.1442
b2899	0.0868
b2892	0.0832
b2893	0.1610
b2890	0.0495
b2894	0.0470
b2895	0.0578
b2788	0.0493
b2786	0.0969
b2787	0.0291
b2784	0.0403
b2785	0.1578
b2780	0.0495
b2781	0.0684
b4322	0.0812
b0425	0.1254
b1208	0.0989
b1209	0.0821
b4324	0.1051
b0356	0.1924
b1492	0.7457
b1203	0.0496
b4328	0.1897
b4329	0.0392
b1207	0.0063
b1204	0.0825
b1205	0.0870
b0426	0.0982
b3725	0.0156
b3981	0.0394
b1192	0.2007
b1193	0.0985
b1190	0.1433
b1191	0.0745
b1197	0.1936
b1194	0.2746
b1195	0.0952
b0821	0.1496
b0820	0.0302
b0822	0.1115
b0827	0.1241
b0826	0.1124
b0829	0.1589
b0828	0.1182
b0422	0.1000
b1848	0.2083
b1849	0.1224
b1844	0.0955
b1845	0.1083
b1846	0.1416
b1847	0.2308
b1840	0.3517
b1841	0.2581
b1842	0.1184
b1843	0.3440
b1334	0.0080
b1335	0.1170
b1332	0.1190
b1333	0.0413
b1446	0.1429
b1447	0.1342
b0133	0.1201
b1449	0.1449
b0131	0.0397
b0130	0.1809
b0134	0.0760
b1687	0.1110
b1684	0.1557
b1685	0.0968
b1682	0.0766
b1683	0.0384
b1680	0.1281
b1681	0.2128
b4256	0.1916
b4257	0.5696
b4254	0.1048
b4255	0.0797
b4156	0.1260
b1688	0.1081
b0629	0.3123
b0628	0.0280
b0627	0.1343
b4151	0.0756
b0623	0.0145
b0622	0.2473
b0621	0.0738
b4006	0.0510
b0007	0.2374
b0006	0.1362
b0004	0.0654
b0003	0.0680
b0002	0.0549
b4004	0.1134
b0009	0.0923
b0008	0.0536
b4078	0.1135
b4079	0.0252
b1538	0.2132
b1539	0.1210
b1534	0.2329
b1536	0.2077
b1537	0.3895
b1530	0.0764
b1531	0.0551
b1533	0.1706
b0198	0.0691
b0959	0.2488
b0958	0.2189
b0489	0.0557
b0488	0.1600
b0951	0.1081
b0482	0.3371
b0481	0.0943
b0480	0.1255
b0487	0.0889
b0954	0.0116
b0957	0.0607
b0484	0.0696
b4152	0.1069
b4476	0.0247
b4475	0.3225
b4472	0.1874
b4473	0.2727
b4470	0.1628
b4471	0.1322
b4478	0.0759
b4479	0.0524
b3266	0.1141
b3267	0.0137
b0451	0.0771
b0452	0.0804
b0453	0.1111
b0454	0.1705
b3579	0.1250
b3574	0.1015
b3575	0.1054
b3572	0.0769
b3573	0.2803
b3570	0.0985
b3571	0.1837
b3740	0.1353
b3172	0.0380
b3170	0.0500
b3176	0.0404
b3177	0.0816
b3175	0.0273
b3178	0.0233
b3179	0.0000
b2617	0.0804
b3318	0.0100
b3319	0.0000
b3312	0.0159
b3313	0.0147
b3310	0.0163
b3311	0.0119
b3316	0.0109
b3317	0.0073
b3314	0.0000
b3315	0.0000
b2311	0.0899
b2310	0.0885
b2313	0.0432
b2312	0.0376
b2315	0.1303
b2314	0.1330
b2317	0.0320
b2316	0.0197
b2319	0.1098
b2318	0.0370
b3778	0.0342
b3779	0.1075
b1047	0.1797
b3770	0.0227
b3771	0.0406
b3772	0.0447
b3773	0.0169
b3774	0.0143
b3775	0.0645
b3406	0.0573
b3407	0.0557
b2429	0.5964
b2428	0.4545
b3402	0.4313
b3403	0.0613
b3400	0.0451
b3401	0.0719
b2131	0.1180
b2130	0.2442
b2133	0.0876
b2132	0.0706
b2135	0.0821
b2134	0.0613
b2137	0.2055
b2136	0.2063
b2959	0.0463
b2958	0.1255
b3792	0.1058
b3793	0.0578
b2953	0.1146
b2952	0.0957
b2951	0.1111
b2957	0.0718
b2956	0.3552
b2955	0.0741
b2954	0.0812
b1827	0.0380
b2559	0.1198
b2558	0.1381
b2557	0.0625
b2556	0.1305
b2555	0.3419
b2554	0.0495
b2553	0.0000
b2552	0.0909
b2551	0.0671
b2045	0.3216
b2044	0.1453
b1059	0.1536
b2046	0.1423
b2041	0.1163
b2040	0.1505
b2043	0.2229
b1254	0.0670
b1053	0.0990
b1051	0.0726
b1050	0.1200
b1057	0.2287
b1056	0.0890
b1055	0.1114
b1054	0.1634
b1704	0.0920
b1703	0.0289
b1253	0.0909
b3605	0.0581
b3540	0.0479
b3715	0.1855
b1252	0.1261
b2423	0.0241
b4208	0.0448
b4318	0.5906
b4315	0.6914
b3603	0.0563
b4312	0.4011
b0653	0.0491
b0650	0.1691
b0651	0.0740
b2422	0.0575
b0832	0.0858
b0830	0.1152
b0831	0.0948
b0836	0.2362
b0835	0.0249
b0838	0.1731
b0839	0.0775
b1839	0.1786
b1838	0.3657
b4396	0.0727
b1831	0.0614
b1830	0.0645
b1833	0.1429
b1832	0.1576
b1835	0.1461
b1834	0.0946
b1837	0.1270
b1836	0.1154
b1303	0.1323
b1307	0.1250
b1306	0.1597
b1305	0.1081
b1304	0.0856
b1308	0.3365
b3417	0.0891
b3944	0.3366
b4262	0.0278
b4261	0.0492
b4260	0.0199
b4267	0.1720
b4266	0.0787
b4265	0.0547
b3410	0.1026
b3711	0.1567
b3413	0.1454
b2806	0.0574
b0638	0.2723
b0639	0.1455
b1947	0.3223
b1946	0.1022
b1233	0.2039
b1940	0.1535
b1943	0.4771
b1942	0.1156
b0631	0.0230
b0632	0.0496
b0633	0.1547
b0634	0.0189
b0635	0.0395
b0636	0.0129
b1238	0.0780
b0546	0.6602
b0011	0.1266
b4045	0.0435
b0545	0.3966
b0014	0.0313
b0015	0.0399
b4041	0.0509
b4040	0.0621
b0019	0.0773
b4049	0.0723
b2413	0.1028
b2410	0.0934
b1541	0.2090
b1542	0.1893
b0494	0.1078
b0495	0.0746
b0496	0.1182
b0492	0.0528
b0493	0.0938
b0124	0.0729
b0125	0.0393
b0126	0.1000
b0127	0.0487
b0120	0.0341
b0121	0.0524
b0122	0.0435
b0123	0.1531
b0942	0.5966
b0940	0.4733
b0946	0.1000
b0947	0.1409
b0944	0.5957
b0945	0.0536
b3984	0.0171
b4348	0.5791
b2424	0.0433
b3865	0.0476
b3745	0.1139
b1220	0.2412
b4349	0.0567
b0723	0.0204
b0720	0.0375
b3788	0.1127
b0721	0.0775
b0726	0.0525
b1225	0.0705
b0724	0.0336
b1383	0.2991
b0899	0.0761
b0728	0.0155
b0729	0.0484
b3099	0.1212
b3098	0.0990
b3549	0.1497
b3548	0.2672
b3543	0.0236
b3542	0.0600
b3093	0.5291
b3092	0.3269
b3095	0.0455
b0882	0.0277
b3097	0.1557
b3096	0.3228
b4055	0.1097
b3149	0.0204
b3148	0.1679
b3147	0.1950
b3146	0.0315
b3953	0.1770
b1663	0.0744
b4058	0.0213
b3949	0.0669
b3467	0.1765
b2302	0.1953
b4119	0.0576
b2300	0.1530
b2301	0.1916
b2306	0.0545
b2307	0.0851
b2304	0.1380
b2305	0.3041
b2308	0.0877
b2309	0.0192
b2944	0.1030
b2945	0.1277
b2128	0.1481
b2129	0.1266
b3437	0.0400
b2942	0.0260
b2943	0.0259
b2123	0.2697
b3439	0.0606
b3438	0.0272
b2126	0.0820
b2127	0.1481
b2124	0.0968
b2125	0.0544
b4112	0.1433
b3891	0.0615
b3893	0.0667
b3892	0.0379
b3895	0.1661
b4117	0.0702
b3321	0.0194
b2239	0.1042
b2236	0.0357
b2234	0.0342
b2235	0.0160
b2232	0.0750
b2231	0.0846
b3958	0.0898
b3888	0.0669
b2055	0.2823
b3430	0.0766
b3654	0.0497
b3959	0.0581
b2435	0.0761
b2436	0.0936
b2437	0.0829
b2430	0.2708
b2431	0.0569
b2432	0.1990
b2433	0.2617
b2438	0.1951
b2439	0.0594
b4154	0.0436
b3820	0.0323
b3750	0.0374
b4300	0.1192
b4301	0.3429
b4302	0.2867
b4303	0.0709
b4304	0.0503
b4305	0.1532
b4411	0.0417
b4219	0.1085
b3652	0.0563
b3822	0.0542
b3821	0.0796
b3751	0.0270
b0809	0.0417
b0808	0.1394
b0807	0.1591
b0803	0.1932
b0802	0.1977
b2416	0.0278
b0800	0.1469
b1044	0.5784
b1045	0.2373
b1828	0.0985
b1829	0.0375
b1040	0.0787
b1041	0.1788
b1042	0.2517
b1043	0.2685
b1822	0.2007
b1823	0.0000
b1820	0.1184
b1048	0.0626
b1049	0.0602
b1824	0.0638
b1825	0.2632
b0797	0.0737
b0796	0.1480
b0795	0.1208
b0794	0.0865
b0793	0.0638
b0792	0.0462
b0791	0.1544
b0790	0.1310
b2417	0.0178
b4279	0.4346
b0799	0.0798
b2825	0.3262
b3823	0.0922
b1956	0.3440
b1221	0.0370
b1222	0.1388
b1955	0.2509
b1953	0.0800
b1950	0.1149
b1951	0.1208
b1958	0.1452
b1959	0.1209
b4050	0.1750
b4051	0.0979
b4052	0.0743
b4053	0.0864
b4054	0.1184
b0576	0.0611
b4056	0.2101
b4057	0.0847
b2415	0.0000
b4059	0.0698
b0579	0.2541
b0578	0.1152
b4268	0.1591
b1559	0.6305
b3755	0.1391
b0976	0.2879
b0975	0.1385
b0974	0.1872
b0970	0.0502
b0151	0.0792
b0150	0.2299
b0153	0.1015
b0152	0.1723
b0155	0.2178
b0154	0.0258
b0157	0.0386
b0156	0.0088
b0159	0.0388
b0158	0.1880
b3826	0.1015
b4064	0.0223
b0379	0.1373
b0378	0.1484
b3827	0.0836
b0377	0.0764
b0376	0.0824
b4025	0.0474
b4024	0.0690
b4027	0.1415
b3828	0.0852
b4021	0.1092
b4020	0.0663
b2411	0.0715
b1679	0.1232
b4323	0.2078
b4022	0.0900
b0207	0.0749
b3829	0.0611
b0200	0.0532
b0209	0.0309
b0208	0.0987
b2610	0.0177
b3637	0.0385
b3088	0.1121
b3089	0.0652
b3082	0.5870
b3083	0.6019
b3081	0.1429
b3086	0.2652
b3087	0.1707
b3084	0.0926
b3085	0.1333
b3946	0.1045
b3158	0.0302
b3159	0.0788
b3150	0.0733
b3152	0.1232
b3154	0.1633
b3155	0.1900
b3156	0.0359
b3106	0.1588
b2823	0.3019
b2527	0.0877
b2614	0.0765
b2335	0.5732
b2334	0.5190
b2333	0.5805
b2332	0.6059
b2331	0.0601
b2330	0.0516
b3554	0.1102
b3555	0.2083
b3556	0.0000
b3550	0.4041
b3551	0.1429
b3552	0.0457
b2916	0.0269
b3440	0.0783
b2687	0.0585
b1291	0.0333
b2685	0.1026
b2684	0.0739
b3428	0.0699
b3429	0.0566
b2937	0.0196
b3424	0.1123
b2913	0.0390
b3426	0.0938
b1293	0.0810
b2689	0.0851
b2688	0.0637
b1292	0.0541
b3942	0.0826
b3896	0.3027
b2910	0.0367
b2616	0.0850
b1294	0.0951
b3883	0.1477
b2209	0.1975
b2208	0.2393
b3886	0.0690
b3887	0.0828
b3336	0.1203
b3337	0.1250
b2203	0.0805
b2202	0.1150
b2201	0.2157
b2200	0.1507
b2207	0.1839
b2206	0.0592
b2205	0.0563
b2204	0.1324
b2063	0.0932
b2066	0.0423
b2065	0.0415
b2064	0.2366
b4076	0.3030
b2069	0.1156
b2068	0.2589
b2593	0.1235
b2592	0.0315
b2597	0.0714
b2848	0.6104
b2595	0.0367
b2594	0.0675
b2520	0.1800
b2844	0.0867
b2599	0.0933
b2846	0.6341
b2841	0.0297
b2840	0.2000
b2843	0.1439
b2842	0.0672
b2441	0.0199
b2440	0.0814
b2114	0.0473
b2113	0.0379
b2112	0.5376
b2521	0.1964
b3354	0.1471
b1660	0.1446
b1661	0.0969
b3995	0.0886
b1662	0.1174
b1817	0.0404
b1816	0.0890
b1814	0.0551
b1813	0.1250
b1812	0.2362
b1811	0.1017
b1810	0.3434
b0810	0.0365
b0811	0.0323
b0812	0.0479
b0813	0.1051
b0814	0.0877
b0815	0.1559
b1819	0.0742
b0817	0.0903
b1033	0.2212
b1035	0.1359
b1034	0.1061
b1037	0.0397
b1036	0.1019
b1039	0.0853
b1038	0.1014
b1667	0.3663
b0780	0.0828
b0781	0.0760
b0782	0.0412
b0783	0.0559
b0784	0.1358
b0785	0.0867
b0786	0.1282
b4206	0.1374
b0788	0.1038
b1360	0.4435
b3836	0.1071
b3741	0.0238
b1330	0.2478
b3216	0.6003
b3743	0.0263
b1962	0.2727
b1961	0.1571
b1960	0.1346
b1787	0.1198
b1786	0.3185
b1969	0.2556
b1968	0.4568
b1783	0.0140
b1782	0.1573
b1781	0.2254
b1780	0.1735
b1564	0.5316
b1563	0.3298
b3747	0.0322
b1560	0.4225
b0565	0.5178
b3210	0.0630
b0560	0.4329
b3744	0.0576
b1765	0.1148
b1764	0.0720
b1767	0.0533
b1766	0.1392
b1761	0.0716
b1760	0.2667
b1763	0.0555
b2611	0.0570
b4511	0.3333
b1768	0.1972
b4512	0.0923
b0960	0.1187
b0961	0.0743
b0962	0.1608
b0963	0.0526
b0964	0.1545
b0965	0.0803
b0108	0.1034
b0967	0.0758
b0968	0.2174
b0969	0.0917
b3833	0.0398
b2615	0.0377
b0142	0.1698
b0143	0.0925
b4193	0.0172
b4192	0.0282
b0146	0.1709
b0147	0.2330
b0144	0.2110
b0145	0.0132
b4198	0.0789
b0148	0.1508
b1640	0.1518
b4392	0.0961
b4258	0.0389
b3832	0.1305
b4259	0.0476
b3993	0.1043
b0369	0.0617
b1641	0.0516
b3831	0.0277
b3749	0.0319
b4399	0.1962
b4398	0.1616
b3830	0.0963
b3748	0.1223
b0214	0.0710
b0215	0.0658
b0212	0.2151
b0213	0.1375
b0211	0.0796
b0219	0.1765
b4201	0.0096
b3845	0.0491
b3961	0.0426
b2989	0.0868
b3963	0.0333
b3848	0.0882
b3966	0.1270
b3183	0.0436
b3182	0.0608
b3181	0.0316
b3180	0.0412
b3187	0.0402
b3186	0.0097
b3185	0.0471
b3635	0.0558
b3634	0.0755
b3189	0.0286
b3188	0.1304
b3633	0.0329
b2328	0.1095
b2329	0.0443
b2320	0.1111
b2321	0.3891
b2322	0.1122
b1648	0.1646
b2324	0.1997
b2325	0.1429
b2327	0.0929
b3521	0.3445
b3520	0.2750
b3523	0.0591
b3522	0.1335
b3525	0.2078
b3524	0.0700
b3527	0.1354
b3526	0.0777
b3529	0.1582
b3528	0.0514
b2690	0.1223
b2923	0.0900
b3988	0.0142
b2926	0.0207
b2927	0.0590
b2696	0.0000
b2697	0.0457
b2698	0.1265
b2699	0.0283
b3453	0.0868
b3452	0.0644
b3455	0.0392
b3454	0.0380
b3457	0.0195
b3456	0.0518
b0556	0.3725
b3839	0.0969
b0551	0.5207
b2214	0.1971
b2215	0.1607
b2216	0.1507
b2217	0.0093
b2211	0.0914
b2212	0.2037
b2213	0.2578
b2218	0.1076
b3838	0.1345
b2078	0.1135
b2079	0.0333
b2074	0.1695
b2075	0.0837
b2076	0.0829
b2077	0.1426
b3857	0.2268
b3856	0.2412
b3850	0.1215
b2585	0.0621
b2586	0.2336
b2587	0.1134
b2580	0.0917
b2581	0.1246
b2582	0.0504
b2583	0.1195
b4173	0.0305
b4172	0.0588
b2530	0.0272
b3998	0.0673
b3999	0.0510
b2100	0.2305
b2101	0.0766
b2103	0.0940
b2104	0.2901
b2105	0.0667
b2106	0.1861
b2107	0.1442
b2109	0.2506
b2458	0.1124
b4176	0.1077
b4175	0.0419
b4174	0.0644
b3157	0.0862
b4070	0.1004
b3034	0.1244
b1804	0.1333
b1805	0.0624
b1806	0.0984
b1808	0.0487
b1809	0.0702
b4077	0.0619
b4212	0.1429
