#Table S3. Evolutionary rates based on five methods of heuristic counting and maximum-likelihood approaches
#Note: See online supplementary information for the details.
#1. NG: Nei, M. and Gojobori, T. (1986)
#2. LWL: Li, W.H., et al. (1985)
#3. LPB: Li, W.H. (1993) and Pamilo, P. and Bianchi, N.O. (1993)
#4. MLWL (Modified LWL): Tzeng, Y.H., et al. (2004)
#5. MLPB (Modified LPB): Tzeng, Y.H., et al. (2004)
#6. YN: Yang, Z. and Nielsen, R. (2000)
#7. MYN (Modified YN): Zhang, Z., et al. (2006)
gene	ecoli	salmonella	dN_NG	dS_NG	dNdS_NG	dN_LWL	dS_LWL	dNdS_LWL	dN_MLWL	dS_MLWL	dNdS_MLWL	dN_LPB	dS_LPB	dNdS_LPB	dN_MLPB	dS_MLPB	dNdS_MLPB	dN_YN	dS_YN	dNdS_YN	kappa_MYN	t_MYN	S_MYN	N_MYN	dNdS_MYN	dN_MYN	dS_MYN
yaaI	b0013	STM0011	0.112514	2.76746	0.040656	0.124035	1.60206	0.0774222	0.116098	1.5522	0.0747958	0.129435	1.35556	0.0954842	0.117194	1.48355	0.0789958	0.105375	1.93059	0.0545816	2.28299	1.8617	101.9	300.1	0.0495	0.1058	2.137
dnaK	b0014	STM0012	0.0167454	0.392454	0.0426684	0.0171292	0.412154	0.0415601	0.017232	0.358755	0.0480329	0.0169449	0.354699	0.0477726	0.0162997	0.356463	0.0457263	0.0163841	0.400395	0.0409199	1.65186	0.3352	509.9	1404.1	0.045	0.0168	0.3731
dnaJ	b0015	STM0013	0.0243196	0.957795	0.0253913	0.0240668	0.913108	0.026357	0.0258724	0.7283	0.0355244	0.0249576	0.727913	0.0342864	0.0247872	0.728307	0.034034	0.0214238	0.916946	0.0233642	3.28361	0.7833	328.8	793.2	0.0264	0.0221	0.8376
nhaA	b0019	STM0039	0.0486459	1.60622	0.0302859	0.0492939	1.38886	0.0354924	0.0505106	1.20415	0.0419472	0.0519438	1.16752	0.0444907	0.0505018	1.17756	0.0428869	0.0463483	1.49319	0.0310398	4.67842	1.9253	352.8	811.2	0.0224	0.0451	2.0139
nhaR	b0020	STM0040	0.0496375	NA	NA	0.0516107	2.50284	0.0206209	0.0527403	1.99994	0.0263709	0.0548676	1.89464	0.0289593	0.0523538	1.91267	0.0273722	0.0407531	1.68403	0.0241997	3.99748	2.2714	267.9	617.1	0.0174	0.0418	2.4046
rpsT	b0023	STM0043	0.0100238	0.0168155	0.596105	0.00984272	0.0181817	0.541354	0.0105061	0.0147786	0.710897	0.010408	0.011539	0.901982	0.010408	0.011539	0.901982	0.0104315	0.0148835	0.700873	3.6334	0.035	78.4	182.6	0.8376	0.011	0.0132
yaaY	b0024	STM0044	0.248478	0.182557	1.3611	0.2447	0.20032	1.22155	0.240456	0.213708	1.12516	0.245462	0.156813	1.56532	0.245462	0.156813	1.56532	0.257598	0.167717	1.5359	1.40303	0.7175	57.8	152.2	1.9094	0.2753	0.1442
ribF	b0025	STM0045	0.0698311	1.238	0.0564063	0.071252	1.12432	0.0633736	0.0727804	0.97294	0.0748046	0.0750923	0.934206	0.0803809	0.0726126	0.944404	0.0768872	0.0647195	1.01153	0.0639815	3.54926	1.2584	301.2	631.8	0.0553	0.0644	1.1642
ileS	b0026	STM0046	0.0537793	0.623639	0.0862346	0.053111	0.636049	0.0835015	0.0548501	0.560746	0.0978163	0.0540121	0.531205	0.101678	0.0536059	0.53258	0.100653	0.0522855	0.666059	0.0784998	2.24815	0.5817	679.9	2002.1	0.0873	0.0531	0.6085
lspA	b0027	STM0047	0.0364444	0.553199	0.0658794	0.0413761	0.532352	0.0777232	0.0384328	0.45458	0.0845457	0.041976	0.42954	0.0977232	0.0368338	0.446752	0.0824481	0.0373491	0.56621	0.0659634	2.78545	0.4912	130.6	352.4	0.0777	0.0389	0.5005
fkpB	b0028	STM0048	0.046483	1.1024	0.0421652	0.0460404	1.00874	0.0456415	0.0472138	0.932319	0.0506412	0.046548	0.907238	0.0513074	0.046548	0.907238	0.0513074	0.0439937	1.4042	0.03133	1.7857	0.9749	120.4	326.6	0.0407	0.0442	1.0869
ispH	b0029	STM0049	0.0396204	0.991632	0.0399547	0.042089	0.940029	0.0447741	0.0409357	0.832453	0.0491747	0.0431259	0.80228	0.0537542	0.0402754	0.814881	0.0494249	0.0353734	0.998033	0.0354432	2.76682	0.9371	268.2	679.8	0.035	0.0355	1.0142
rihC	b0030	STM0051	0.13985	1.96667	0.0711098	0.134919	1.84784	0.0730141	0.139994	1.70622	0.0820493	0.136662	1.50366	0.0908864	0.138666	1.46498	0.0946533	0.131868	1.60203	0.0823129	2.11756	2.4545	258.1	641.9	0.052	0.1314	2.5266
dapB	b0031	STM0064	0.0670521	1.5095	0.04442	0.0680558	1.70702	0.0398682	0.0679884	1.61616	0.0420678	0.0678615	1.41785	0.0478623	0.0665318	1.42244	0.0467731	0.0639439	1.39116	0.0459646	1.32274	1.5375	230.5	588.5	0.0375	0.0623	1.6616
carA	b0032	STM0066	0.0337275	0.720472	0.0468131	0.034922	0.715258	0.0488243	0.0353364	0.606538	0.0582592	0.0352612	0.587659	0.0600028	0.0337291	0.592708	0.0569068	0.0285933	0.770116	0.0371285	2.55621	0.6275	313.3	832.7	0.0422	0.029	0.6879
carB	b0033	STM0067	0.00978344	0.437269	0.022374	0.00992812	0.454831	0.0218281	0.0103192	0.373055	0.0276614	0.0100336	0.377264	0.0265957	0.00974156	0.37812	0.0257632	0.0092667	0.466002	0.0198855	3.5098	0.3711	837.7	2381.3	0.021	0.0094	0.4486
caiF	b0034	STM0068	0.168031	2.42873	0.0691846	0.16713	0.512414	0.326161	0.165594	0.50257	0.329495	0.172993	0.302676	0.571544	0.167749	0.325988	0.514587	0.166625	1.78905	0.0931357	2.42997	2.0933	102.5	290.5	0.0769	0.1689	2.1973
caiE	b0035	STM0069	0.115136	1.56194	0.0737133	0.113148	1.37645	0.0822023	0.114174	1.32301	0.0862985	0.115684	1.23984	0.0933061	0.115206	1.2426	0.092713	0.100981	1.52276	0.0663145	1.91796	1.6332	157.5	424.5	0.0586	0.1019	1.7374
caiD	b0036	STM0070	0.0326621	0.910794	0.0358612	0.0346448	0.859303	0.0403173	0.0337657	0.746307	0.0452437	0.0355999	0.733092	0.0485613	0.033144	0.742313	0.0446496	0.033486	0.774071	0.0432597	2.75436	0.7778	239.1	543.9	0.0442	0.0341	0.7714
caiC	b0037	STM0071	0.0949216	1.47503	0.0643524	0.09653	1.25885	0.0766813	0.0955213	1.1715	0.0815373	0.0974089	1.07667	0.0904725	0.0940414	1.09609	0.085797	0.0846212	1.62077	0.0522104	1.53465	1.2143	378.9	1172.1	0.0616	0.0857	1.3916
caiB	b0038	STM0072	0.0278276	1.25432	0.0221854	0.0278658	1.17857	0.0236437	0.0292677	0.951762	0.0307511	0.0281659	0.928585	0.030332	0.0276462	0.931411	0.029682	0.0249707	1.93893	0.0128786	3.18171	0.9548	329.7	885.3	0.0231	0.0256	1.1042
caiA	b0039	STM0073	0.0134664	1.05885	0.0127179	0.0135474	0.956269	0.0141669	0.013924	0.816535	0.0170525	0.0133642	0.840605	0.0158983	0.0130978	0.841745	0.0155603	0.0111945	1.34598	0.00831702	1.63042	0.7409	279.2	860.8	0.012	0.0117	0.9725
caiT	b0040	STM0074	0.0212164	0.769112	0.0275855	0.0214407	0.75983	0.0282178	0.0213971	0.692835	0.0308833	0.0213787	0.69045	0.0309635	0.0205972	0.692743	0.0297329	0.0186394	0.993252	0.018766	1.88207	0.6489	369.3	1139.7	0.023	0.019	0.8253
fixA	b0041	STM0075	0.078323	1.27053	0.061646	0.0802205	1.13858	0.0704564	0.0789068	1.05767	0.0746043	0.0835552	1.03814	0.0804856	0.0800775	1.05367	0.0759988	0.0761978	1.08322	0.0703441	2.19698	1.2043	224	544	0.065	0.0773	1.1885
fixB	b0042	STM0076	0.10378	0.869005	0.119424	0.105311	0.840352	0.125318	0.103066	0.831353	0.123974	0.105482	0.73098	0.144302	0.10239	0.743364	0.137739	0.0969862	1.1907	0.0814532	1.79879	0.9537	240.6	698.4	0.1047	0.0996	0.9515
fixC	b0043	STM0077	0.070981	1.01813	0.0697168	0.0717074	0.974614	0.0735752	0.0708514	0.944159	0.0750418	0.0713749	0.861128	0.0828853	0.0697129	0.867689	0.0803431	0.0666035	1.19367	0.0557975	1.64742	1.0311	354	930	0.0629	0.0673	1.0698
fixX	b0044	STM0078	0.0626857	0.99921	0.0627353	0.061713	0.929884	0.0663663	0.0624935	0.892408	0.0700279	0.0635191	0.898113	0.0707251	0.0635191	0.898113	0.0707251	0.0601687	1.16695	0.0515605	1.69165	1.0353	67.2	217.8	0.0465	0.0592	1.2717
yaaU	b0045	STM0079	0.0761081	1.23024	0.0618644	0.0781322	1.16113	0.0672899	0.0766027	1.09509	0.0699511	0.078253	0.991751	0.0789039	0.0749782	1.00787	0.0743931	0.0691477	1.75629	0.0393715	1.98654	1.3464	323	841	0.0474	0.0682	1.4397
kefF	b0046	STM0085	0.0708722	0.684956	0.10347	0.0743154	0.673357	0.110366	0.0712804	0.61794	0.115352	0.0767925	0.587137	0.130791	0.0714767	0.605919	0.117964	0.0652472	0.678774	0.096125	2.17825	0.7178	136.2	391.8	0.0874	0.0648	0.7412
kefC	b0047	STM0086	0.0612348	1.16191	0.0527016	0.0623681	1.04966	0.0594175	0.0622675	0.963698	0.0646131	0.0635466	0.914838	0.0694622	0.0613916	0.924167	0.0664291	0.0560951	1.66575	0.0336757	2.35446	1.2694	535.4	1324.6	0.0429	0.0571	1.3288
folA	b0048	STM0087	0.0163766	1.36489	0.0119985	0.0161178	1.17626	0.0137026	0.0173825	0.922653	0.0188397	0.0170282	0.95585	0.0178147	0.0170282	0.95585	0.0178147	0.0170723	1.59421	0.010709	3.18892	0.8852	131.7	345.3	0.0172	0.0176	1.0224
apaH	b0049	STM0088	0.0446672	1.75691	0.0254237	0.0480025	1.3242	0.0362503	0.0455511	1.23234	0.0369631	0.0482914	1.19993	0.0402452	0.0447054	1.22319	0.0365483	0.0395682	1.84134	0.0214888	1.77214	1.3059	214	623	0.0254	0.0403	1.5854
apaG	b0050	STM0089	0.0252326	0.461214	0.0547091	0.0318385	0.461389	0.0690058	0.0265986	0.396153	0.0671421	0.0313499	0.363863	0.0861584	0.0247003	0.383917	0.0643376	0.0253553	0.493773	0.0513501	2.2962	0.4076	102	273	0.0616	0.0264	0.4287
rsmA	b0051	STM0090	0.0294077	0.606097	0.0485198	0.0289693	0.59676	0.0485443	0.0308273	0.494893	0.062291	0.0293828	0.490667	0.0598835	0.0293828	0.490667	0.0598835	0.029801	0.66442	0.0448526	2.66992	0.5026	223.3	595.7	0.0581	0.0309	0.532
pdxA	b0052	STM0091	0.0447554	0.619866	0.0722016	0.0440759	0.626329	0.0703718	0.0448718	0.595258	0.0753821	0.0456954	0.58156	0.0785739	0.0456954	0.58156	0.0785739	0.0428273	0.597288	0.0717028	2.1616	0.6297	293.6	693.4	0.0723	0.0436	0.6027
surA	b0053	STM0092	0.0462869	0.810486	0.0571101	0.0447813	0.821996	0.0544788	0.0478852	0.683854	0.0700225	0.0440929	0.636375	0.0692876	0.0443757	0.634747	0.0699109	0.0424403	1.20598	0.0351916	2.40705	0.6927	323.1	960.9	0.0559	0.044	0.7869
lptD	b0054	STM0093	0.0471053	1.04115	0.0452434	0.0478428	0.963476	0.0496564	0.0492137	0.80102	0.0614389	0.0483873	0.768391	0.0629722	0.0470171	0.774744	0.0606872	0.0446937	2.2422	0.019933	1.99068	0.7837	534.4	1802.6	0.0465	0.0459	0.9875
djlA	b0055	STM0094	0.0203027	1.53551	0.0132221	0.0232758	1.22765	0.0189597	0.0214924	0.999663	0.0214996	0.0225968	0.978899	0.0230839	0.0195509	0.997319	0.0196034	0.0176413	2.03863	0.00865347	2.80993	1.002	212.4	594.6	0.0154	0.0188	1.2166
rluA	b0058	STM0095	0.0342885	0.875822	0.0391502	0.0342059	0.835445	0.0409433	0.0353763	0.735351	0.0481081	0.0341266	0.716835	0.0476073	0.0338086	0.717839	0.0470977	0.0245689	1.38648	0.0177203	2.09245	0.8205	166.3	490.7	0.0229	0.0232	1.012
rapA	b0059	STM0096	0.0424144	0.875087	0.0484688	0.042052	0.838798	0.0501337	0.0447417	0.689187	0.0649195	0.0432888	0.676811	0.0639599	0.0430315	0.677659	0.0635002	0.0408281	0.88982	0.0458836	3.04013	0.769	816.3	2087.7	0.0519	0.0417	0.8051
polB	b0060	STM0097	0.0659256	1.15408	0.0571238	0.0663221	1.06207	0.062446	0.0680452	0.923953	0.0736457	0.0687248	0.885508	0.0776105	0.0672084	0.892561	0.0752984	0.0633146	1.28693	0.0491982	2.86589	1.0503	659	1690	0.0592	0.0642	1.0834
araD	b0061	STM0101	0.0230827	0.995885	0.0231781	0.0247644	0.930445	0.0266156	0.0237946	0.820773	0.0289904	0.0242078	0.79523	0.0304413	0.0223421	0.803523	0.0278051	0.0171715	2.49937	0.00687033	1.92536	0.7803	174.6	518.4	0.0183	0.0179	0.9794
araA	b0062	STM0102	0.0225874	0.755299	0.0299053	0.0218841	0.743623	0.029429	0.0240868	0.586985	0.0410348	0.0226466	0.58852	0.0384805	0.0228782	0.587176	0.0389631	0.0219133	0.822792	0.0266328	3.84778	0.6123	398.5	1101.5	0.0319	0.0225	0.7059
araB	b0063	STM0103	0.0582336	1.0629	0.0547875	0.0571138	1.04378	0.0547181	0.059859	0.912465	0.0656015	0.0582703	0.860502	0.0677167	0.058355	0.859894	0.067863	0.0545099	1.2621	0.0431898	3.27285	0.9834	473.8	1221.2	0.0547	0.0562	1.0278
araC	b0064	STM0104	0.0439564	1.59992	0.0274742	0.0517453	1.23174	0.0420097	0.0449237	1.15355	0.0389438	0.0512566	1.14689	0.0446918	0.04358	1.18463	0.036788	0.0385924	1.63323	0.0236294	1.40302	1.1448	208.5	631.5	0.0272	0.0387	1.4199
yabI	b0065	STM0105	0.0675609	0.831355	0.081266	0.0666637	0.835123	0.0798249	0.0693639	0.732554	0.0946878	0.0681616	0.689426	0.0988672	0.0676962	0.691351	0.0979188	0.0632205	0.882835	0.0716108	3.01372	1.0718	214.4	544.6	0.0564	0.0624	1.106
thiQ	b0066	STM0106	0.0936244	1.29334	0.0723893	0.0947403	1.10945	0.0853937	0.095749	1.0123	0.0945854	0.0978869	0.953449	0.102666	0.0954798	0.964132	0.0990319	0.0865444	1.35556	0.063844	2.54123	1.1813	186.7	506.3	0.074	0.0901	1.2174
thiP	b0067	STM0107	0.0648166	1.12466	0.0576324	0.0662145	1.01722	0.0650936	0.0654015	0.948321	0.0689655	0.068484	0.911299	0.0751499	0.0658079	0.923036	0.071295	0.0607768	1.37141	0.0443171	2.94332	1.3632	478.7	1123.3	0.0456	0.0627	1.3735
thiB	b0068	STM0108	0.0505897	0.980287	0.051607	0.0511537	0.914947	0.0559089	0.0529756	0.764941	0.0692544	0.0529329	0.740031	0.071528	0.0515808	0.745748	0.0691665	0.0496526	0.93918	0.052868	3.02962	0.8179	267.6	713.4	0.0578	0.05	0.8662
sgrR	b0069	STM0109	0.0895598	1.63695	0.0547112	0.092674	1.33779	0.0692741	0.0895417	1.28441	0.0697142	0.0920933	1.16172	0.0792732	0.0875517	1.18404	0.0739433	0.0828506	1.71541	0.0482977	1.3771	1.5068	416.4	1230.6	0.0474	0.0827	1.7424
leuD	b0071	STM0110	0.0484233	1.12854	0.0429079	0.0509044	1.01273	0.0502646	0.0505537	0.877438	0.0576152	0.0486516	0.80271	0.0606092	0.0460438	0.815431	0.0564655	0.0453029	1.21341	0.0373351	1.65073	0.8855	149.6	453.4	0.0442	0.0463	1.0494
leuC	b0072	STM0111	0.0329844	0.885771	0.0372381	0.0331074	0.858374	0.0385699	0.0338653	0.762804	0.0443958	0.0326762	0.727591	0.0449102	0.0321262	0.730003	0.0440083	0.0304284	1.24102	0.0245189	2.53946	0.7768	376.1	1021.9	0.036	0.0315	0.8768
leuB	b0073	STM0112	0.0389447	1.0736	0.0362749	0.0404056	0.990851	0.0407787	0.0400599	0.872366	0.045921	0.0413246	0.860843	0.0480049	0.0393251	0.869142	0.0452458	0.035498	1.16656	0.0304295	2.41588	0.9376	298	791	0.0341	0.0357	1.0475
leuA	b0074	STM0113	0.0409699	1.08939	0.0376082	0.0439996	0.989168	0.0444815	0.0417011	0.900368	0.0463156	0.044641	0.891152	0.0500935	0.0410463	0.905662	0.0453219	0.0386541	1.42123	0.0271977	1.8123	0.9511	380.1	1188.9	0.0327	0.0388	1.1873
leuL	b0075	STM0114	0.144317	0.647327	0.222943	0.143233	0.654264	0.218923	0.15035	0.576559	0.260771	0.153209	0.550789	0.278162	0.153209	0.550789	0.278162	0.1643	0.501533	0.327596	4.01366	0.9504	30.8	53.2	0.3214	0.1785	0.5555
leuO	b0076	STM0115	0.0666308	1.64121	0.0405985	0.0694442	1.26237	0.0550109	0.0693215	1.09147	0.0635122	0.072912	1.10112	0.0662162	0.0695893	1.11831	0.062227	0.0631213	1.61084	0.0391853	2.33837	1.2307	253.1	673.9	0.0472	0.0631	1.3346
ilvI	b0077	STM0116	0.0482746	1.31056	0.0368351	0.0519562	1.17169	0.0443428	0.0487177	1.11187	0.043816	0.0516582	1.03998	0.0496725	0.0475285	1.05799	0.0449234	0.0439599	2.24668	0.0195666	1.6459	1.1142	431.1	1227.9	0.0341	0.0444	1.3029
ilvH	b0078	STM0117	0.0124416	1.43679	0.00865932	0.0208735	1.21102	0.0172363	0.0129321	1.07715	0.0120059	0.0200486	1.03904	0.0192952	0.0120297	1.07565	0.0111837	0.0118093	1.36092	0.00867742	2.1607	1.071	141.8	347.2	0.0099	0.0118	1.2025
cra	b0080	STM0118	0.00937142	1.40672	0.00666188	0.0109054	1.17025	0.00931893	0.00986009	0.982724	0.0100334	0.0111459	0.993828	0.0112151	0.00959717	1.0018	0.0095799	0.00558751	2.07515	0.00269258	3.52878	1.122	299.8	702.2	0.0047	0.0058	1.2364
mraZ	b0081	STM0119	0.0310719	0.465416	0.0667616	0.0307329	0.471602	0.0651671	0.0347495	0.340361	0.102096	0.0346022	0.357508	0.0967871	0.0346022	0.357508	0.0967871	0.0349726	0.327775	0.106697	4.8408	0.4147	148.3	307.7	0.1008	0.0354	0.3515
rsmH	b0082	STM0120	0.020213	0.68402	0.0295503	0.0198697	0.687794	0.028889	0.0212012	0.572022	0.0370636	0.0198739	0.563936	0.0352415	0.0198739	0.563936	0.0352415	0.0206521	0.73032	0.0282782	3.30781	0.5701	278.9	657.1	0.037	0.0217	0.5867
ftsL	b0083	STM0121	0.00730628	0.476278	0.0153404	0.00716519	0.47773	0.0149984	0.00733709	0.44475	0.0164971	0.00711669	0.471798	0.0150842	0.00656824	0.471798	0.0139217	0.00723904	0.517181	0.0139971	1.16288	0.3643	93.9	269.1	0.0167	0.0075	0.4482
ftsI	b0084	STM0122	0.0225461	0.544746	0.0413883	0.0223781	0.561029	0.0398875	0.0238971	0.457023	0.0522886	0.0234601	0.456703	0.0513685	0.0232788	0.457284	0.0509067	0.0194932	0.515774	0.037794	4.01239	0.4798	510.2	1253.8	0.0393	0.0198	0.5043
murE	b0085	STM0123	0.0497358	0.898891	0.0553302	0.0486621	0.882391	0.055148	0.0516137	0.755933	0.0682782	0.0503713	0.729118	0.0690852	0.0505398	0.728108	0.0694125	0.0492032	0.832902	0.0590744	3.75836	0.848	450.2	1034.8	0.0624	0.0509	0.8154
murF	b0086	STM0124	0.0849111	1.35782	0.0625348	0.084539	1.256	0.0673079	0.0853224	1.19199	0.07158	0.0856674	1.19952	0.0714183	0.0847281	1.20222	0.0704765	0.0760975	1.46467	0.0519553	1.48607	1.3849	382.6	973.4	0.0529	0.0763	1.4419
mraY	b0087	STM0125	0.0100513	0.788553	0.0127465	0.0129865	0.756493	0.0171668	0.0106014	0.638367	0.0166071	0.0135812	0.639191	0.0212475	0.0106866	0.650416	0.0164304	0.010754	0.689598	0.0155945	4.08977	0.7316	325.5	754.5	0.0139	0.0109	0.7838
murD	b0088	STM0126	0.0453715	1.3152	0.0344977	0.0457415	1.19762	0.0381937	0.0487045	0.971572	0.0501296	0.0486973	0.942218	0.0516837	0.0478829	0.946029	0.0506146	0.0436827	1.23883	0.0352612	6.1895	1.2924	401	913	0.034	0.0446	1.3101
ftsW	b0089	STM0127	0.0573194	0.970388	0.0590686	0.0587812	0.955827	0.0614977	0.0590201	0.852008	0.0692718	0.0600652	0.798791	0.0751952	0.0577721	0.811332	0.0712065	0.0529525	1.25046	0.0423464	2.86532	1.0265	359.6	882.4	0.0521	0.0546	1.0477
murG	b0090	STM0128	0.046249	1.19613	0.0386657	0.0452836	1.13792	0.0397951	0.0471491	1.03292	0.0456462	0.0458074	0.977605	0.0468568	0.0459812	0.976063	0.0471089	0.0445217	1.21015	0.0367904	3.24046	1.1248	324.8	740.2	0.0411	0.0462	1.1241
murC	b0091	STM0129	0.0247761	0.89685	0.0276257	0.0270858	0.828176	0.0327054	0.0255579	0.725628	0.0352217	0.0284769	0.732362	0.0388836	0.0258525	0.74284	0.0348023	0.024408	0.816241	0.029903	2.86391	0.7636	414.9	1043.1	0.0294	0.0245	0.8328
ddlB	b0092	STM0130	0.0540704	1.07198	0.0504396	0.054802	1.02501	0.0534647	0.055874	0.896776	0.0623054	0.0550475	0.83928	0.065589	0.0535952	0.844893	0.0634343	0.0526327	1.03928	0.0506437	2.42283	0.94	279.2	638.8	0.0601	0.0545	0.9054
ftsQ	b0093	STM0131	0.0376398	0.679242	0.0554144	0.0419624	0.640746	0.06549	0.0382171	0.605604	0.0631057	0.0432155	0.615038	0.0702647	0.0387932	0.62935	0.0616401	0.0289887	0.667937	0.0434004	1.31803	0.5851	194.2	624.8	0.0386	0.0282	0.7316
ftsA	b0094	STM0132	0.00317642	0.662957	0.00479129	0.00311431	0.666791	0.00467059	0.00339796	0.523602	0.00648958	0.00302359	0.538098	0.00561904	0.00302359	0.538098	0.00561904	0.0023284	0.516859	0.00450491	4.61271	0.5507	392.6	867.4	0.004	0.0024	0.584
ftsZ	b0095	STM0133	0.00584931	0.750991	0.00778879	0.00576871	0.73413	0.00785788	0.00606562	0.636511	0.00952948	0.00590862	0.640872	0.00921965	0.00590862	0.640872	0.00921965	0.00623343	0.630541	0.00988584	3.23713	0.6625	348.8	800.2	0.0088	0.0063	0.713
lpxC	b0096	STM0134	0.00717475	0.387541	0.0185135	0.00707209	0.393642	0.0179658	0.00779485	0.297348	0.0262146	0.00770373	0.317976	0.0242274	0.00770373	0.317976	0.0242274	0.00757945	0.336	0.0225578	3.13136	0.293	260.3	654.7	0.0239	0.0077	0.3239
secA	b0098	STM0136	0.0300785	0.909936	0.0330557	0.0296931	0.874786	0.0339433	0.0309232	0.756337	0.0408855	0.0292533	0.740174	0.0395222	0.0290541	0.740789	0.0392205	0.0270522	1.28377	0.0210725	1.84725	0.7271	703	2000	0.0328	0.0279	0.8524
mutT	b0099	STM0137	0.120785	1.30497	0.0925579	0.128506	1.13991	0.112734	0.120799	1.11704	0.108142	0.129277	1.11155	0.116304	0.119549	1.15811	0.103227	0.111853	1.95236	0.0572913	1.23699	1.2681	91.5	283.5	0.0809	0.1121	1.3846
yacG	b0101	STM0138	0.085516	NA	NA	0.0847359	0.838305	0.10108	0.0887633	0.708796	0.125231	0.0889617	0.50848	0.174956	0.0889617	0.50848	0.174956	0.0765894	2.62246	0.0292051	3.13049	3.3185	51	135	0.0204	0.0782	3.828
zapD	b0102	STM0139	0.0657738	1.21117	0.0543059	0.0681555	1.06223	0.0641626	0.0681932	0.926427	0.0736087	0.0693561	0.884121	0.0784464	0.0662015	0.899927	0.0735632	0.0627119	1.40149	0.0447466	2.15224	1.0254	216.3	524.7	0.0644	0.0652	1.0127
